"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice",0,NA,NA,NA,NA,NA,NA
"b_mileage_a",-0.141747828890455,0.072875362830833,-1.9450720158951,0.051766311394053,0.0923443038481936,-1.53499266314765,0.124785630244649
"b_range_year0_a",0.653448817220432,0.115488276727953,5.65813981933171,1.5302245248705e-08,0.146502758879482,4.46031748629377,8.1838327588013e-06
"b_degradation_a",-0.238322947076434,0.0428779851071158,-5.5581657225979,2.72624476327366e-08,0.0537085877350216,-4.43733408616573,9.107987525514e-06
"b_packreplace_a",-1.32577119096223,0.2523799916809,-5.25307565838455,1.49580054342735e-07,0.384962947389046,-3.44389297711397,0.000573402627962905
"b_cellreplace_a",-1.2517089622041,0.257133117706415,-4.86794145137403,1.12766725823832e-06,0.383580479792326,-3.26322382953841,0.00110152484555659
"b_price_a",-0.27911822253737,0.0884817048132071,-3.15453034191208,0.00160756661351136,0.122914636451148,-2.27082982626161,0.0231572816300507
"b_mileage_b",0.0707519103759743,0.0561262218124896,1.26058566016339,0.207458167777962,0.0765795435713678,0.923900915001374,0.355537906655774
"b_range_year0_b",1.44026749154327,0.121022363931787,11.9008375373915,0,0.150173497482459,9.59069020624958,0
"b_degradation_b",-0.547225580284654,0.0501212016048992,-10.9180459119552,0,0.0600756237104918,-9.10894546716267,0
"b_packreplace_b",0.159725771744923,0.158647463892827,1.00679688048985,0.314032394046733,0.191395914538404,0.834530727210866,0.403981979695699
"b_cellreplace_b",0.0131512272037256,0.157829003526385,0.0833257950686302,0.933592490113622,0.195274517545473,0.0673473803393888,0.946305158425225
"b_price_b",-0.217369152629197,0.0809330250600433,-2.68579053443182,0.00723584354702256,0.110102731891945,-1.97423941162988,0.0483545265723901
"b_mileage_c",-0.161069795391596,0.049353085881516,-3.26362156519012,0.0010999798323581,0.0665891900250973,-2.41885800579477,0.015569316450335
"b_range_year0_c",0.640054255460442,0.0875932562299487,7.30711795643468,2.72892819452863e-13,0.0963494338736387,6.6430515440274,3.07254222065012e-11
"b_degradation_c",-0.00259096259374201,0.0282262065913085,-0.0917928020317056,0.926862663064541,0.0278172371440309,-0.093142341215507,0.925790480195316
"b_packreplace_c",-0.0994294975565003,0.136013416944731,-0.73102712798476,0.464762583098947,0.182075047201961,-0.54609074161717,0.585003563617603
"b_cellreplace_c",-0.205517408414603,0.137354604421492,-1.49625423392393,0.134587416449865,0.186011445850469,-1.10486431345636,0.269218387756209
"b_price_c",0.227313655875524,0.0968302878532316,2.34754704251287,0.0188974866583307,0.11522015426352,1.97286366546286,0.0485110972571527
"delta_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.936110148741904,0.934408879248769,1.00182069063224,0.316430202311886,0.967852942545562,0.967202875139097,0.333442625178714
"delta_c",0.426658139479132,0.973853299451945,0.438113358263757,0.661304111388843,1.01298423140172,0.421189319885803,0.673616842541045
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_a",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_function_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_b",0.406701636473767,0.207093953462679,1.96385084969205,0.0495473911338651,0.237407391279826,1.71309593303436,0.0866948921236346
"gamma_EVB_function_b",-0.443840471307653,0.193293261335393,-2.29620250722307,0.0216643052632266,0.205504802598838,-2.15975717206992,0.0307914727099536
"gamma_EV_benefit_b",0.526818429053758,0.198695422886606,2.65138683820819,0.00801619702691525,0.209252739481116,2.51761783554236,0.0118151440632082
"gamma_EV_anxiety_b",-0.162976727001066,0.177381093506127,-0.918794240015424,0.358203205821449,0.179767308315818,-0.906598249303187,0.364619287895084
"gamma_used_bev_c",0,NA,NA,NA,NA,NA,NA
"gamma_EVB_environ_c",0.457911792311985,0.21595387131818,2.12041483450561,0.0339710767627757,0.237867560992244,1.92507036437354,0.0542205559217515
"gamma_EVB_function_c",-0.391705396654514,0.205597956312222,-1.90520082825954,0.0567539705906883,0.226358244136858,-1.73046666865681,0.0835469314071835
"gamma_EV_benefit_c",0.398604929640162,0.213160784357066,1.86997308553931,0.0614875554732555,0.25237906800525,1.57938981544963,0.114246671968779
"gamma_EV_anxiety_c",-0.492447477635681,0.17366830651467,-2.83556330754042,0.00457449477394589,0.160512309129828,-3.067973293172,0.00215515877959382
