"b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","delta_c","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3094.20901401957
-0.0412546984455748,0.243364138944664,-0.0616331012385525,-0.0915202330544334,-0.135244830976988,-0.0244657338579915,-0.0412546984455201,0.243364138944655,-0.0616331012385577,-0.0915202330544768,-0.13524483097702,-0.0244657338580138,-0.0412546984455201,0.243364138944655,-0.0616331012385577,-0.0915202330544768,-0.13524483097702,-0.0244657338580138,0,0,2.58027826689893e-13,-5.9175453583201e-13,2.58027826689893e-13,-5.91754535832011e-13,-2924.67884026911
-0.0783613770903502,0.481015804771136,-0.124081055161821,-0.178079334611895,-0.254350146848428,-0.0464645872627759,-0.0783612989485076,0.481015890115224,-0.124081008858787,-0.178079119235508,-0.254349884859167,-0.0464645067393214,-0.0783612988571076,0.48101589022343,-0.124081008784332,-0.178079119087073,-0.25434988450558,-0.0464645066299368,-2.64130241396886e-09,-3.08554113662964e-09,-1.91216342971333e-07,-2.33073994670495e-07,-1.8103338015222e-07,-2.51338369354548e-07,-2816.57348026197
-0.0652303116693259,0.562643937111777,-0.156193550504603,-0.182432640665044,-0.25634086064602,-0.034471062587892,-0.0652293629204483,0.562645317265354,-0.15619305081545,-0.182430099379633,-0.256338426679662,-0.0344699926575532,-0.0652293547638522,0.562645328581043,-0.156193046258156,-0.182430076187992,-0.25633839921585,-0.0344699826261876,7.15702775227881e-06,7.17947309518865e-06,8.68110218159997e-05,-8.60420348928317e-05,8.71575110536461e-05,-8.63921539346369e-05,-2780.75995178835
-0.0598162291862826,0.651955922616874,-0.186192353433835,-0.176631310711666,-0.253972362441568,-0.0245621660897322,-0.0596746677091331,0.652163286942851,-0.186115701615572,-0.176225745443718,-0.253457415612887,-0.0243804402500094,-0.0596739475577007,0.65216433966158,-0.186115311986011,-0.176223713097287,-0.253454951764029,-0.0243795333411372,-0.000697558039201756,-0.000719679216320581,0.00773923070673729,-0.00777820960170583,0.00795837932071493,-0.00799616054814085,-2763.07550236538
-0.0876241751431607,0.699963984246729,-0.213637841357816,-0.232309694222233,-0.326597950901862,-0.0521214968694535,-0.0621302741116196,0.737259645091944,-0.200440756313961,-0.159543726053021,-0.234086994159924,-0.0197246303925745,-0.0616057829674856,0.738033770098322,-0.200171271250176,-0.158028118776853,-0.232027141713932,-0.0190330169678634,-1.35068083760236,-1.36703608870667,6.0939519452078,-6.07364913927082,6.18383886021853,-6.16487460158397,-2739.09470541477
-0.0806636604441289,0.714869368096713,-0.223929098263565,-0.234475720420943,-0.318364571120611,-0.0602547960592196,-0.00831353267685569,0.883768717514308,-0.213503798769869,-0.0452209027437075,-0.104766092667992,0.0862807482403514,-0.0291884341420979,0.846028185996228,-0.21361309765211,-0.0843088374700469,-0.141966681522908,0.06138028459944,-2.57563896114496,-3.91984459722316,6.1511529531377,-3.44934602053322,5.3655653317601,-2.43548586193993,-2727.9401941863
-0.0839755355228533,0.711471346828203,-0.225959549413707,-0.246972404636608,-0.332425809206177,-0.0676700793466157,-0.0199168505900085,0.874254517843857,-0.215107360376027,-0.0516527073176403,-0.113670795910252,0.087746215672817,-0.0359926462989057,0.845962150501789,-0.21103819964955,-0.0781817645803374,-0.149082280655774,0.0598516871093569,-2.5768815428603,-3.18861286478956,5.91936062849728,-3.42220338555768,5.42380558007801,-2.42563401260803,-2722.45611998163
-0.0845758883251677,0.711302175512498,-0.226954504205053,-0.247967463270025,-0.334361033575188,-0.067555815168707,-0.0278090024594129,0.864014261593583,-0.218688343568437,-0.0641376616912693,-0.119375610492572,0.0797237381932,-0.133737349392396,0.704208824358862,-0.267124711376111,-0.323227747241505,-0.250418460677704,-0.0155473483349656,-2.59075201655587,-3.43541492049786,6.12890876559452,-3.35891269743191,5.46058659605624,-2.42868338107712,-2715.461455694
-0.0854075100458258,0.711270865259107,-0.227568658544448,-0.25776768595578,-0.344800875590262,-0.0751511910007975,-0.029216300365099,0.893224314426665,-0.214100441386308,-0.0469587236742443,-0.116167956160009,0.115141442086464,-0.166512057981173,0.674177147411956,-0.299258414513792,-0.459582151219225,-0.336515688448857,-0.054766113818413,-2.40718889143639,-3.44848298682845,6.17738518137535,-3.25973394718978,5.44769141747164,-2.59329132791509,-2703.44747974302
