"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.32530408021319,0.955721243356887,-5.57202648494924,2.51793130789935e-08,1.58535194093513,-3.35906743651636,0.000782059803330348
"b_mileage_a",0.011449966998109,0.0590431606066716,0.193925373920705,0.846234315319264,0.0732958836902318,0.15621568936258,0.87586301023635
"b_range_year0_a",1.02221693089836,0.140900323191234,7.25489415315943,4.01900734914307e-13,0.22219358545182,4.60056904351999,4.21338332512455e-06
"b_degradation_a",-0.547389484712638,0.0465935389703565,-11.7481843364784,0,0.0609027161739638,-8.98793221551996,0
"b_packreplace_a",-0.112307846881433,0.151967783821505,-0.739024048763816,0.459892394419694,0.173716105481905,-0.646502214460081,0.517954163457527
"b_cellreplace_a",-0.186556285990436,0.153085709647885,-1.21863945641652,0.222981066476735,0.172267048548035,-1.08294817588644,0.278831426572481
"b_price_a",-3.16615485033633,0.554153545983631,-5.71349741111258,1.10677558229355e-08,0.897209232486455,-3.52889240959091,0.000417302751223758
"b_no_choice_b",-9.3963933644036,1.15921938530759,-8.10579385015233,4.44089209850063e-16,1.37392773620283,-6.83907393148108,7.97073518299385e-12
"b_mileage_b",-0.355828080193603,0.05423148864398,-6.56128181414216,5.33471045116585e-11,0.0692612671029728,-5.13747575054587,2.78453385460509e-07
"b_range_year0_b",0.0300782036935804,0.116109451498106,0.259050433065486,0.795596328261089,0.132577611492918,0.226872421028547,0.820522947740466
"b_degradation_b",-0.0543018466626742,0.0279942832635729,-1.93974770317959,0.0524103591034211,0.0281382031634174,-1.92982637687656,0.0536283541057234
"b_packreplace_b",-0.248426183887653,0.134599582247372,-1.84566831293047,0.0649403808431335,0.164853350194103,-1.50695259511044,0.131822808612897
"b_cellreplace_b",-0.392729811069861,0.136291856874756,-2.88153540552871,0.00395742770878038,0.173770873846267,-2.26004394394255,0.023818523641628
"b_price_b",-3.09420032024277,0.512063721658745,-6.042607959454,1.51642809420593e-09,0.753887517172337,-4.10432624199485,4.05494905049153e-05
"b_no_choice_c",-0.859666187687945,0.518073026802202,-1.65935330197409,0.0970446203924822,0.659467877061545,-1.30357553049959,0.192378348212588
"b_mileage_c",-0.241822179850441,0.0694967462309988,-3.47961872987051,0.000502127820081633,0.0818822938504078,-2.95329024724479,0.00314406193984751
"b_range_year0_c",0.528983618962043,0.146726415079479,3.60523780721763,0.000311867216731931,0.177519690371435,2.9798588418852,0.00288381239995683
"b_degradation_c",-0.308628538394299,0.0406703604262157,-7.58853708597478,3.24185123190546e-14,0.0523195997380623,-5.89890862964254,3.65913788158423e-09
"b_packreplace_c",-1.10560635887745,0.198547096418615,-5.56848414718893,2.56965002609633e-08,0.283835024375961,-3.89524288381334,9.81003769116029e-05
"b_cellreplace_c",-1.13221191281707,0.220284582155015,-5.13976921008629,2.75076122324691e-07,0.294768976658222,-3.8410144977022,0.000122526876979112
"b_price_c",-0.850212582576645,0.176626018155136,-4.8136316011488,1.48211920825148e-06,0.2761273743714,-3.07905938160656,0.00207655287102049
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.189196556474937,0.445942488814658,-0.42426223385404,0.671374578541018,0.500494088679898,-0.378019562576576,0.705416061565573
"gamma_used_bev_b",-0.0177487523128904,0.136233851876082,-0.130281512769929,0.896343706074133,0.144574772988804,-0.122765209627995,0.902293024509054
"gamma_EV_benefit_b",-0.0471528430019205,0.196192401358862,-0.240339802537366,0.810066841132044,0.227404251070795,-0.207352513332044,0.835734565471329
"gamma_EV_anxiety_b",-0.243328616191156,0.130827943093355,-1.85991318397114,0.0628978097533235,0.146884507623622,-1.65659823576945,0.097600729286379
"delta_c",0.512031354254846,0.425652004671801,1.2029342012606,0.229001784009487,0.485793002942863,1.05401138170586,0.29187770623707
"gamma_used_bev_c",-0.482827138784039,0.155443694319292,-3.1061223866198,0.0018955824258724,0.167926609903024,-2.87522709511534,0.00403736996462034
"gamma_EV_benefit_c",-0.267686939369579,0.193765803685474,-1.38149732449228,0.167126099899232,0.216768188029814,-1.2348995569994,0.216867888355423
"gamma_EV_anxiety_c",0.231152380064524,0.152299836954809,1.51774542039144,0.129078589051662,0.155533289864446,1.4861923146227,0.137228259793827
