"b_mileage_a","b_mileage_b","b_range_year0_a","b_range_year0_b","b_degradation_a","b_degradation_b","b_packreplace_a","b_packreplace_b","b_cellreplace_a","b_cellreplace_b","b_price_a","b_price_b","delta_b","gamma_EVB_environ_b","gamma_EVB_function_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_knowledge_gas_b","gamma_knowledge_plugin_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2262.43239734766
-0.0420559903596614,-0.042055990359671,0.247715128637364,0.247715128637351,-0.0595235241153124,-0.0595235241153178,-0.0411930363511854,-0.0411930363511263,-0.14810658950997,-0.148106589509919,-0.0345103698294247,-0.0345103698294198,0,0,0,0,0,0,0,0,0,-2133.70520188591
-0.079547117633231,-0.0795471266424305,0.496419998821276,0.496419989190087,-0.120608925984073,-0.120608933137262,-0.100296269053131,-0.100296286947329,-0.274783462034461,-0.274783466039945,-0.0698832033499428,-0.0698832108133225,8.96618683475019e-10,-1.21708783877371e-07,7.75208438120535e-08,-1.24545491258803e-07,4.08305513062753e-07,-9.51558309069861e-08,1.3765300159069e-07,-1.56844334987199e-07,1.10432029015644e-08,-2049.33138673887
-0.0636056286821481,-0.0636058489567347,0.584301293216243,0.584301002764147,-0.153567994199223,-0.153568121196238,-0.137945094490342,-0.137945757871579,-0.270567166643636,-0.270567675768,-0.0668011884058208,-0.0668014374093684,-4.51319167169315e-07,-1.10292625535462e-05,1.08134312861761e-06,-5.46611221685592e-06,6.31145662509147e-06,-1.28267331791284e-06,5.62525239140015e-07,-1.50068207661611e-06,-1.33985256530514e-07,-2021.65699798603
-0.0553096549936643,-0.0553207815299669,0.680563174907168,0.680544514504134,-0.184294820371437,-0.184300775509121,-0.1551451927735,-0.155186872662551,-0.27614084507282,-0.276172414811554,-0.0687690217033879,-0.0687823130364443,0.00011047989268966,-0.000262850180622639,0.00189484717404217,-0.00107525387162741,0.00113693569566487,1.57406973063131e-06,0.000312792193972639,-0.00013688874899032,7.81348212839306e-06,-2007.07143084745
-0.0565586087865952,-0.056896514366274,0.703376227169202,0.702765370872834,-0.191577902729844,-0.191741563133279,-0.163304260687232,-0.164273011444974,-0.28137388887082,-0.282314717633144,-0.0721260045051076,-0.0725566871956297,0.00251508620547925,-0.0115526772416215,0.0483732129269217,-0.0293430360097951,0.0319062601618506,-0.000900258181091519,0.00860961500122604,-0.00348217728951828,0.000415767606842126,-2005.10547532612
-0.0558129024572637,-0.0594226661917137,0.739824546957698,0.726772090539081,-0.200686681497174,-0.200848210204941,-0.167967377803374,-0.176953993097826,-0.281649986213038,-0.291445352296967,-0.073992406561177,-0.0780075511633321,0.11938094494782,0.0526434910328565,1.78017934920637,-0.867434858615358,0.922468882956504,0.024182809389274,0.309305610274708,-0.074851887897461,0.0207146901011742,-2003.14751616286
-0.0553098165666823,-0.0596138963715722,0.740706189132961,0.72708583208112,-0.200492190575654,-0.20106626328927,-0.16655217794281,-0.17747846773794,-0.280669803099764,-0.291952084495806,-0.0731140316580376,-0.0782858821459214,-0.188992016336903,-0.993446893842233,1.3009262246387,-0.972253016584334,1.03307480784443,-0.387680866426584,0.0108760538801128,-0.380609048979253,-0.0625221840630698,-2000.78588586493
-0.0495775054908572,-0.0647563557584757,0.754254358840978,0.721013728992071,-0.197421053299281,-0.206810982568268,-0.141339679310512,-0.204717666091433,-0.258150106144883,-0.315674911548458,-0.0644758235860206,-0.0871962909418973,-0.264707933981921,-1.05625505739841,1.25592912437256,-2.15995596592635,1.37177898221059,-0.382287998475006,0.446680721340288,-0.335433364786687,0.945628220883424,-1991.48392179222
-0.047088916685224,-0.0689843148771137,0.799973090268992,0.719064132968229,-0.187590195037987,-0.227341364303335,-0.044234213272734,-0.270079343063943,-0.187599752552216,-0.365394266064816,-0.0220473508996048,-0.112780276882979,-0.774501102275405,-1.38725673247011,0.927490708609546,0.416100659819948,0.221950746647539,0.0590762172512865,1.29853284979783,-0.0702116117627362,1.20690053141662,-1982.25612871602
