"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice_a",-5.49342774303382,0.431060940194983,-12.7439701229923,0,0.503691409633679,-10.906335978668,0
"b_mileage_a",-0.175853877505067,0.0287385524184776,-6.11909308946266,9.41094091544414e-10,0.0332412525317362,-5.29023018423193,1.22162515658886e-07
"b_range_year0_a",0.442989319101911,0.0595432667342045,7.43978863436184,1.00808250635964e-13,0.0756711429599166,5.85413807396255,4.79490158689089e-09
"b_degradation_a",-0.252699462906267,0.015649458254933,-16.1474895034537,0,0.0214778996745816,-11.7655574676759,0
"b_packreplace_a",-0.187047292077519,0.081207734403428,-2.30331868573375,0.0212609190572135,0.0942197854944513,-1.98522307279647,0.0471196583693232
"b_cellreplace_a",-0.260746159131435,0.0801725160045075,-3.2523135374319,0.00114469674381357,0.0918788841598831,-2.83793345463031,0.00454066481045801
"b_price_a",-0.722671692018695,0.0755210567928404,-9.56914167661921,0,0.0924032091434363,-7.82085058211453,5.32907051820075e-15
"asc_no_choice_b",-1.24322979190323,0.600550794053883,-2.07014927665166,0.038438367562214,0.840229565084233,-1.47963109555493,0.138971723298563
"b_mileage_b",-0.235187756771442,0.0731495735441179,-3.215162377257,0.00130370754035791,0.0858151830966237,-2.74063106649358,0.00613213193057249
"b_range_year0_b",0.588111373372022,0.152918105953611,3.84592373613646,0.000120099116655892,0.19680631423919,2.98827492220222,0.00280557061213438
"b_degradation_b",-0.323169430258968,0.0429964055212291,-7.51619644343075,5.6399329650958e-14,0.057368239450695,-5.63324643310199,1.76848466981738e-08
"b_packreplace_b",-1.11679182105437,0.215187145088966,-5.18986308681518,2.10448762638649e-07,0.321216425177927,-3.47675814035898,0.000507515409440495
"b_cellreplace_b",-1.20156229894617,0.213726597885483,-5.62195960088214,1.88803424006068e-08,0.278198215225198,-4.31908701489518,1.56676003357781e-05
"b_price_b",-0.475542675088221,0.100562061069795,-4.72884773869312,2.25797632924518e-06,0.135830325755466,-3.5010051874891,0.000463506821456461
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.0598468031842089,0.365487305969973,-0.163745230563837,0.869931709233827,0.387049374817383,-0.154623174917789,0.877118398782544
"gamma_used_bev_b",-0.527806276048123,0.142051591788551,-3.71559564664211,0.000202725559614647,0.145172398915048,-3.63572056391369,0.000277204694987931
"gamma_EV_benefit_b",-0.189226316994996,0.168622288506086,-1.12219042139359,0.261781484429494,0.182603009972681,-1.03627162018472,0.300075442191884
"gamma_EV_anxiety_b",0.374681695470772,0.137698634593214,2.72102694828927,0.00650794559612189,0.128844486025919,2.90801498013194,0.00363730913583771
