"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice",0,NA,NA,NA,NA,NA,NA
"b_mileage_a",-0.382341582664997,NA,NA,NA,NA,NA,NA
"b_range_year0_a",3.95494944967106,NA,NA,NA,NA,NA,NA
"b_degradation_a",-0.61557087033429,NA,NA,NA,NA,NA,NA
"b_packreplace_a",-0.292928913457397,NA,NA,NA,NA,NA,NA
"b_cellreplace_a",0.0519253606621546,NA,NA,NA,NA,NA,NA
"b_price_a",-1.70566498826813,NA,NA,NA,NA,NA,NA
"b_mileage_b",-0.0290382889776799,NA,NA,NA,NA,NA,NA
"b_range_year0_b",1.23122946772871,NA,NA,NA,NA,NA,NA
"b_degradation_b",-0.146809540524878,NA,NA,NA,NA,NA,NA
"b_packreplace_b",-3.52557371816268,NA,NA,NA,NA,NA,NA
"b_cellreplace_b",-3.12992729167894,NA,NA,NA,NA,NA,NA
"b_price_b",-0.183609681250596,NA,NA,NA,NA,NA,NA
"b_mileage_c",160.860429910069,NA,NA,NA,NA,NA,NA
"b_range_year0_c",184.504287845903,NA,NA,NA,NA,NA,NA
"b_degradation_c",-332.871310382891,NA,NA,NA,NA,NA,NA
"b_packreplace_c",460.907062741453,NA,NA,NA,NA,NA,NA
"b_cellreplace_c",6.2036215549069,NA,NA,NA,NA,NA,NA
"b_price_c",-271.238311334101,NA,NA,NA,NA,NA,NA
"b_mileage_d",0.783298417530189,NA,NA,NA,NA,NA,NA
"b_range_year0_d",-0.401046722115925,NA,NA,NA,NA,NA,NA
"b_degradation_d",-0.486291330771535,NA,NA,NA,NA,NA,NA
"b_packreplace_d",-2.49451913298548,NA,NA,NA,NA,NA,NA
"b_cellreplace_d",1.99685982129126,NA,NA,NA,NA,NA,NA
"b_price_d",0.231964528614965,NA,NA,NA,NA,NA,NA
"b_mileage_e",-0.192917632680444,NA,NA,NA,NA,NA,NA
"b_range_year0_e",0.632501997582643,NA,NA,NA,NA,NA,NA
"b_degradation_e",-0.0047595752441273,NA,NA,NA,NA,NA,NA
"b_packreplace_e",0.211434556403889,NA,NA,NA,NA,NA,NA
"b_cellreplace_e",0.0116270537857148,NA,NA,NA,NA,NA,NA
"b_price_e",0.168546944562533,NA,NA,NA,NA,NA,NA
"b_mileage_f",0.20059417663273,NA,NA,NA,NA,NA,NA
"b_range_year0_f",1.16196913441552,NA,NA,NA,NA,NA,NA
"b_degradation_f",-0.595373314000843,NA,NA,NA,NA,NA,NA
"b_packreplace_f",0.188082425631733,NA,NA,NA,NA,NA,NA
"b_cellreplace_f",-0.0483792964321299,NA,NA,NA,NA,NA,NA
"b_price_f",0.151257113633821,NA,NA,NA,NA,NA,NA
"b_mileage_g",-0.440168055348827,NA,NA,NA,NA,NA,NA
"b_range_year0_g",0.565460155696984,NA,NA,NA,NA,NA,NA
"b_degradation_g",-0.265069828480881,NA,NA,NA,NA,NA,NA
"b_packreplace_g",-0.554850496743838,NA,NA,NA,NA,NA,NA
"b_cellreplace_g",-0.55258689940885,NA,NA,NA,NA,NA,NA
"b_price_g",-0.0740565392599774,NA,NA,NA,NA,NA,NA
"delta_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.223353202017751,NA,NA,NA,NA,NA,NA
"delta_c",-1.37168830929964,NA,NA,NA,NA,NA,NA
"delta_d",-1.71356457280009,NA,NA,NA,NA,NA,NA
"delta_e",1.08936248740908,NA,NA,NA,NA,NA,NA
"delta_f",0.939949994196946,NA,NA,NA,NA,NA,NA
"delta_g",0.0441392409254457,NA,NA,NA,NA,NA,NA
