"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.6464333007046,0.46432263065617,-10.0069068228235,0,0.637960253096206,-7.28326455786879,3.25739435425021e-13
"b_powertrainbev_a",-8.13879199326237,2.189157013,-3.71777444236814,0.000200985594775327,3.30665799895325,-2.4613346756268,0.0138421176202128
"b_powertrainphev_a",-3.58207798124887,0.535682693826694,-6.68693990403162,2.2788437803456e-11,0.641698506530967,-5.58218220050667,2.37519355295035e-08
"b_powertrainhev_a",-1.32612338885126,0.183328488626372,-7.23359145535711,4.70290473231216e-13,0.358481705897635,-3.6992777233378,0.000216213905307461
"b_range_bev_a",1.80641482216745,0.945095130137254,1.91135766608501,0.0559586330837456,1.3334916997252,1.3546502183251,0.175529025556557
"b_range_phev_a",0.122535847509464,0.173256094681005,0.70725273898776,0.479409429693846,0.19388395275536,0.632006134432785,0.52738286874295
"b_mileage_a",-0.280302961643908,0.0564583667754001,-4.9647727636011,6.87815554289983e-07,0.0834240933331408,-3.35997612254008,0.000779492091063982
"b_age_a",-0.144404413085266,0.0241471401094823,-5.98018698821231,2.22881624267757e-09,0.0299401518291176,-4.82310223105911,1.41342480119988e-06
"b_operating_cost_a",-0.0412250855976611,0.0193476735312024,-2.13075156199926,0.0331096147579835,0.0235047931477092,-1.75390122936176,0.0794474329215931
"b_price_a",-0.399167384238317,0.0739464982439076,-5.39805661820104,6.73666105122095e-08,0.119325176092975,-3.34520674771345,0.000822212556772506
"b_no_choice_b",-6.75667682927507,0.599307788380585,-11.2741348607075,0,0.726767513603015,-9.29688889886978,0
"b_powertrainbev_b",-0.370009368029106,0.266487828062164,-1.38846629776574,0.16499510042971,0.420337887418157,-0.880266516782049,0.378714946896553
"b_powertrainphev_b",0.0857565873660706,0.248662420489113,0.344871521790021,0.730190960964269,0.309415972851538,0.277156303780147,0.781660090283255
"b_powertrainhev_b",0.632296733717408,0.132305579695243,4.77906325019594,1.76113789907006e-06,0.168602670576451,3.75021778454392,0.000176681053319694
"b_range_bev_b",0.164087568951589,0.126574205764941,1.29637447029542,0.194846503200291,0.154935489978771,1.05907025545969,0.289567785061293
"b_range_phev_b",-0.0486226169417501,0.0794565183517333,-0.611939938351067,0.540577496303424,0.0833830808065551,-0.583123296374145,0.559810301999995
"b_mileage_b",-0.144505157178418,0.0342345877917387,-4.22102810343429,2.43190612132516e-05,0.0418206699962888,-3.45535251327253,0.000549573772520962
"b_age_b",-0.124274945485882,0.0176478810357514,-7.04191881360279,1.89603888145484e-12,0.0240551200479413,-5.16625754675946,2.38827651655171e-07
"b_operating_cost_b",-0.0511417921953838,0.0128368753239476,-3.98397514229784,6.77719648831676e-05,0.0148785642422131,-3.43728006028199,0.000587587707983284
"b_price_b",-0.647937916108414,0.104054940013105,-6.22688279890228,4.75806727351369e-10,0.119024600161125,-5.44373108778597,5.21759688787427e-08
"b_no_choice_c",-3.08421974495677,1.19257131651623,-2.58619312928511,0.00970425391581387,1.6220227602499,-1.90146514619905,0.0572411135526396
"b_powertrainbev_c",0.354961696184889,0.861987053861566,0.411794695285406,0.680489909856693,1.11541183645504,0.318233754191649,0.750307630462818
"b_powertrainphev_c",0.512075408095906,0.862791639915462,0.59350993264849,0.552839937667855,0.983444849620415,0.520695602090503,0.602578838565285
"b_powertrainhev_c",0.510226754782585,0.636877587727068,0.8011378710994,0.423051833989335,1.13629215224817,0.449027790760582,0.653411609120712
"b_range_bev_c",0.328550908247131,0.403740645641163,0.813767233480725,0.415778309501235,0.641149218397774,0.512440628202241,0.608342662725361
"b_range_phev_c",-0.090132349823066,0.233540520247738,-0.385938807224777,0.69954198894792,0.230698414553308,-0.39069340809119,0.696023871957976
"b_mileage_c",-0.221930790957471,0.135330925669259,-1.63991186685487,0.101023493109174,0.166124776617125,-1.33592830327148,0.181572708844168
"b_age_c",0.003023567591234,0.063700504182408,0.047465363579791,0.962142335065717,0.0913226706339277,0.0331086199105384,0.973587968825216
"b_operating_cost_c",-0.0679842448310325,0.0475442727109778,-1.42991449767903,0.152741560518021,0.0698247771439707,-0.973640699072432,0.330234970922416
"b_price_c",-1.14385075087456,0.325239383433379,-3.51695031148914,0.000436535492246204,0.55560628580069,-2.05874335857476,0.0395188302672775
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.22902503157265,0.208912688740194,1.09627152354288,0.272959967430697,0.384999103727753,0.594871596726111,0.551929304558475
"gamma_used_bev_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_b",1.28346254685413,0.219858367080239,5.8376788834501,5.29330512755166e-09,0.351305464249942,3.65340900573352,0.000258781522752383
"gamma_EV_anxiety_b",-0.470392155167214,0.145593859299322,-3.2308516130488,0.00123421996110062,0.155237576147791,-3.0301436471759,0.00244437450548074
"delta_c",-1.39185692725606,0.361737794241726,-3.84769562211122,0.000119234061595641,0.504584125866517,-2.75842392953967,0.00580808214964801
"gamma_used_bev_c",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_c",0.777811366618852,0.31150139437393,2.49697555345501,0.0125257591574504,0.485628449590189,1.60165939057984,0.10923094984568
"gamma_EV_anxiety_c",-0.525675336608594,0.220463383594129,-2.38441108921905,0.0171064811085424,0.244399351481952,-2.15088679008796,0.0314851364485087
