resp_removed,max_abs_coef_change,max_abs_se_change
73,0.00425,0.00104
339,0.00334,1.8e-4
218,0.0031,6.4e-4
76,0.00261,6.5e-4
203,0.00254,0.00157
309,0.00251,8.1e-4
38,0.0025,8.3e-4
250,0.00239,5.4e-4
32,0.00231,9.2e-4
13,0.00226,3.7e-4
90,0.00222,2.8e-4
175,0.00192,2.5e-4
79,0.0018600000000000001,7.3e-4
149,0.00184,5e-4
188,0.00171,9.8e-4
84,0.0017,3.6e-4
289,0.00168,4.3e-4
172,0.00167,1.1e-4
105,0.00166,6.9e-4
216,0.00166,3.2e-4
296,0.00161,4.6e-4
268,0.00159,3.9e-4
107,0.00158,3.9e-4
74,0.00157,5.8e-4
24,0.00153,7e-5
211,0.00144,7.7e-4
94,0.00143,0.00115
49,0.00142,5.3e-4
3,0.00136,6.9e-4
120,0.00136,2.7e-4
27,0.00135,5.4e-4
341,0.00134,2.4e-4
352,0.00134,2.5e-4
21,0.00133,9e-5
246,0.00132,2.7e-4
185,0.0013,3.7e-4
253,0.0013,2.2e-4
275,0.0013,7.6e-4
26,0.00129,8e-5
127,0.00128,1.8e-4
160,0.00127,1.3e-4
223,0.00127,4.6e-4
355,0.00127,1.4e-4
312,0.00126,3.4e-4
44,0.00123,1.3e-4
56,0.00123,8.5e-4
2,0.00122,1.4e-4
12,0.00122,9e-5
337,0.00122,2.2e-4
230,0.00118,3.5e-4
320,0.00116,1.2e-4
142,0.00115,2.8e-4
174,0.00115,1.7e-4
100,0.00113,4.6e-4
369,0.00113,8.9e-4
65,0.00107,3.9e-4
176,0.00107,1.3e-4
161,0.00105,7.3e-4
171,0.00105,2.8e-4
85,0.00104,6.7e-4
8,0.00103,8.4e-4
163,0.00102,2e-4
23,0.001,7e-4
36,0.001,2.9e-4
340,9.9e-4,1.6e-4
29,9.8e-4,1.1e-4
52,9.6e-4,1.6e-4
279,9.6e-4,3.3e-4
291,9.6e-4,1.6e-4
277,9.5e-4,0.00093000000000000005
335,9.5e-4,2.8e-4
60,0.00093000000000000005,2.4e-4
114,9.2e-4,1e-4
181,9.2e-4,7e-4
109,9.1e-4,1.8e-4
325,9e-4,6.4e-4
244,8.9e-4,6.5e-4
285,8.9e-4,8.9e-4
206,8.8e-4,6e-4
213,8.8e-4,3.4e-4
260,8.8e-4,1.6e-4
257,8.7e-4,7e-4
145,8.6e-4,2.1e-4
208,8.6e-4,4.6e-4
222,8.6e-4,1.2e-4
199,8.5e-4,2.3e-4
346,8.5e-4,1.7e-4
132,8.4e-4,1.6e-4
133,8.4e-4,4.5e-4
118,8.3e-4,3.4e-4
252,8.3e-4,2.2e-4
31,8.2e-4,1.9e-4
318,8.2e-4,3.2e-4
263,8.1e-4,6e-4
143,8e-4,5e-4
180,8e-4,4.6e-4
267,8e-4,8e-5
134,7.9e-4,8e-5
368,7.9e-4,4.9e-4
254,7.8e-4,1.5e-4
332,7.8e-4,1.5e-4
209,7.7e-4,1.9e-4
331,7.7e-4,1.2e-4
347,7.7e-4,1.9e-4
58,7.6e-4,2.8e-4
77,7.5e-4,1.3e-4
205,7.5e-4,2.7e-4
298,7.5e-4,1.2e-4
342,7.4e-4,1.8e-4
365,7.4e-4,8e-5
234,7.3e-4,2.6e-4
295,7.3e-4,7e-5
304,7.3e-4,3.8e-4
233,7.2e-4,7.2e-4
280,7.2e-4,1.2e-4
104,7.1e-4,1.9e-4
129,7.1e-4,5.7e-4
164,7.1e-4,6.7e-4
262,7.1e-4,1.5e-4
300,7.1e-4,1.7e-4
330,7.1e-4,4.5e-4
261,6.9e-4,2.2e-4
313,6.9e-4,4.2e-4
148,6.8e-4,2.4e-4
69,6.6e-4,2.9e-4
344,6.6e-4,2.8e-4
64,6.5e-4,1e-4
274,6.4e-4,1.4e-4
66,6.3e-4,5.4e-4
81,6.3e-4,1.8e-4
89,6.3e-4,3.4e-4
138,6.3e-4,2.1e-4
20,6.2e-4,1.7e-4
37,6.2e-4,1.1e-4
178,6.2e-4,2.8e-4
78,6.1e-4,5e-4
162,6.1e-4,1e-4
245,6.1e-4,1.5e-4
266,6.1e-4,2.8e-4
112,6e-4,4.3e-4
170,6e-4,1.9e-4
187,6e-4,2.1e-4
281,6e-4,4.3e-4
366,6e-4,5.6e-4
183,5.8e-4,7e-4
6,5.7e-4,3.5e-4
33,5.6e-4,7.4e-4
165,5.6e-4,3.7e-4
14,5.5e-4,3.1e-4
236,5.5e-4,3.2e-4
9,5.4e-4,1e-4
10,5.4e-4,1.9e-4
11,5.4e-4,4.9e-4
272,5.4e-4,8e-5
96,5.3e-4,3.1e-4
111,5.3e-4,2.1e-4
121,5.3e-4,1.7e-4
86,5.2e-4,4e-5
154,5.2e-4,2.3e-4
265,5.2e-4,2e-4
321,5.1e-4,4.2e-4
7,5e-4,7e-5
238,5e-4,2.5e-4
239,5e-4,7.6e-4
251,5e-4,7.5e-4
15,4.9e-4,8e-5
18,4.9e-4,2.2e-4
117,4.9e-4,7e-5
141,4.9e-4,2.5e-4
152,4.9e-4,8e-5
210,4.9e-4,5e-4
240,4.9e-4,7.3e-4
75,4.8e-4,4.8e-4
228,4.8e-4,3.4e-4
34,4.7e-4,2e-5
140,4.7e-4,2.1e-4
308,4.7e-4,4.5e-4
87,4.6e-4,1.3e-4
212,4.6e-4,1.4e-4
235,4.6e-4,7e-5
336,4.6e-4,1.3e-4
202,4.4e-4,1.2e-4
220,4.4e-4,1.4e-4
256,4.4e-4,6e-5
322,4.4e-4,9.8e-4
232,4.3e-4,1.9e-4
338,4.3e-4,2.2e-4
124,4.2e-4,4e-5
131,4.2e-4,9e-5
292,4.2e-4,1.8e-4
310,4.2e-4,1e-4
50,4.1e-4,2.9e-4
108,4.1e-4,2.9e-4
169,4.1e-4,1.2e-4
135,4e-4,2.1e-4
224,4e-4,2.2e-4
259,4e-4,2.3e-4
354,4e-4,3e-5
186,3.9e-4,1.9e-4
293,3.9e-4,2.8e-4
328,3.9e-4,5e-5
42,3.8e-4,2.2e-4
106,3.8e-4,7e-5
115,3.8e-4,8e-5
192,3.8e-4,1.2e-4
17,3.7e-4,2.9e-4
68,3.7e-4,3.7e-4
153,3.7e-4,1.5e-4
157,3.7e-4,5e-5
167,3.7e-4,1.6e-4
16,3.6e-4,2.9e-4
47,3.6e-4,1.8e-4
334,3.6e-4,1.6e-4
367,3.6e-4,1.2e-4
28,3.5e-4,2.2e-4
101,3.5e-4,3.4e-4
231,3.5e-4,1.2e-4
4,3.4e-4,1.7e-4
95,3.4e-4,2.5e-4
177,3.4e-4,1.9e-4
195,3.4e-4,3.2e-4
307,3.4e-4,7e-5
5,3.3e-4,4.5e-4
269,3.3e-4,6e-5
273,3.3e-4,1.1e-4
306,3.3e-4,1.7e-4
323,3.3e-4,2e-4
324,3.3e-4,1.2e-4
373,3.3e-4,2.4e-4
35,3.2e-4,2.1e-4
294,3.2e-4,1.6e-4
48,3.1e-4,1.8e-4
82,3.1e-4,1e-4
136,3.1e-4,6e-5
349,3.1e-4,1.1e-4
91,3e-4,2.3e-4
151,3e-4,2.4e-4
284,3e-4,6e-5
125,2.9e-4,1.4e-4
158,2.9e-4,1.3e-4
204,2.9e-4,1e-4
282,2.9e-4,6e-5
287,2.9e-4,6.5e-4
351,2.9e-4,1.7e-4
1,2.8e-4,1.9e-4
22,2.8e-4,1.5e-4
80,2.8e-4,1e-4
93,2.8e-4,6e-5
102,2.8e-4,2e-4
146,2.8e-4,2.2e-4
226,2.8e-4,1.7e-4
316,2.8e-4,2.5e-4
25,2.7e-4,4e-5
63,2.7e-4,6e-5
70,2.7e-4,3e-5
99,2.7e-4,8e-5
103,2.7e-4,8e-5
217,2.7e-4,2.4e-4
270,2.7e-4,8e-5
364,2.7e-4,2.8e-4
59,2.6e-4,1.3e-4
215,2.6e-4,6e-5
299,2.6e-4,4e-5
311,2.6e-4,1.9e-4
315,2.6e-4,2.4e-4
317,2.6e-4,2.4e-4
343,2.6e-4,1.1e-4
348,2.6e-4,1e-5
361,2.6e-4,1.4e-4
123,2.5e-4,8e-5
137,2.5e-4,1.7e-4
278,2.5e-4,1e-5
305,2.5e-4,8e-5
39,2.4e-4,3.3e-4
184,2.4e-4,4e-5
255,2.4e-4,2.4e-4
301,2.4e-4,1.1e-4
358,2.4e-4,9e-5
144,2.3e-4,5e-5
166,2.3e-4,2.3e-4
303,2.3e-4,1.3e-4
350,2.3e-4,1.8e-4
362,2.3e-4,1.1e-4
30,2.2e-4,1.3e-4
46,2.2e-4,8e-5
51,2.2e-4,2e-4
173,2.2e-4,2e-5
288,2.2e-4,8e-5
326,2.2e-4,8e-5
329,2.2e-4,4e-5
363,2.2e-4,6e-5
62,2.1e-4,1.9e-4
147,2.1e-4,1e-4
229,2.1e-4,6e-5
242,2.1e-4,1.7e-4
243,2.1e-4,1.1e-4
53,2e-4,1.8e-4
57,2e-4,6e-5
72,2e-4,4e-5
201,2e-4,1.4e-4
221,2e-4,1.1e-4
319,2e-4,6e-5
345,2e-4,5e-5
40,1.9e-4,7e-5
196,1.9e-4,6e-5
249,1.9e-4,7e-5
283,1.9e-4,4e-5
297,1.9e-4,1.7e-4
327,1.9e-4,7e-5
371,1.9e-4,4e-5
372,1.9e-4,3e-5
83,1.8e-4,1.5e-4
126,1.8e-4,9e-5
155,1.8e-4,7e-5
200,1.8e-4,5e-5
207,1.8e-4,4e-5
353,1.8e-4,1.4e-4
61,1.7e-4,1.5e-4
92,1.7e-4,3e-5
98,1.7e-4,8e-5
139,1.7e-4,6e-5
189,1.7e-4,3e-5
286,1.7e-4,4e-5
67,1.6e-4,6e-5
179,1.6e-4,4e-5
191,1.6e-4,4e-5
194,1.6e-4,6e-5
197,1.6e-4,1.6e-4
214,1.6e-4,1.5e-4
227,1.6e-4,7e-5
248,1.6e-4,3e-5
357,1.6e-4,1e-4
71,1.5e-4,4e-5
88,1.5e-4,4e-5
113,1.5e-4,5e-5
130,1.5e-4,8e-5
168,1.5e-4,2e-5
190,1.5e-4,2.7e-4
241,1.5e-4,5e-5
290,1.5e-4,3e-5
302,1.5e-4,9e-5
370,1.5e-4,2.9e-4
45,1.4e-4,2e-5
97,1.4e-4,4e-5
116,1.4e-4,4e-5
119,1.4e-4,3e-5
247,1.4e-4,6e-5
110,1.3e-4,2e-5
156,1.3e-4,3e-5
159,1.3e-4,5e-5
198,1.3e-4,4e-5
237,1.3e-4,1.7e-4
264,1.3e-4,2e-5
276,1.3e-4,2e-5
314,1.3e-4,3e-5
150,1.2e-4,3e-5
258,1.2e-4,1e-4
356,1.2e-4,8e-5
54,1.1e-4,4e-5
225,1.1e-4,3e-5
19,1e-4,1e-4
41,1e-4,1.3e-4
182,1e-4,1.3e-4
43,9e-5,3e-5
122,9e-5,8e-5
128,9e-5,2e-5
219,9e-5,2e-5
359,8e-5,6e-5
360,8e-5,5e-5
55,7e-5,5e-5
193,7e-5,2e-5
271,7e-5,3e-5
333,5e-5,9e-5
