"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.80200531765689,0.894562226691344,-4.2501295094016,2.1364694926751e-05,1.74837041973386,-2.17459942969959,0.0296601471111484
"b_mileage_a",-0.0342791023695368,0.0628042642901774,-0.545808517255382,0.585197567953709,0.0790811029103103,-0.43346768201266,0.664675039730434
"b_range_year0_a",1.25953419361918,0.207759456342926,6.06246385021437,1.34051947320302e-09,0.437386365631703,2.87968325624433,0.00398074876495502
"b_degradation_a",-0.497200402581691,0.0473105417780985,-10.5092942057971,0,0.0666752783408869,-7.45704277438008,8.85957973650875e-14
"b_packreplace_a",-0.166655398955806,0.169495086453312,-0.983246195763391,0.325486283726289,0.187273610763432,-0.889903271883451,0.373517826936799
"b_cellreplace_a",-0.0125147235752027,0.168444079422923,-0.074296013359907,0.940774849144335,0.189302704119501,-0.0661095869359718,0.947290578279695
"b_price_a",-0.885111667846105,0.13849764215932,-6.39080676065171,1.65012892239247e-10,0.226046867821222,-3.91561129060249,9.01754355004947e-05
"b_no_choice_b",-8.02885901393987,1.15679192086175,-6.94062507625292,3.90376619918698e-12,1.48113393292825,-5.42075151709378,5.93490063760527e-08
"b_mileage_b",-0.385867759100697,0.0650363756613954,-5.93310674490342,2.97255442482935e-09,0.0880776737944624,-4.38099398493603,1.18139132989636e-05
"b_range_year0_b",-0.0349107517237628,0.131436207459915,-0.265609852858922,0.790539696615485,0.158054137754057,-0.220878442158131,0.825187083537959
"b_degradation_b",-0.0738135492065316,0.0351225661821012,-2.1015989783841,0.0355884194368123,0.0460713163851526,-1.60215845775832,0.109120573784206
"b_packreplace_b",-0.222619563401353,0.164534507084301,-1.35302659208923,0.176047135190829,0.240478099365064,-0.925737370634319,0.354582481806369
"b_cellreplace_b",-0.395893995496241,0.170563000489872,-2.32110126087838,0.0202813793605487,0.235395240144104,-1.68182668117624,0.0926024533282901
"b_price_b",-0.667996901750533,0.158512818309759,-4.2141506843009,2.50719861960569e-05,0.271267646474317,-2.46250118815322,0.0137971715733205
"b_no_choice_c",-1.39752141116602,0.736894508822937,-1.89650132336896,0.0578937851666999,0.972899473802501,-1.43644996096454,0.150874345343405
"b_mileage_c",-0.238939835513089,0.0800114078651417,-2.98632209941637,0.00282355069966789,0.0885346474047522,-2.69882856618531,0.00695840112261492
"b_range_year0_c",0.592287695411714,0.172850198518265,3.42659540161955,0.000611199018180297,0.209868385261829,2.82218636538698,0.00476974505058192
"b_degradation_c",-0.264254825659986,0.04524367979896,-5.84070143795113,5.19814902233406e-09,0.0632397520565397,-4.17861893929831,2.93284606933675e-05
"b_packreplace_c",-0.900488631016453,0.228217086533092,-3.94575465271257,7.95490368674656e-05,0.329999682647256,-2.72875605149901,0.00635737140643378
"b_cellreplace_c",-1.12225491341337,0.245141028906435,-4.57799707547817,4.69449255158239e-06,0.335242455151104,-3.34759185827922,0.000815169673245464
"b_price_c",-0.566607663003353,0.136667971746019,-4.14587013888173,3.3852565800796e-05,0.187208386832439,-3.02661473981129,0.00247308940660496
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.724235056127756,0.550526959639219,-1.31553059018649,0.188331643537651,0.668415742193275,-1.08350987328832,0.278582170850878
"gamma_used_bev_b",0.125428187269323,0.167212446406478,0.750112745581261,0.45318680379509,0.181318837154954,0.691754862525026,0.489091287112627
"gamma_EV_benefit_b",-0.0245493671727277,0.272543925198102,-0.0900749013388711,0.928227693957613,0.339486322552311,-0.0723132731479778,0.94235260190689
"gamma_EV_anxiety_b",-0.327974642178523,0.158224356044718,-2.07284548584815,0.0381866617463726,0.18862762383481,-1.73874131217253,0.0820802757917911
"delta_c",0.806625014225034,0.463266596403253,1.74116808871517,0.0816541191019711,0.498374230103167,1.61851268685794,0.105552154934617
"gamma_used_bev_c",-0.598872049137185,0.180521987895235,-3.31744656769866,0.000908442897424422,0.190853199015349,-3.13786749306215,0.0017018179188073
"gamma_EV_benefit_c",-0.335350099400142,0.235810313945874,-1.42211803117787,0.154991989125129,0.250297723194762,-1.33980483369878,0.180308803763853
"gamma_EV_anxiety_c",0.186878983607877,0.180026909285636,1.03806138954132,0.29924147545517,0.181346947719431,1.03050526054072,0.302772884086795
