"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.63329343472029,0.819752937155655,-5.65206079138515,1.58535498062662e-08,1.30725396951475,-3.54429479104215,0.000393664820379058
"b_mileage_a",-0.115527936669513,0.0605509395215984,-1.9079462281226,0.0563981665333375,0.0716359975356403,-1.61270786537224,0.106807990937763
"b_range_year0_a",1.07597986116843,0.154995591918933,6.94200298116348,3.8657965717448e-12,0.264156697795732,4.0732635975048,4.63589047858814e-05
"b_degradation_a",-0.472033810597713,0.0447905536643186,-10.5386911297269,0,0.0608630053029578,-7.75567700359308,8.88178419700125e-15
"b_packreplace_a",-0.375013822297556,0.167512504391736,-2.23872136387244,0.0251740515754819,0.193607589002638,-1.93697893883925,0.0527479179175072
"b_cellreplace_a",-0.147218331531545,0.165496753425612,-0.889554196588617,0.373705309843965,0.204045430407109,-0.721497811726616,0.470603286533358
"b_price_a",-0.885097521125645,0.137582989503515,-6.43319006455397,1.24953158930907e-10,0.216958253499857,-4.079575249375,4.51180634837289e-05
"b_no_choice_b",-7.44695329999742,1.34528331039989,-5.53560223517809,3.10160748195898e-08,1.5991762587627,-4.65674328216903,3.21250613155577e-06
"b_mileage_b",-0.367955218477925,0.0825633831215504,-4.45663930626752,8.32545073348179e-06,0.118782571435385,-3.09772060018153,0.00195015192835912
"b_range_year0_b",-0.0990094109528428,0.188158893521679,-0.526201069211939,0.598748511209488,0.24034017568377,-0.411955307393615,0.680372181450363
"b_degradation_b",-0.0561303866763217,0.0483169076427808,-1.1617131437986,0.245352004908134,0.0684061119042948,-0.820546368062144,0.411904707423613
"b_packreplace_b",-0.00475260589488774,0.203205151963239,-0.0233882155495128,0.981340605065487,0.261083790346548,-0.0182033740531321,0.985476610978123
"b_cellreplace_b",-0.337430830480516,0.224483531973265,-1.50314291437958,0.132802194478378,0.316379695940751,-1.06653756486227,0.286180707003669
"b_price_b",-0.437330117233298,0.16932406226256,-2.58279958199419,0.00980022353919541,0.255079907542362,-1.71448281225627,0.0864400910509557
"b_no_choice_c",-1.10267473666443,1.13941648065906,-0.967753894543126,0.333167294881277,1.61752849664147,-0.681703437654391,0.495426493314129
"b_mileage_c",-0.16473617267794,0.112262317051126,-1.46742181174576,0.142261344585267,0.127505532117813,-1.2919923546982,0.196359792242379
"b_range_year0_c",0.903257099056102,0.250102235226317,3.61155148509067,0.000304370641344143,0.344019812121531,2.62559616402851,0.00864973719310491
"b_degradation_c",-0.313876809334104,0.0676656013017438,-4.63864656924309,3.50698185025422e-06,0.111368719937448,-2.81835698129958,0.00482701098860305
"b_packreplace_c",-0.649850276436559,0.307440766079203,-2.1137414036665,0.0345373601306078,0.422224679595159,-1.53911011800555,0.123777415345293
"b_cellreplace_c",-0.710345087038545,0.313431585580658,-2.26634812736748,0.0234300769078384,0.418357022438724,-1.69793991480707,0.0895191027959601
"b_price_c",-0.774694248348147,0.206851738748342,-3.74516672200009,0.000180274018464655,0.298364147281998,-2.59647231547545,0.00941864954330174
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-1.21625686438941,0.910812282778753,-1.33535404318307,0.181760498483328,0.901382244112308,-1.34932418775033,0.177232859811237
"gamma_hhincome_b",-9.69724364968806e-06,5.58360898491145e-06,-1.73673401484467,0.0824341308453604,7.5092460981532e-06,-1.29137379744059,0.196574092013834
"gamma_used_bev_b",0.33665688463916,0.25172124239106,1.33741944637373,0.18108576028771,0.28319354765876,1.18878727083437,0.23452338831582
"gamma_EV_benefit_b",0.430041448180001,0.510323473528684,0.842684043527207,0.399405173551203,0.802679909455853,0.535757084628581,0.592126445460783
"gamma_EV_anxiety_b",-0.330245006162918,0.240698256318677,-1.37202907579722,0.170054386563589,0.339331453039001,-0.973222503264267,0.330442728907563
"delta_c",1.10331728549694,0.723334510473463,1.52532095389,0.127179063871244,0.812967692943307,1.357147762542,0.17473426487172
"gamma_hhincome_c",-1.68460733299054e-06,3.02036956403163e-06,-0.557748744740331,0.577015967001453,2.98900039745485e-06,-0.563602244558078,0.573024858927356
"gamma_used_bev_c",-0.807604024973811,0.239693197162903,-3.36932392964385,0.000753528157990901,0.275477554378799,-2.93165091724063,0.00337165501214409
"gamma_EV_benefit_c",0.0416852912918206,0.293262112825411,0.14214345961777,0.886966690857137,0.337770554153254,0.123413041128822,0.901780030689887
"gamma_EV_anxiety_c",0.115188092096986,0.21348728114983,0.539554822547694,0.589504079725,0.212097416617714,0.543090500270457,0.58706749302596
