"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_hhincome_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_hhincome_c","gamma_used_bev_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-4.44728494419673,-0.0172937275326903,0.997398382519434,-0.537077489244284,-0.101956826104595,-0.173031946683848,-0.848773954448891,-8.02570893428397,-0.344574868907812,0.0195317104280326,-0.0524542074497312,-0.25091133832266,-0.387982496206486,-0.670992682544771,-1.45022487590795,-0.23772899932357,0.498774105836736,-0.296278644133513,-1.20251002094489,-1.2394851586436,-0.48089628969934,-0.281537055492656,0,-0.00229658175689341,-0.0407688702534957,-0.269235126191528,0.396072802765773,0,-0.488167967670802,-0.29001868899402,0.210697059662984,-1416.21994688006
-4.45906309679303,-0.0301986481140318,1.02466401628276,-0.532235281743985,-0.193520038384586,-0.118411252101695,-0.844749318542627,-7.93349233608471,-0.362195014238959,0.0365735774112937,-0.0666549458458634,-0.206382149976176,-0.391579664127891,-0.631111220200044,-1.48015845608345,-0.216354728927404,0.532061077271905,-0.291593619961533,-0.917325773813122,-0.877593380224041,-0.495031667595284,-0.357002690563493,-1.77846964074603e-06,0.0232336989518047,0.0642265061313729,-0.311118307425483,0.407830455571205,-2.29624757818521e-08,-0.573078543147376,-0.307806188330817,0.178353936797099,-1407.86860334417
-4.47652961752174,-0.0681899860039502,1.08809245521599,-0.528885035905776,-0.31547249122852,-0.10519363718902,-0.844221008196843,-7.67751840445304,-0.379879364178521,0.0298727656619117,-0.0718802284640043,-0.13931836856262,-0.401663070148852,-0.560974666700608,-1.36284864733786,-0.178977499114485,0.656929736974758,-0.285560490375316,-0.725826986741576,-0.813552237540414,-0.622584336397565,-0.591899910465098,-4.53682753104148e-06,0.141564397469805,0.102367051864855,-0.368420212163045,0.857033693702339,-1.09098720289076e-06,-0.694032174219729,-0.120984094954496,0.0520944032616724,-1401.55184523686
-4.44906222506656,-0.0889568606723584,1.10981902754131,-0.515071394974885,-0.349496999060192,-0.107565415639804,-0.84775053967136,-7.56109744326214,-0.381548470472959,-0.0226931699932387,-0.0605666720948165,-0.0765881564048336,-0.396180298633542,-0.507626633577998,-1.17137808801027,-0.150100548692841,0.839927943073184,-0.287171243537991,-0.675772606002428,-0.760746496642088,-0.756334091610032,-0.927179075940313,-5.0405490161566e-06,0.229029316283879,0.0927760392819905,-0.386981663970007,1.25990530447156,-1.66543743825372e-06,-0.84171755403618,-0.0319515508286098,0.0468807472802729,-1399.59315493258
-4.45971951335162,-0.0999965059452335,1.13137460587257,-0.504275671160076,-0.368419663468759,-0.121397817319493,-0.864682770093485,-7.43479454860238,-0.367652594801192,-0.0504266600661865,-0.0701237384893139,-0.0601636056522228,-0.370930628823052,-0.477660382217236,-1.02641138608078,-0.14416762284707,0.916760440647123,-0.29206290839103,-0.664737711901164,-0.721469374973489,-0.791029578802428,-0.861814502159654,-6.98707521297363e-06,0.250483870528542,0.170565344840563,-0.381045419343268,1.28318951613778,-1.79649445795877e-06,-0.827273037723012,0.00336138935153096,0.0549017449699333,-1399.06536273247
-4.45996482331484,-0.108087004022604,1.12927337041557,-0.488909631297658,-0.370565890408973,-0.131737358415172,-0.86963915008109,-7.47180671623908,-0.364489178578906,-0.0883329898553453,-0.0651092135377167,-0.0358509384587704,-0.363466214146868,-0.454330099642661,-1.06706316211582,-0.149112863041871,0.923991590430589,-0.301506751628844,-0.661968794603868,-0.722903606642166,-0.799170230807497,-1.07515108225229,-7.73499381955293e-06,0.303504995824326,0.234144207980799,-0.376294856980068,1.21421120944039,-1.87770286594993e-06,-0.807692022830232,0.0191695330492113,0.100508946705589,-1398.8241805779
-4.47361373828708,-0.114281508854226,1.11914943754932,-0.475838037960745,-0.372727740031561,-0.141319672026553,-0.874342713535763,-7.53468359862219,-0.362884985935917,-0.111791329681892,-0.0625054859909495,-0.022144322401245,-0.355992232839094,-0.440608252759084,-1.16791150717076,-0.160545305607428,0.915069658973183,-0.311347556248857,-0.671299928978357,-0.727661265727118,-0.804023870882742,-1.20556955364875,-8.7398322919124e-06,0.341803232898492,0.297593524417983,-0.3644078548708,1.11811060523409,-1.70250645672889e-06,-0.794434536562738,0.0168849421373525,0.115882480096967,-1398.71374640735
-4.50849433483868,-0.115458069904512,1.11143607700348,-0.472602499118988,-0.372552149748395,-0.142331303880484,-0.880420962094092,-7.531286983712,-0.362102986817752,-0.11413386274968,-0.0612565903002746,-0.0163239449899621,-0.349612258459035,-0.438133468025876,-1.19615302151855,-0.163811160860278,0.897759809123302,-0.313978178207464,-0.668426097654354,-0.728229793822499,-0.793485873990072,-1.22871602481251,-9.1690150480401e-06,0.346322639792516,0.346897418273828,-0.355233916628845,1.08089731323737,-1.7118089697902e-06,-0.789542119168775,0.0261098912732221,0.123942328488923,-1398.67236797744
-4.55169888769435,-0.115866683866638,1.09924149392533,-0.470879555328971,-0.372613649280142,-0.143181882186047,-0.88459496294402,-7.52256723278942,-0.363164762479415,-0.109830228865312,-0.0598136085127999,-0.0121635691431285,-0.345128558783933,-0.43811197722149,-1.20070808638364,-0.166518781058078,0.885733349790347,-0.314595220674767,-0.665448579059782,-0.724176145265789,-0.783278077054254,-1.23805176711089,-9.4288778280531e-06,0.347067638954772,0.381531643472159,-0.344634192146277,1.04923114468826,-1.63539258011991e-06,-0.787103655385974,0.0245263087391599,0.119851262981825,-1398.6463946748
-4.58891054391452,-0.115799513111231,1.09037484977368,-0.471210113762295,-0.373348964974685,-0.142829654791309,-0.8874567863745,-7.49357090279405,-0.364342816714863,-0.1038343396893,-0.0587533938361555,-0.00927126045328827,-0.342046877445443,-0.438535689195493,-1.18085495701036,-0.166442352926093,0.882706480830371,-0.314024075631029,-0.660393441072823,-0.721593370938284,-0.776727902064056,-1.22544282922033,-9.57190752044533e-06,0.342203114051075,0.405396878780711,-0.339005592918459,1.05796652048599,-1.64482031349695e-06,-0.79338554787411,0.0300751838575709,0.116659478942614,-1398.63352260094
