"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice_a",-1.91881524803584,0.631622777181078,-3.03791332003492,0.00238222466781335,0.837959682360933,-2.28986583534619,0.0220290952775948
"b_mileage_a",-0.274816978695167,0.0819444473557915,-3.35369860390844,0.00079739166705739,0.105666314417109,-2.60080026649127,0.00930065866093832
"b_range_year0_a",0.370821651245532,0.159528025291429,2.32449220485308,0.0200991288736796,0.177772214611085,2.08593706309382,0.0369843244463588
"b_degradation_a",-0.264300042635634,0.0453420293521058,-5.82902985182244,5.57505308584894e-09,0.0593886923446143,-4.45034285486506,8.57333082304734e-06
"b_packreplace_a",-1.33534733064759,0.230966100831523,-5.78157281886856,7.40054351133779e-09,0.352551889869506,-3.78766181381656,0.000152071644830665
"b_cellreplace_a",-1.30958845090109,0.232721197665661,-5.62728476837125,1.83068369352668e-08,0.297080908176417,-4.40818785340258,1.04239116291982e-05
"b_price_a",-0.519971605507892,0.118259518830788,-4.39686894254909,1.09823610423554e-05,0.174919773877293,-2.97262907435872,0.00295261034477878
"asc_no_choice_b",-8.78795197658145,1.11924124526572,-7.85170490611708,3.99680288865056e-15,1.58125049278876,-5.55759635595916,2.73514999538094e-08
"b_mileage_b",-0.0784785281657381,0.0736335192248122,-1.06579895938606,0.286514531430166,0.106712403618997,-0.735420864906537,0.462083218541532
"b_range_year0_b",0.54260912465726,0.158818217302723,3.41654209367552,0.000634218580664925,0.318864321804478,1.70169281275055,0.0888129684392895
"b_degradation_b",-0.54205985942647,0.0599432952061343,-9.042877231931,0,0.12011185807492,-4.51295873791545,6.39294631588072e-06
"b_packreplace_b",-0.268523612976414,0.175037805484399,-1.53408923422745,0.125007701470406,0.21096750869246,-1.27281975618273,0.203082008986659
"b_cellreplace_b",-0.181958041690862,0.181840534929943,-1.00064620773891,0.316997882196569,0.237834199030502,-0.765062562207575,0.44423429158288
"b_price_b",-1.5885502256712,0.209412145596022,-7.58575975213814,3.30846461338297e-14,0.328760026873098,-4.83194456692383,1.35205905116287e-06
"asc_no_choice_c",-7.74356056596322,1.01722489651525,-7.61243712426883,2.68673971959288e-14,1.09197717284849,-7.09132091631887,1.32827082666154e-12
"b_mileage_c",-0.342100312033797,0.0568898259398535,-6.0133829974358,1.81691084399915e-09,0.079558687562666,-4.29997430216951,1.70817915932098e-05
"b_range_year0_c",0.083220154190576,0.110221723785959,0.755024974497607,0.45023399733633,0.131561034011645,0.632559289426151,0.527021479300292
"b_degradation_c",-0.0464628067909206,0.0267178088080613,-1.7390201091978,0.0820312258205356,0.0248591164290527,-1.86904498088355,0.0616165566112927
"b_packreplace_c",-0.217898176309686,0.132049245922207,-1.65012813808913,0.0989167307736925,0.168293882666921,-1.29474804940438,0.19540715853513
"b_cellreplace_c",-0.352793200210209,0.137418199894192,-2.56729603852946,0.0102495066898125,0.183538227869162,-1.92217830751697,0.0545833253826387
"b_price_c",-0.61157461165945,0.136563052085901,-4.47833145435821,7.52287323946277e-06,0.172311680766325,-3.54923478744785,0.000386352431115178
"asc_no_choice_d",5.1509456592753,1.72301176499129,2.98950115369718,0.00279433392330741,2.81062581643311,1.83266859258136,0.0668518707048043
"b_mileage_d",0.0170989756293404,0.132583744074468,0.128967361336066,0.897383474986856,0.185648818678407,0.0921038752148505,0.92661550956606
"b_range_year0_d",2.84643591068736,0.564298617246273,5.04420146300856,4.55419267186841e-07,1.10376221540013,2.5788488416914,0.00991301535497557
"b_degradation_d",-0.758768192244339,0.136924727318825,-5.54149865478695,2.99893880839619e-08,0.286898848441424,-2.6447237288206,0.00817576386890018
"b_packreplace_d",0.0525742410246704,0.357609805462231,0.147015658468076,0.883119660945767,0.386725785895244,0.135947079150578,0.891863117149712
"b_cellreplace_d",-0.480604613948535,0.363392030520787,-1.32255133184888,0.185984628085047,0.458573383597269,-1.04804297662992,0.294618806710129
"b_price_d",0.524010210782893,0.237547315520034,2.20591931184631,0.0273896497977761,0.559767691107421,0.936120857111657,0.349210965439274
"delta_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.441103388268954,0.469033035181434,-0.940452708407468,0.346985396664385,0.644095043101116,-0.684842078810574,0.493443579173471
"delta_c",-0.575989496560333,0.464377851966926,-1.24034661455249,0.214847217793185,0.496941290016895,-1.15906950807157,0.246427853644926
"delta_d",-1.63555506463159,0.701480255052896,-2.33157676620315,0.0197229672711141,1.0180446203593,-1.60656520541738,0.108149780378024
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_b",0.463505211043383,0.168737399668174,2.74690265439005,0.00601609878260634,0.195112280875454,2.37558194165775,0.0175213015854128
"gamma_EV_benefit_b",0.28187947465852,0.208627735424336,1.35111218115461,0.176659500006559,0.245096669491445,1.15007468377027,0.250113112401263
"gamma_EV_anxiety_b",-0.0561236776398791,0.171050168758791,-0.328112378065073,0.742826695280435,0.183184579690497,-0.306377740608429,0.759317054421704
"gamma_used_bev_c",0.482343236411103,0.171180811368505,2.81774126758139,0.00483627642013706,0.178708545327015,2.69904964828892,0.00695378014332593
"gamma_EV_benefit_c",0.421192531775517,0.21691763156515,1.94171644202658,0.0521714371263526,0.247618548305609,1.70097326980402,0.0889480066584833
"gamma_EV_anxiety_c",-0.486560213586004,0.158976375296228,-3.06058188003956,0.00220907349207877,0.162767418921829,-2.98929734715324,0.00279619867136049
"gamma_used_bev_d",0.457283594524316,0.233804324350584,1.95583890843109,0.0504841338259661,0.307637709116607,1.48643544329277,0.137163980665088
"gamma_EV_benefit_d",0.814771149049377,0.334925089075944,2.43269667046241,0.0149868500420005,0.501215829781764,1.625589418044,0.104037027809159
"gamma_EV_anxiety_d",-0.417520109914708,0.222811302869577,-1.87387311387476,0.060947915993598,0.297031456811081,-1.40564273695853,0.15983023878493
