"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice_a",-0.765473089923193,0.786134852432396,-0.973717279617773,0.330196935179244,1.06447889950493,-0.719105930873032,0.472075653318902
"b_mileage_a",-0.341253257524261,0.0990595299020186,-3.44493112234432,0.000571204924535218,0.11928875234933,-2.86073289227572,0.00422662988571121
"b_range_year0_a",0.647348601553399,0.212082931356403,3.05233710894696,0.00227066933758002,0.2697330523794,2.39996024159047,0.0163968526759672
"b_degradation_a",-0.392687401728352,0.0605695421349449,-6.48324864093361,8.97684149236966e-11,0.0860399593422427,-4.564011939689,5.01852227619004e-06
"b_packreplace_a",-0.253291013271546,0.295505213131352,-0.857145667880171,0.391364385123047,0.408516886644855,-0.620025809341255,0.535240795031561
"b_cellreplace_a",-0.485895117578175,0.283445245574296,-1.71424684366707,0.0864834010689075,0.297329255983587,-1.63419881427678,0.102217111455473
"b_price_a",-0.440703506936179,0.131844064020023,-3.34261166941311,0.000829939544305214,0.182905552992945,-2.40945941621125,0.0159761728062566
"asc_no_choice_b",-8.04062138991844,1.13959314642117,-7.05569475840527,1.71751501909512e-12,1.38398392236325,-5.80976502688594,6.25605856008349e-09
"b_mileage_b",-0.34380028330301,0.0557607907443828,-6.16562783119505,7.02040203748311e-10,0.0736306808700671,-4.66925307820662,3.02296795440249e-06
"b_range_year0_b",0.0202542463294348,0.122058157468167,0.165939309174949,0.868204712070692,0.147985224081894,0.136866680137107,0.891136176337823
"b_degradation_b",-0.0542890549659722,0.0280074324594136,-1.93838028689864,0.0525768436656646,0.0275734505709812,-1.96888868972776,0.0489658746329533
"b_packreplace_b",-0.151507856923363,0.147477001257922,-1.02733209674091,0.304264113639201,0.192299918483277,-0.787872704878645,0.430771168334547
"b_cellreplace_b",-0.288298357569784,0.148532893266821,-1.94097314897038,0.0522615343449011,0.195958762078572,-1.47121952859748,0.141231757549638
"b_price_b",-0.664152540186259,0.147763218779743,-4.4947081260882,6.96654364906735e-06,0.204258779672492,-3.25152505684779,0.00114787657185444
"asc_no_choice_c",-3.0773680697658,1.25362873455561,-2.4547682937857,0.0140975422577763,1.80148078010257,-1.70824363143668,0.0875911457274228
"b_mileage_c",-0.0796427238454999,0.166920464974619,-0.47712977469605,0.63326971368649,0.239899320884983,-0.331983948731909,0.739901379372602
"b_range_year0_c",0.58468657849192,0.3446735747416,1.69634872336894,0.0898198583351402,0.381148479455893,1.53401262239479,0.125026547533932
"b_degradation_c",-0.218389816941688,0.0887185808212917,-2.46160178533059,0.0138318144134066,0.122094749640992,-1.78869130395731,0.0736645442129333
"b_packreplace_c",-3.40386118339737,0.57817611266339,-5.88723938752391,3.92699717188805e-09,0.701501891382301,-4.85224804838388,1.22069811769876e-06
"b_cellreplace_c",-3.17052763887937,0.63579013189964,-4.98675188525865,6.14028375034437e-07,0.87203887404967,-3.63576410780374,0.000277157869758016
"b_price_c",-0.608082918048847,0.295855358760613,-2.05533852959841,0.0398463182876962,0.559889365857387,-1.08607692006734,0.277444962477293
"asc_no_choice_d",-4.59965183958364,0.759066288286031,-6.05961812632945,1.36445099663263e-09,1.19488668862287,-3.84944604654089,0.000118385255706954
"b_mileage_d",-0.0302688793308181,0.0566773493391951,-0.534056015034664,0.59330277999732,0.0681473722863629,-0.44416796004437,0.656921154942636
"b_range_year0_d",1.00537878312792,0.134725140424633,7.46244375740946,8.5043083686287e-14,0.210921728288108,4.76659655355481,1.87363960968412e-06
"b_degradation_d",-0.55031786565663,0.0440576547794444,-12.4908570011627,0,0.0535449815107699,-10.2776740252668,0
"b_packreplace_d",-0.0537366577345734,0.151969311795841,-0.353602033855127,0.723637149920169,0.167317642604796,-0.321165520252394,0.748084959988411
"b_cellreplace_d",-0.11625105613576,0.14991012159021,-0.775471695323822,0.438060984480186,0.160771753736063,-0.723081346283054,0.469629908852604
"b_price_d",-0.862620892938774,0.133392362595713,-6.46679372156571,1.00104147193747e-10,0.201398029111654,-4.28316452124038,1.84253826083225e-05
"delta_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.831552468569402,0.482750094752647,-1.72253196344886,0.0849731977801449,0.506319657558621,-1.64234679842176,0.100518153723891
"delta_c",-2.18869880960598,0.8611190033189,-2.5416914516697,0.0110317510826499,1.04821480084037,-2.08802509547782,0.0367955709894461
"delta_d",-0.460818848616934,0.474571499655698,-0.971020908232498,0.331537866973536,0.539877131353106,-0.853562453112199,0.393347469892543
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_b",0.696602225586688,0.197664569785338,3.52416331537407,0.000424822320712837,0.202649732944658,3.43746925033907,0.000587177385340087
"gamma_EV_benefit_b",0.0662643851470365,0.225534330366411,0.293810636453355,0.768902606922496,0.251976941266784,0.262977972563284,0.792567557071721
"gamma_EV_anxiety_b",-0.458373312503269,0.173788702662007,-2.63753227616146,0.00835116778918388,0.174572132999001,-2.62569577760668,0.00864720648600459
"gamma_used_bev_c",0.664843850084008,0.301964665154647,2.2017273105233,0.0276845763705433,0.340944018133583,1.95000884228308,0.0511750651458416
"gamma_EV_benefit_c",-0.61321714374203,0.332975791860589,-1.84162680510652,0.0655297573701039,0.399207853311065,-1.53608487071573,0.124517566372409
"gamma_EV_anxiety_c",0.0867562309230417,0.262594477676509,0.330381018255521,0.741112082315056,0.292489728673622,0.296612914636225,0.766762049922456
"gamma_used_bev_d",0.662634791152578,0.194269232433281,3.41090960649237,0.000647465526686153,0.205845058208372,3.21909496841945,0.00128595888000538
"gamma_EV_benefit_d",0.148308330095704,0.21667040407089,0.6844881779386,0.49366695201866,0.241829943813773,0.613275294848981,0.539694325930507
"gamma_EV_anxiety_d",-0.194003182102417,0.173495498412995,-1.11820297285526,0.26348031490434,0.175316575605977,-1.10658779086832,0.268472188321185
