"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","logLike"
-0.702367016579956,0.586485693231225,0.0170960379764438,-0.37498643854633,-0.631422353442758,-0.658419034909457,0.33592156553641,0.453422395978123,-0.718743133824319,-0.540468361694366,-0.378920163959265,-0.483573319390416,-0.240371830295771,0.876848206855357,-0.186632483266294,0.117531252093613,-0.725143075920641,-0.107566200662404,-0.643089614342898,-0.433932052925229,-0.622344363480806,-0.276438976638019,0.905973525717854,-0.183761643245816,-9898.90631351826
-0.723188929406227,0.559977980923098,0.0393294150461043,-0.341352011688058,-0.640729369054304,-0.64896882436529,0.340972236748748,0.456419782490763,-0.717010515523637,-0.535425307354772,-0.533103101428163,-12.0962716668445,-0.112823585330783,2.3718553140376,-2.90679945285399,0.162176328118482,-0.648169495075967,-0.0295414858824187,-0.632902986462122,-0.382708562729101,-0.916467051333641,-0.355201213405551,0.844306212778398,-0.174871624975747,-9733.18204341092
-0.869934449125787,0.440158708183976,-0.0151430365620357,-0.383182023647432,-0.620376584175385,-0.642233869749304,0.335278170650281,0.451069627391476,-0.713885519068986,-0.540233309359141,-5.48484987810145,-48.1805808335823,4.04486011366939,3.67417409331721,-26.4279006129038,-1.40384401551044,-0.71408587025367,-0.423556172416948,-0.794254353418674,-0.271760261396453,-3.19396104985591,-1.17076305118483,2.78194605819213,-0.514746865695202,-9535.70212582466
-1.18218881235417,0.263197864998687,-0.117831286965851,-0.411071571559289,-0.585698776699407,-0.618721749845091,0.318972569851861,0.436694056537775,-0.70724158306515,-0.545174069303322,-5.50967590810973,-48.1805808335823,5.47745995094678,4.24946202653167,-26.4279006129038,-1.6840923813825,-1.01947598877379,-0.432806894351311,-0.705980762486309,-0.346130982858514,-3.08943122139655,-0.893158492199015,2.28513990962094,-0.2799162623448,-9246.98872430861
-1.49226744761356,0.0882479227211963,-0.225757543121952,-0.440294710935934,-0.551824277836677,-0.595007344981205,0.302836668969775,0.421917329574712,-0.700203691870551,-0.550253159948508,-6.13296901183843,-48.1805808335823,7.10714722049032,5.76003678596911,-26.4279006129038,-1.76236130483879,-1.78426019045065,-0.413368245353158,-0.565415447509006,-0.558959436815441,-2.7357681137619,-0.779327649173624,1.51295711268892,-0.3941056576357,-8959.67819013868
-2.28451226675817,-0.29680689698134,-0.459624369714023,-0.505347861370723,-0.484346811880734,-0.53818821466818,0.255494445795675,0.381505050873522,-0.677081928525472,-0.565533208352171,-8.782966248524,-450.047821784645,6.22403620204724,2.23682810054876,-267.085006920906,-2.78995167063742,-0.568005298737746,-0.998343426883533,-0.882456878177727,0.220934406102831,-4.19700332996394,-0.143126898896526,3.40194236150151,1.3808736486698,-8255.41795418128
-2.74728539059207,-0.549442305779833,-0.623436082157047,-0.557275295096564,-0.437340775708278,-0.509106545840294,0.229510623996983,0.357347508065012,-0.663299247067424,-0.573481324857751,-8.37193420152903,-482.617767373655,4.66184067642616,1.94022924252936,-292.381439378268,-2.25054089625819,-0.441361162354205,-0.913359256196285,-0.86828203780374,0.197704357923794,-3.63750672091561,-0.043243386264994,2.71352617299319,1.37482437657576,-7832.01881266284
-3.29758308871803,-0.839211231807515,-0.818986565286224,-0.621223131241724,-0.385759237430896,-0.475218511459703,0.196413258248388,0.323780944968711,-0.640592202007873,-0.586101743115919,-8.90201424690196,534.755539735917,2.41101515546728,1.79864455580247,441.463476238932,-1.49334434014273,-0.444848554206724,-0.86130430658039,-0.838062213661562,0.0722662075977004,-3.2707390705197,-0.104674799924217,2.25494588301178,1.36998549042148,-7287.24861054281
-3.50191036253889,-0.982172876746532,-0.924779610841239,-0.653716009496624,-0.356417130313203,-0.453056776603679,0.183216047957829,0.305177460480617,-0.627272813427399,-0.59247462037673,-4.15309594042194,4315.23777376655,3.98173935107802,-5.01298323577309,10326.1367447964,-4.5741571232685,-1.24612271859143,0.743230953502425,-0.894352351698638,1.51396445457651,-5.73061355822948,-0.0819857494520073,3.07890681168733,2.10056999414827,-7035.17843644884
-3.7408249891415,-1.11442110725382,-1.03054408913229,-0.679321169736743,-0.332832679456259,-0.425834499086243,0.164392540121807,0.284501482569532,-0.612830129698213,-0.599344830570708,-30.8632022559389,-177193.657854898,3.90516832463783,2.12803804077043,10326.1475310784,-0.486198651445566,-2.50111075786728,-0.965993793166737,-1.07364409427188,-3.08085261821367,-8.99650049580776,0.107006308202767,3.84649514808637,3.0357658345107,-6721.68328271658
-4.01267022622681,-1.2295151884143,-1.09892991872741,-0.698866326381321,-0.303566090726571,-0.406181538515529,0.140838868222765,0.261908573970354,-0.596704005806966,-0.609031963917725,-30.5087864884266,-177193.657854898,3.91529599779266,2.38476877997777,10326.1475310784,-0.600361125824942,-2.61715747674741,-0.912661748360549,-1.08577011418803,-2.83798169574677,-7.708399196825,0.0584534482557111,3.31489961482883,2.61707381156761,-6446.45858029093
-4.2712460125268,-1.33435601461711,-1.16652200081884,-0.718975971004785,-0.276833749283219,-0.387145961688929,0.117937075007112,0.239358610370876,-0.579572212329192,-0.619005156247495,-29.8567738365443,-177193.657854898,3.94520615395536,2.72416993617352,10326.1475310784,-0.75650974850688,-2.77280685435409,-0.834078134807009,-1.09711581777258,-2.50084914972143,-6.17297902820107,-0.026627175500351,2.69598388879321,2.13224735178515,-6173.57837247278
-4.81295395153381,-1.53525702493148,-1.32382110735318,-0.759585226179192,-0.219212880230532,-0.338670154870065,0.0638165904874105,0.18319194578994,-0.529095982578002,-0.641633651156897,-29.4184645807202,-174224.880451813,2.83603653686533,2.98076902284215,11390.1645299365,-0.7387010173101,-2.92591585603468,-0.800938723492276,-1.12547900414239,-1.99338148473024,-3.10591806215033,-0.0889419786369898,1.21729773334981,1.21507853717473,-5494.44634014814
-5.09718289548533,-1.62615875415309,-1.43048274352833,-0.793998784898115,-0.18975920393984,-0.31064280861741,0.0357053530797149,0.15089872896909,-0.494710202762512,-0.658368079528751,-29.0959954138079,-169446.841004779,1.31006550374437,2.30443405492094,14021.272910161,-0.598952090653683,-2.73777863400226,-0.857248306713768,-1.11148771536436,-1.84160965758524,-2.41200698086154,0.0665390038023049,0.483449356580622,0.92826265231246,-5095.12599418369
-5.32290030367396,-1.68974939533356,-1.54400246513582,-0.823593633222088,-0.161749020924754,-0.280429227163613,0.0055182720877208,0.113134012137614,-0.446358260504968,-0.67636247764426,-27.7121993603201,-160456.943274923,0.91887913514481,0.788358755487306,19892.4826141264,-0.956101784477948,-1.94834198401623,-1.03738175235866,-1.0240139815695,-1.82988544902768,-3.07165507793603,0.119198656774898,0.356091555529007,1.23963410289249,-4603.45349974752
-5.46537034229879,-1.74284572869029,-1.57799700449978,-0.853473964139074,-0.128240862712663,-0.265966904052555,-0.0235001446660901,0.0797511701336766,-0.398165637929907,-0.6925127983413,-24.0945358711729,-150736.728342275,-1.52246332129171,0.470824657643775,25452.8423198131,-0.415061430277494,-1.48798410451732,-1.00359303113845,-0.917484275483938,-1.42669901300694,-3.22649062052327,0.368324871820186,-0.275600200784086,0.97723468839282,-4197.85434805529
-5.51959059259219,-1.7506741716139,-1.5753997204982,-0.842933505635038,-0.0974855371889379,-0.246835905909153,-0.0569127838896657,0.0448332375905192,-0.342987294519668,-0.705542634834318,-20.829636470738,-138260.220395941,-1.82825378066767,0.551960369022546,33091.4635130387,-0.541012296641289,-1.29313154310132,-0.986287877713485,-0.753228051851247,-1.05021813130142,-3.5560243569411,0.392544760840431,-0.33944799470465,0.883105223813019,-3786.28427461695
-5.56072807563581,-1.77377789410711,-1.4913257370105,-0.815151413098511,-0.0555601142439725,-0.236902533072541,-0.0971675650953467,0.00441050232423153,-0.281725698765067,-0.72188665789958,-20.4031645158821,-124139.474842778,-5.59702830985308,0.743632676545234,41289.3187465615,0.351496584787476,-1.4573122489149,-0.971074313066022,-0.719382249310048,-0.681462123926256,-2.83488758145474,0.180231064534805,-0.199907326676294,0.637382304185266,-3402.90223559442
