resp_removed,max_abs_coef_change,max_abs_se_change
239,0.01538,0.00574
29,0.01137,4.9e-4
271,0.01066,0.0033
137,0.00863,0.00323
241,0.00787,0.00197
302,0.00687,0.00131
151,0.00663,0.00238
284,0.00657,0.00187
119,0.00651,0.003
144,0.00636,0.00195
173,0.00614,0.00118
219,0.00572,5.8e-4
139,0.00568,0.00138
242,0.00549,0.00131
192,0.00536,3.2e-4
102,0.00523,0.00191
288,0.00485,0.00209
186,0.00471,8.9e-4
147,0.00455,0.00118
172,0.00448,8.3e-4
324,0.00448,0.00132
211,0.00439,9.7e-4
332,0.00432,0.00388
161,0.0043,0.00406
20,0.00422,5.5e-4
5,0.00417,5.8e-4
49,0.00396,0.00292
122,0.00395,8.7e-4
64,0.00391,0.00172
254,0.00386,0.00138
164,0.00385,4.2e-4
296,0.00382,0.0037200000000000002
46,0.00378,0.00209
156,0.00377,0.0011
80,0.00373,0.00289
94,0.00369,0.00123
177,0.0036,0.00093000000000000005
31,0.00357,9.9e-4
297,0.00353,0.00218
97,0.00346,8.5e-4
197,0.00342,0.00171
4,0.00334,0.00189
36,0.00321,0.00134
159,0.00316,0.00169
30,0.00312,0.00152
163,0.00312,0.00273
178,0.00309,0.00156
214,0.00307,8.2e-4
56,0.00301,7.4e-4
333,0.003,0.00261
325,0.00299,0.00172
245,0.00298,6.9e-4
319,0.00298,9.5e-4
300,0.00297,9.1e-4
233,0.00294,6.7e-4
230,0.00288,4.4e-4
318,0.00288,0.00208
223,0.00281,0.00105
103,0.00277,0.00117
243,0.00274,0.00149
93,0.00272,0.00118
59,0.00267,0.00154
79,0.00267,7.7e-4
191,0.00259,3.9e-4
33,0.00257,7.3e-4
259,0.00254,6.5e-4
247,0.00251,7.7e-4
248,0.00245,7.4e-4
202,0.00237,0.00162
256,0.00237,8.3e-4
142,0.00236,0.002
299,0.00236,5.8e-4
154,0.00235,6.1e-4
47,0.00234,0.00218
58,0.00233,0.0013
255,0.00233,3.6e-4
285,0.00229,0.00144
199,0.00228,4.4e-4
111,0.00227,9.4e-4
304,0.00227,7.9e-4
182,0.00222,4.4e-4
27,0.00221,0.00155
42,0.00221,3.8e-4
196,0.00221,0.00131
83,0.0022,0.0018600000000000001
143,0.00214,5.4e-4
205,0.00213,3e-4
311,0.00213,1.5e-4
76,0.00211,6.9e-4
135,0.00211,4.8e-4
257,0.00208,0.00185
67,0.00207,0.00145
303,0.00204,6.6e-4
310,0.00204,0.00203
317,0.00203,0.00116
116,0.00201,5.1e-4
160,0.00195,1.6e-4
104,0.00193,7.7e-4
215,0.00193,0.00108
272,0.00189,6.6e-4
71,0.00188,0.00108
221,0.00187,5.6e-4
326,0.00187,0.00119
331,0.0018600000000000001,1.7e-4
74,0.00184,9.7e-4
148,0.00184,5.9e-4
134,0.00183,3e-4
261,0.00183,9e-5
7,0.00182,5.1e-4
28,0.00182,6.1e-4
129,0.0018,0.00109
54,0.00178,6.3e-4
62,0.00177,5.5e-4
32,0.00175,0.00169
138,0.00174,8.3e-4
301,0.00174,0.00133
305,0.00173,0.00111
189,0.00172,0.00093000000000000005
204,0.00171,0.00162
131,0.00168,6.3e-4
48,0.00166,2.9e-4
121,0.00166,2.6e-4
238,0.00166,0.00127
295,0.00165,4.2e-4
203,0.00164,0.0013
334,0.00164,6.3e-4
153,0.00163,8.5e-4
66,0.00161,0.00148
187,0.00161,9.9e-4
226,0.00161,2.7e-4
321,0.00161,1.7e-4
69,0.0016,0.0013
329,0.0016,6.9e-4
9,0.00159,5.3e-4
198,0.00156,7e-4
249,0.00156,7.4e-4
306,0.00155,0.00125
130,0.00154,3.5e-4
313,0.00154,0.00158
16,0.00153,0.0013
136,0.00153,1.9e-4
11,0.00152,8.8e-4
107,0.00151,9e-4
140,0.00151,5.8e-4
24,0.00146,9.8e-4
110,0.00146,0.00109
217,0.00146,8.4e-4
44,0.00144,9.6e-4
63,0.00144,0.00126
224,0.00144,0.00157
231,0.00144,0.00131
190,0.00141,3.5e-4
170,0.0014,2.8e-4
194,0.00139,2.4e-4
263,0.00139,3.7e-4
17,0.00137,0.001
175,0.00137,4.2e-4
232,0.00137,2.3e-4
260,0.00135,8e-4
292,0.00134,0.00159
51,0.00132,8.4e-4
98,0.00132,4e-4
278,0.00132,7e-4
87,0.0013,0.00093000000000000005
155,0.0013,4.7e-4
283,0.00127,5.1e-4
216,0.00125,4.4e-4
10,0.00124,4.4e-4
193,0.00124,1e-4
