table,variable,estimate
B01001,B01001_001E,334922500
B01001,B01001_002E,165808020
B01001,B01001_026E,169114480
B01001,B01001_007E,4501509
B01001,B01001_008E,2255440
B01001,B01001_009E,2242512
B01001,B01001_010E,6620353
B01001,B01001_011E,11360103
B01001,B01001_012E,11829461
B01001,B01001_013E,11367389
B01001,B01001_014E,10914858
B01001,B01001_015E,9980849
B01001,B01001_016E,10342208
B01001,B01001_017E,10313326
B01001,B01001_018E,4304343
B01001,B01001_019E,6138005
B01001,B01001_020E,3767554
B01001,B01001_021E,5119378
B01001,B01001_022E,7171219
B01001,B01001_023E,4746871
B01001,B01001_024E,2836327
B01001,B01001_025E,2364441
B01001,B01001_031E,4315240
B01001,B01001_032E,2150659
B01001,B01001_033E,2139776
B01001,B01001_034E,6371873
B01001,B01001_035E,11026860
B01001,B01001_036E,11590116
B01001,B01001_037E,11174476
B01001,B01001_038E,10780569
B01001,B01001_039E,10017802
B01001,B01001_040E,10402940
B01001,B01001_041E,10616547
B01001,B01001_042E,4485301
B01001,B01001_043E,6528522
B01001,B01001_044E,4112705
B01001,B01001_045E,5713148
B01001,B01001_046E,8208903
B01001,B01001_047E,5750350
B01001,B01001_048E,3775132
B01001,B01001_049E,4067600
B02001,B02001_001E,334922500
B02001,B02001_002E,204142880
B02001,B02001_003E,40919548
B03003,B03003_001E,334922500
B03003,B03003_002E,270163140
B03003,B03003_003E,64759368
B19001,B19001_001E,129227496
B19001,B19001_002E,6397599
B19001,B19001_003E,4406926
B19001,B19001_004E,3858602
B19001,B19001_005E,4245461
B19001,B19001_006E,4192539
B19001,B19001_007E,4358743
B19001,B19001_008E,4343918
B19001,B19001_009E,4433159
B19001,B19001_010E,4296543
B19001,B19001_011E,8280714
B19001,B19001_012E,11750969
B19001,B19001_013E,16319799
B19001,B19001_014E,13068961
B19001,B19001_015E,9601960
B19001,B19001_016E,12405370
B19001,B19001_017E,17266232
B15003,B15003_001E,230807300
B15003,B15003_002E,4534710
B15003,B15003_003E,65861
B15003,B15003_004E,64338
B15003,B15003_005E,106237
B15003,B15003_006E,220340
B15003,B15003_007E,448049
B15003,B15003_008E,329550
B15003,B15003_009E,525420
B15003,B15003_010E,1927693
B15003,B15003_011E,635880
B15003,B15003_012E,1945115
B15003,B15003_013E,2527126
B15003,B15003_014E,2847741
B15003,B15003_015E,3319849
B15003,B15003_016E,4494501
B15003,B15003_017E,51011336
B15003,B15003_018E,9083379
B15003,B15003_019E,14727607
B15003,B15003_020E,29306440
B15003,B15003_021E,20322912
B15003,B15003_022E,49868172
B15003,B15003_023E,23264420
B15003,B15003_024E,5354651
B15003,B15003_025E,3875973
B25003,B25003_001E,129227496
B25003,B25003_002E,84210144
B25003,B25003_003E,45017352
B25032,B25032_001E,129227496
B25032,B25032_002E,84210144
B25032,B25032_003E,69288856
B25032,B25032_004E,5313861
B25032,B25032_005E,995588
B25032,B25032_006E,759568
B25032,B25032_007E,670143
B25032,B25032_008E,526853
B25032,B25032_009E,603827
B25032,B25032_010E,1103730
B25032,B25032_011E,4825613
B25032,B25032_012E,122101
B25032,B25032_013E,45017352
B25032,B25032_014E,11276442
B25032,B25032_015E,2966184
B25032,B25032_016E,3174536
B25032,B25032_017E,4721498
B25032,B25032_018E,5033422
B25032,B25032_019E,4841272
B25032,B25032_020E,4087799
B25032,B25032_021E,7103060
B25032,B25032_022E,1749202
B25032,B25032_023E,63939
B25010,B25010_001E,2.53
B01001A,B01001A_001E,204142880
B01001A,B01001A_007E,2474457
B01001A,B01001A_008E,6225192
B01001A,B01001A_009E,6406010
B01001A,B01001A_010E,6727078
B01001A,B01001A_011E,12984347
B01001A,B01001A_012E,12519540
B01001A,B01001A_013E,14273484
B01001A,B01001A_014E,12018110
B01001A,B01001A_015E,5967735
B01001A,B01001A_016E,1885939
B01001A,B01001A_022E,2375135
B01001A,B01001A_023E,5981649
B01001A,B01001A_024E,6192369
B01001A,B01001A_025E,6571935
B01001A,B01001A_026E,12654711
B01001A,B01001A_027E,12269965
B01001A,B01001A_028E,14555381
B01001A,B01001A_029E,13091468
B01001A,B01001A_030E,7247957
B01001A,B01001A_031E,3170659
B01001B,B01001B_001E,40919548
B01001B,B01001B_007E,601758
B01001B,B01001B_008E,1480297
B01001B,B01001B_009E,1545507
B01001B,B01001B_010E,1583271
B01001B,B01001B_011E,2653936
B01001B,B01001B_012E,2323976
B01001B,B01001B_013E,2261206
B01001B,B01001B_014E,1481578
B01001B,B01001B_015E,562901
B01001B,B01001B_016E,152328
B01001B,B01001B_022E,579293
B01001B,B01001B_023E,1470383
B01001B,B01001B_024E,1548410
B01001B,B01001B_025E,1639448
B01001B,B01001B_026E,2873523
B01001B,B01001B_027E,2603179
B01001B,B01001B_028E,2617890
B01001B,B01001B_029E,1925770
B01001B,B01001B_030E,864977
B01001B,B01001B_031E,343730
B01001I,B01001I_001E,64759368
B01001I,B01001I_007E,1119881
B01001I,B01001I_008E,2654285
B01001I,B01001I_009E,2556218
B01001I,B01001I_010E,2559339
B01001I,B01001I_011E,4838489
B01001I,B01001I_012E,3950525
B01001I,B01001I_013E,2863802
B01001I,B01001I_014E,1557422
B01001I,B01001I_015E,614506
B01001I,B01001I_016E,199221
B01001I,B01001I_022E,1063877
B01001I,B01001I_023E,2537091
B01001I,B01001I_024E,2444457
B01001I,B01001I_025E,2373720
B01001I,B01001I_026E,4443377
B01001I,B01001I_027E,3812920
B01001I,B01001I_028E,2899197
B01001I,B01001I_029E,1781561
B01001I,B01001I_030E,843870
B01001I,B01001I_031E,343414
