"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-3.84567415973936,0.858655829462067,-4.47871432043803,7.50939514571058e-06,1.5342970499837,-2.50647301953701,0.0121942363784402
"b_mileage_a",-0.0508130729675029,0.0636034840519734,-0.79890392365898,0.424346123659787,0.0798957254727251,-0.635992384659546,0.524781385612785
"b_range_year0_a",1.2639112432281,0.196298215622058,6.43873016992454,1.20477183784828e-10,0.372993812455584,3.38855820397452,0.000702611153653221
"b_degradation_a",-0.490131223919962,0.0469074821814802,-10.4488921836328,0,0.0626585423910197,-7.8222570333875,5.10702591327572e-15
"b_packreplace_a",-0.140894147287999,0.169028863609504,-0.833550816584189,0.404534150817127,0.183219337074739,-0.768991687981744,0.441898244946319
"b_cellreplace_a",-0.0218710219357984,0.169340070664737,-0.129154439642931,0.897235446080132,0.194071324768767,-0.112695793476225,0.910271736324427
"b_price_a",-0.892850286597131,0.135707677404502,-6.57921720917694,4.72930583583775e-11,0.20866071611746,-4.27895726234603,1.87770909112484e-05
"b_no_choice_b",-7.84853150798588,1.08280414523341,-7.2483389932849,4.2188474935756e-13,1.35847543689254,-5.7774555909079,7.5838728630373e-09
"b_mileage_b",-0.37560595220789,0.0639275186479048,-5.87549712787422,4.21576284992398e-09,0.0861518499176039,-4.35981296474912,1.3017365775525e-05
"b_range_year0_b",-0.0537833096043792,0.13176152425969,-0.408186759424376,0.683136568150535,0.146619310386522,-0.366822824787501,0.713751180976399
"b_degradation_b",-0.0734944843708416,0.0355341952118347,-2.06827490907587,0.0386141797611284,0.04502891209457,-1.63216211434307,0.102645339478782
"b_packreplace_b",-0.253033686418799,0.166039836564511,-1.52393360325002,0.127525298193317,0.240600919360338,-1.0516738135977,0.292949229261007
"b_cellreplace_b",-0.419750273806836,0.174935106824876,-2.39946275750721,0.0164191499541968,0.250406540612851,-1.67627519943979,0.0936843003925651
"b_price_b",-0.650093976558745,0.154926290750745,-4.19615013958256,2.71490311254396e-05,0.249128672878451,-2.60947071666826,0.00906824070139756
"b_no_choice_c",-1.31506327905175,0.742883063285821,-1.77021572309797,0.076691211057696,0.981778294904777,-1.33947071948591,0.180417480402378
"b_mileage_c",-0.240258731827629,0.0810439397207666,-2.96454901693366,0.00303126947403443,0.0904367740905645,-2.65664862821214,0.00789216533558923
"b_range_year0_c",0.609283688721691,0.175750838453912,3.46674698158817,0.000526797515305599,0.216088524217013,2.81960224833504,0.00480832093790529
"b_degradation_c",-0.269821439193961,0.0461967098503076,-5.84070683969205,5.19798049047893e-09,0.0650339625226654,-4.14893124649945,3.34031106403732e-05
"b_packreplace_c",-0.88334095207088,0.230408592981782,-3.83380211926698,0.000126177658242854,0.335833715158188,-2.63029264841619,0.00853113942361783
"b_cellreplace_c",-1.10804068652898,0.247433508546157,-4.47813512825924,7.52979350626681e-06,0.335350798683523,-3.30412419138044,0.000952736166571988
"b_price_c",-0.556527363992252,0.13631257544604,-4.0827294339586,4.45098332477745e-05,0.18394494770031,-3.02551046359244,0.00248213816017251
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.107694319902352,0.632353882467666,-0.170307043078618,0.864768672602014,0.705566556536914,-0.152635238879435,0.878685933989458
"gamma_hhincome_b",-7.06802762898316e-06,3.47776624583545e-06,-2.03234695185364,0.0421185443956176,3.96448714654114e-06,-1.78283529942826,0.0746131177528913
"gamma_used_bev_b",0.130060760823128,0.171611911751405,0.757877232971638,0.448524480987331,0.180992796720294,0.718596337422881,0.472389670724699
"gamma_EV_benefit_b",-0.0299061659912655,0.283587018982308,-0.105456752211677,0.916013385310073,0.339831871433977,-0.0880028287666823,0.929874427836942
"gamma_EV_anxiety_b",-0.359636340105298,0.167201378605345,-2.15091731363153,0.0314827267126594,0.200679048402483,-1.79209709717184,0.073117413813689
"delta_c",0.885421163632334,0.564668754421958,1.56803640488081,0.116872636556614,0.609230012045367,1.45334462538986,0.146128092901828
"gamma_hhincome_c",-1.19154520716671e-06,2.66369600355976e-06,-0.447327775231984,0.654638415402889,2.64919422280918e-06,-0.44977646293642,0.652871630958627
"gamma_used_bev_c",-0.591391826781326,0.181662777870107,-3.25543754045303,0.00113217796261367,0.192179198322094,-3.07729365063824,0.00208889408567758
"gamma_EV_benefit_c",-0.329765636019942,0.236594633088797,-1.39380015393746,0.163377961668419,0.249668172126964,-1.32081567790806,0.186562830860695
"gamma_EV_anxiety_c",0.200019855954309,0.182892158119266,1.09364916468356,0.27410887766123,0.182929924958863,1.09342337509453,0.274207955065366
