"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_no_choice_a",-5.49158970303298,0.430544446935645,-12.7549890426384,0,0.502513076160205,-10.9282523451832,0
"b_mileage_a",-0.174935368966708,0.028693239376394,-6.09674518348836,1.08249875729882e-09,0.0331582978600777,-5.27576444680319,1.3220381411827e-07
"b_range_year0_a",0.444041986832062,0.0593934160671147,7.47628299962227,7.63833440942108e-14,0.0752735025872221,5.89904776010036,3.65605412611103e-09
"b_degradation_a",-0.252333878926164,0.0156058354464538,-16.169200283571,0,0.0213581632795445,-11.8143997507423,0
"b_packreplace_a",-0.18166564159407,0.0810849207021298,-2.24043681637711,0.0250625783908729,0.094069849147885,-1.93117819619842,0.053461019417856
"b_cellreplace_a",-0.257801041793095,0.0800714921260884,-3.21963578981563,0.00128353555364069,0.0916922953674767,-2.81158892096551,0.00492974624167841
"b_price_a",-0.72451218505308,0.0754696815272191,-9.600042962839,0,0.0923206351777659,-7.84778163254631,4.2188474935756e-15
"asc_no_choice_b",-1.24818809739935,0.600063187036287,-2.08009443732776,0.0375168717255865,0.838599220882379,-1.48842029221777,0.136640088381559
"b_mileage_b",-0.235384026057436,0.0731174463216959,-3.21925939565523,0.0012852216637993,0.0857450041104308,-2.74516315556165,0.00604808206801799
"b_range_year0_b",0.587509708440197,0.152806390448822,3.8447980265391,0.000120651771342128,0.196379569085528,2.9917048457537,0.00277424343380583
"b_degradation_b",-0.323144125588638,0.0429878652855235,-7.51710101076964,5.59552404411079e-14,0.0573398295610092,-5.63559620010406,1.74453724799406e-08
"b_packreplace_b",-1.11831283086597,0.215095319910032,-5.19914999235562,2.00201927480492e-07,0.320947628386333,-3.48440908097265,0.000493225002117459
"b_cellreplace_b",-1.20241691950175,0.213630817636284,-5.62848063217601,1.81803911925016e-08,0.277870941119984,-4.32724960247842,1.50982833191371e-05
"b_price_b",-0.4762118502336,0.100549235488082,-4.73610612673476,2.17863533191753e-06,0.135772796556003,-3.50741726113872,0.000452479038433706
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.0626704334688574,0.365608316921079,-0.171414135205205,0.863898140985573,0.387099658334275,-0.161897413545995,0.87138663964106
"gamma_used_bev_b",-0.527696278460788,0.142213668612119,-3.71058762220707,0.000206778708408795,0.145494654046933,-3.62691180591807,0.000286831208942129
"gamma_EV_benefit_b",-0.193167421223112,0.168367715937444,-1.14729489645677,0.251259762570751,0.182005035408703,-1.06133009336442,0.288539914181352
"gamma_EV_anxiety_b",0.375238235323589,0.137787790230592,2.72330541549158,0.00646322769521346,0.129057990999924,2.90751647702163,0.00364311151356866
