"Variables","Est._Car_class3","Est._Car_class1","Est._Car_class2","Est._SUV_class3","Est._SUV_class1","Est._SUV_class2","Std.Err._Car_class3","Std.Err._Car_class1","Std.Err._Car_class2","Std.Err._SUV_class3","Std.Err._SUV_class1","Std.Err._SUV_class2","Sig._Car_class3","Sig._Car_class1","Sig._Car_class2","Sig._SUV_class3","Sig._SUV_class1","Sig._SUV_class2","label","section","fmt"
"no_choice",-4.77,-0.05,-3.09,-5.86,-1.27,-3.82,0.64,0.66,0.72,0.52,0.52,0.5,"***"," ","***","***","*","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.17,-0.17,-0.1,-0.28,-0.37,-0.13,0.05,0.1,0.05,0.05,0.07,0.05,"***"," ","*","***","***","***","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_year0",1.87,1.42,-0.17,1.15,0.62,0.13,0.31,0.36,0.13,0.14,0.16,0.13,"***","***"," ","***","***"," ","BEV Electric Range at Year 0 (100 miles)","Vehicle Attributes","dollar"
"degradation",-0.5,-0.38,-0.06,-0.72,-0.38,-0.06,0.04,0.07,0.05,0.08,0.06,0.03,"***","***"," ","***","***","*","Battery Degradation Rate (% per year)","Vehicle Attributes","dollar"
"packreplace",-0.19,-0.94,-0.22,-0.41,-0.33,-0.28,0.16,0.33,0.16,0.13,0.22,0.15," ","***"," ","***"," ",".","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-0.18,-1.01,-0.2,-0.33,-0.48,-0.26,0.15,0.26,0.15,0.14,0.25,0.15," ","***"," ","*","."," ","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.52,-1.14,-0.36,-1.22,-0.91,-0.46,0.16,0.39,0.18,0.15,0.2,0.16,"***","***","*","***","***","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,-0.26,0.5,NA,-0.4,0.12,NA,0.46,0.63,NA,0.33,0.49,NA," "," ",NA," "," ","ASC","Active Indicators","number"
"EV_benefit",NA,-0.9,-0.37,NA,-0.68,-0.34,NA,0.17,0.17,NA,0.12,0.14,NA,"***","*",NA,"***","*","Perceived EV Benefits (factor score)","Active Indicators","number"
"EV_anxiety",NA,0.01,-0.35,NA,0.1,-0.15,NA,0.14,0.14,NA,0.11,0.1,NA," ","*",NA," "," ","EV Range Anxiety (factor score)","Active Indicators","number"
"hhincome",NA,-0.04,-0.02,NA,0.01,-0.05,NA,0.03,0.03,NA,0.02,0.03,NA," "," ",NA," ","*","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,-0.06,-0.28,NA,-0.22,0.03,NA,0.31,0.3,NA,0.24,0.27,NA," "," ",NA," "," ","Home Charger Access","Active Indicators","pct"
"ev_neighbor",NA,-0.22,0.5,NA,-0.14,0.05,NA,0.35,0.3,NA,0.25,0.29,NA," "," ",NA," "," ","Neighbor Owns/Leases a BEV/PHEV","Active Indicators","pct"
"knowledge_ev",NA,0.26,-0.49,NA,-0.34,-0.37,NA,0.33,0.36,NA,0.25,0.29,NA," "," ",NA," "," ","EV Knowledge","Active Indicators","pct"
"knowledge_subsidy",NA,-0.52,-0.5,NA,-0.18,0.29,NA,0.35,0.43,NA,0.31,0.31,NA," "," ",NA," "," ","EV Subsidy Knowledge","Active Indicators","pct"
"evenvironment_disagree",NA,0.91,1.19,NA,-0.03,0.21,NA,0.54,0.62,NA,0.36,0.41,NA,".",".",NA," "," ","EV Battery Environmentally Positive: Disagree","Active Indicators","number"
"evenvironment_agree",NA,-0.58,-0.35,NA,-0.38,-0.31,NA,0.31,0.37,NA,0.25,0.3,NA,"."," ",NA," "," ","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",NA,-0.9,-1.27,NA,-0.23,0.36,NA,0.38,0.39,NA,0.35,0.33,NA,"*","***",NA," "," ","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"evfunction_agree",NA,0.13,0.03,NA,0.6,0.22,NA,0.34,0.37,NA,0.24,0.29,NA," "," ",NA,"*"," ","EV Battery Functionally Negative: Agree","Active Indicators","number"
