"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.86437393920316,0.403999954890953,-14.5157786980102,0,0.523557617572079,-11.2010096737745,0
"b_mileage_a",-0.284079169789342,0.0386222795208604,-7.355318570358,1.90514271025677e-13,0.0481134666980233,-5.90435878529229,3.54020968096336e-09
"b_range_year0_a",1.14784785225008,0.102193217549156,11.2321334015924,0,0.136609882639955,8.40237785193993,0
"b_degradation_a",-0.724275790794813,0.0499278174334389,-14.5064580834197,0,0.0792122942452401,-9.14347700310846,0
"b_packreplace_a",-0.40936615473524,0.113753415550844,-3.59871528035364,0.000319793066164253,0.132714752818149,-3.08455650967582,0.00203855879302783
"b_cellreplace_a",-0.33371124451329,0.113717185297489,-2.93457179440633,0.00334008273321018,0.136884040503124,-2.43791199680195,0.0147723698092175
"b_price_a",-1.21646331618827,0.0969183693999107,-12.5514216109933,0,0.14827621010247,-8.20403566659545,2.22044604925031e-16
"b_no_choice_b",-1.27381204713979,0.458843233566486,-2.77613780471107,0.00550088875133281,0.515608847342046,-2.47050075596311,0.0134924033771788
"b_mileage_b",-0.36892677012105,0.0651274267317431,-5.66469133872957,1.47289425100894e-08,0.0701671812109534,-5.25782515064833,1.45769013082386e-07
"b_range_year0_b",0.621567195672953,0.142170894429273,4.37197218297145,1.23129216176299e-05,0.162625426674601,3.82207880023985,0.00013233138555413
"b_degradation_b",-0.381933094655688,0.0445805648346561,-8.56725562074486,0,0.0575563614906964,-6.63581026951166,3.22724069690139e-11
"b_packreplace_b",-0.32692065785642,0.188334881211586,-1.73584763349885,0.0825907791306406,0.218176707540919,-1.49842144718911,0.134023787582856
"b_cellreplace_b",-0.482342322248455,0.199851674387454,-2.41350153170763,0.0158000614750125,0.246212567118994,-1.95904834547028,0.0501071252595306
"b_price_b",-0.909697611674203,0.139070725574065,-6.54125883013191,6.10032024894736e-11,0.197724798934319,-4.60082709188334,4.20816644464139e-06
"b_no_choice_c",-3.81739905175081,0.397538766243328,-9.60258313377729,0,0.497544509092088,-7.67247750099131,1.68753899743024e-14
"b_mileage_c",-0.134060409508367,0.0361689971406549,-3.70650059737708,0.000210142740814989,0.0474743552579663,-2.8238489765666,0.00474507377314914
"b_range_year0_c",0.132888973881524,0.0930842409499533,1.42762053517708,0.153401109683564,0.130342498229148,1.0195368025546,0.307948190469228
"b_degradation_c",-0.0601208407803827,0.02453751880932,-2.45015974302777,0.0142792849525064,0.028057608061043,-2.14276429585808,0.0321320296211727
