"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_evb_environment_disagree_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_evb_function_agree_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_evb_environment_disagree_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_evb_function_agree_c","logLike"
-4.77,-0.17,1.87,-0.5,-0.19,-0.18,-1.52,-0.05,-0.17,1.42,-0.38,-0.94,-1.01,-1.14,-3.09,-0.1,-0.17,-0.06,-0.22,-0.2,-0.36,-0.26,-0.9,0.01,-0.04,-0.06,-0.22,0.26,-0.52,0.91,-0.58,-0.9,0.13,0.5,-0.37,-0.35,-0.02,-0.28,0.5,-0.49,-0.5,1.19,-0.35,-1.27,0.03,-4394.51965559657
-4.96844908109781,-0.239432076412778,1.70795851073108,-0.557120666664422,-0.22233704174152,-0.197590478734504,-1.44576098957359,-0.0282039727143166,-0.185784087054642,1.39293954629197,-0.408847470603,-0.772495977042029,-0.889190982057117,-1.15424980540779,-3.31111538578592,-0.104802783138267,-0.089724969261415,-0.0914155161827352,-0.280985001318426,-0.271702702751025,-0.353707252966955,-0.235220863634615,-0.748542270983188,0.0555690032018709,-0.0254707354721521,-0.125244123777101,-0.071678766201684,0.127013201429169,-0.341252442311852,0.659082795113223,-0.32608007451142,-0.901911058989469,0.309757679425667,0.443412887418827,-0.396484665203251,-0.280420914972394,-0.0292840146304358,-0.293319994526045,0.461091865757999,-0.394778502033833,-0.163224274769866,0.852007911723957,-0.342477649658315,-0.612666283992375,0.0392969914378222,-4280.5694080826
-5.50448026001012,-0.307000861669386,1.58865639743078,-0.632865160945269,-0.256881326873599,-0.208558483079905,-1.41253522957751,-0.488862034580289,-0.264226161914009,1.12147263328063,-0.425936298368435,-0.41831901555584,-0.610989162714256,-1.04731899931998,-3.85439086079722,-0.12377692111631,0.0276044348112997,-0.117997763525483,-0.380587518132275,-0.354301319239605,-0.443080581653722,-0.40176619897765,-0.656543458118479,0.105962855820357,-0.00570300123977411,-0.329636203574768,-0.0470255819206632,-0.13242606234153,-0.156860437490215,0.259313897881966,-0.140284648885415,-0.451238261055476,0.669522687085194,0.289951066628203,-0.385176532016496,-0.215762780648751,-0.0423669367034279,-0.295233910098551,0.433723951006426,-0.332421528121878,0.120677002592596,0.284090654991689,-0.379959839014456,0.254482808014115,0.383891446942507,-4214.83086393261
-5.91999055886761,-0.356911756549961,1.37901706565468,-0.702257944643001,-0.361789582917797,-0.258710714744871,-1.32742208891719,-0.918198029153456,-0.325400074501809,0.806178583680089,-0.428595083561369,-0.194903256705507,-0.341784239048379,-0.933388671839029,-3.95087851291915,-0.113421896072722,0.0320947100162681,-0.107080321649966,-0.372845041299045,-0.375657350983727,-0.420752297417883,-0.405834884383511,-0.600571497711672,0.12611366464438,0.0108401659072882,-0.444584710566146,-0.0611820987008259,-0.255835576005948,0.0933468716814418,-0.112102085604243,-0.241102120038621,-0.165451288832128,0.699589835597099,0.310755226126137,-0.335926930204898,-0.16418045577822,-0.0483125856049144,-0.32953796288191,0.171106900881231,-0.361984576449472,0.488984158462914,-0.0162203273501834,-0.478309482969216,0.38640071444722,0.379779846670544,-4186.55294726484
-6.04515609709387,-0.344422089294592,1.26689099858377,-0.731976260584906,-0.384198381314626,-0.285644671965155,-1.28835522117171,-1.36664447876577,-0.382850798746886,0.597100057493408,-0.41502506815811,-0.150032467157749,-0.309692274641836,-0.876589208415617,-3.91875384889293,-0.114247727683116,0.094870357972689,-0.0874572165483972,-0.370210824120633,-0.3570034571137,-0.439908827181505,-0.258443238271274,-0.633253071377803,0.115336847519758,0.00532357414676971,-0.357788368332243,-0.0789720485713125,-0.358983614516293,-0.0330219182078186,-0.113725136648881,-0.327247101187241,-0.170946697147249,0.578401769147194,0.292160711983256,-0.339336959434299,-0.183657191601246,-0.0525264504407944,-0.145406811251849,0.106093132962493,-0.42339923006242,0.395910360558263,-0.0260361218305643,-0.483034258043986,0.482133826837382,0.331080965702592,-4179.23722784574
-5.96123529895513,-0.314082704331622,1.19260962753089,-0.727384836283455,-0.387284396974155,-0.306340551052052,-1.2484768163024,-1.42969942844297,-0.386100512974833,0.560202305117185,-0.400635912739246,-0.213792985793943,-0.3632045734524,-0.878498725819146,-3.82664360690814,-0.117929950802053,0.115078007093664,-0.0673322348703817,-0.341768856760622,-0.322657630239462,-0.438175537292522,-0.324854338709962,-0.63901777520848,0.104349666773341,0.00913551228692145,-0.257908755160474,-0.0860782102925987,-0.397748661253579,-0.166154236474397,-0.0650453214077468,-0.39164268871456,-0.190615644427098,0.566955936698996,0.1995291918434,-0.323400296957337,-0.174114843651351,-0.0543653473753888,-0.0374654691736528,0.0828620881089782,-0.437079634323741,0.313580686703649,0.0714509643170189,-0.41839415934268,0.444570223360397,0.268710164807111,-4176.22311063546
-5.86920829691724,-0.287513238895072,1.15005135258799,-0.719420300224119,-0.394288891132085,-0.321656908997645,-1.22510857745397,-1.41800636781116,-0.381774687372582,0.568036470975722,-0.388887323098509,-0.296155602451726,-0.438632107325454,-0.891990854701822,-3.77999748855362,-0.125598222747458,0.123482842724945,-0.0562305653719088,-0.311134930904387,-0.284932649179075,-0.438600408803179,-0.373828278687745,-0.664000306820243,0.10474492840091,0.00891350947279996,-0.209599187778179,-0.117866635168082,-0.371094382859801,-0.202608739479239,-0.0332881232955418,-0.405768735244517,-0.239952566876045,0.563322130234349,0.102380925119695,-0.337219984243228,-0.158346978552685,-0.0540129710433261,0.035205850947554,0.0686255708987094,-0.400466706579413,0.281300660162431,0.192717252214009,-0.344030519742879,0.380639960125142,0.226177058050181,-4175.03392455681
-5.85023812582133,-0.281950093886079,1.14163472721953,-0.71821730240093,-0.404076369605013,-0.329275475236892,-1.21860162026584,-1.32282836656829,-0.371086110003016,0.597833635091589,-0.38391672569389,-0.324546616385011,-0.472172749765621,-0.900347942013273,-3.78031246908019,-0.129805244548165,0.125802001963733,-0.0558555290012511,-0.29330068643139,-0.266678971042526,-0.441103772539374,-0.406953500620901,-0.675879812937984,0.10192044975223,0.0091282235950315,-0.208095088182463,-0.122360188486836,-0.355801569678477,-0.196401391661465,-0.0229200714590948,-0.394354122460101,-0.240126573625516,0.589971877690873,0.0882698900884175,-0.344751470469642,-0.153683840734431,-0.0539655717120839,0.0413626357666351,0.0663606824785231,-0.384930637681258,0.278057379630684,0.221243832601094,-0.31214731898755,0.356838578127142,0.22300612774826,-4174.78931829419
-5.85229092073485,-0.28178711636615,1.14332699746239,-0.719545188647825,-0.40900826004013,-0.333587827607133,-1.21833219939761,-1.28494202036966,-0.368958911173728,0.614932641102853,-0.382044114024412,-0.332810909966752,-0.487937780564806,-0.905845260212208,-3.79845646852393,-0.13260899875258,0.127929783946951,-0.0579054942112493,-0.286087862558966,-0.257028664565597,-0.446640927753575,-0.409221440329745,-0.678045196903947,0.104180969117949,0.00817804609201029,-0.213840120051902,-0.134091758444509,-0.341415507012108,-0.181268852096609,-0.0215652743204873,-0.381974449175197,-0.240246682829305,0.596249628247801,0.0920351030085124,-0.344301613932231,-0.150798159302995,-0.0532182036197706,0.0376765549872107,0.0629925517677362,-0.372875507798838,0.282719257040893,0.228989829929457,-0.307562802547167,0.351056924128915,0.220718195168808,-4174.72868553757
-5.86158183701409,-0.283327547266314,1.1461221299147,-0.72158669512763,-0.410834275903384,-0.334478504316616,-1.21905211190135,-1.26912423920553,-0.368404151323856,0.621354245222883,-0.381598027421978,-0.330785871021082,-0.487209755867911,-0.907991880556124,-3.80781155423586,-0.133385634689669,0.1301471318622,-0.059411454329478,-0.283050353701816,-0.255138902773762,-0.450642544851106,-0.404709919871429,-0.677956783110014,0.103505633951859,0.00778520374606595,-0.217612005884154,-0.133823477302588,-0.340334324099671,-0.176533533173172,-0.0251236645854323,-0.377509649004095,-0.234092661886732,0.599192429022439,0.105824521228561,-0.344067028829539,-0.151486110786102,-0.0532844869623827,0.0341006397533741,0.060781155787731,-0.373156697722929,0.284208402299052,0.21793218982559,-0.308740553325063,0.357668757568217,0.221470696839328,-4174.71686258726
-5.86553395739386,-0.284204250049055,1.14792190789274,-0.722970715816666,-0.410759632564188,-0.334628412193024,-1.21904822078486,-1.26925980274154,-0.368945654307834,0.622374057716639,-0.381557892249634,-0.327866566947729,-0.485025821357828,-0.909054375883866,-3.81488603441401,-0.133816127063912,0.131520316588511,-0.0601102604801505,-0.282924361973589,-0.254866634233378,-0.453789907448718,-0.401287694275393,-0.676570068713794,0.104043858948135,0.00761094311812044,-0.217703539532268,-0.135143854680366,-0.340185036264351,-0.176183930863691,-0.0272455332620419,-0.376556037015995,-0.231201548423518,0.598341403190034,0.112962920064176,-0.34147525156139,-0.151179841891381,-0.0532659577260215,0.0329856286698119,0.0581771341330083,-0.372299809251062,0.285359458461801,0.214708990429189,-0.312412511075854,0.361278563789488,0.220482725829093,-4174.71356853449
-5.86668344673829,-0.284452939499932,1.14844240176713,-0.72370841747994,-0.410299422462469,-0.334265154323976,-1.21854318934683,-1.27165602029766,-0.369186254435209,0.622167688311344,-0.381662565793251,-0.326726677878816,-0.483211418341731,-0.909658578670269,-3.81629962826276,-0.133889938595637,0.132465497662702,-0.0602943090796844,-0.282810975970428,-0.255196462546795,-0.45559163204248,-0.398227155701267,-0.676000161648703,0.104198612940431,0.00751093112080314,-0.217469236443508,-0.135525760351976,-0.3405757153507,-0.176834977007206,-0.0287934049279665,-0.37686428680738,-0.230493396822986,0.59674314045803,0.118213780917283,-0.340421241964479,-0.151169685337038,-0.0534564416308103,0.0327411703813831,0.0564590725018116,-0.372583041247152,0.285762678987856,0.211431542769945,-0.313812984650778,0.363027108595032,0.219770753311887,-4174.71245333801
-5.86636772320755,-0.284457027293828,1.14848786729133,-0.724197371360539,-0.409865417568809,-0.334029731473432,-1.2177475299497,-1.27362538293294,-0.369195527673358,0.621669470094901,-0.381765296204572,-0.326115060724604,-0.482024156963125,-0.909956835816337,-3.81751452553684,-0.133968301091251,0.132917366642983,-0.0603029963679608,-0.283165654119998,-0.255568053404835,-0.45683594212439,-0.396932897211481,-0.675728166334209,0.104393570242461,0.00750442871799099,-0.21683670483674,-0.135639466815491,-0.341005208995489,-0.177688504731945,-0.0288733585639284,-0.377436519304619,-0.230662710414904,0.595886584238397,0.120595329735472,-0.339646930802154,-0.15084995792306,-0.0535755525213017,0.033059287552593,0.0550283677253656,-0.372214294803392,0.286379892160103,0.211631093029722,-0.314339855446225,0.363008241504196,0.218963076418993,-4174.71195414511
-5.86525103868104,-0.284288162635394,1.14822718189981,-0.72430653664765,-0.40950461489923,-0.333781845607702,-1.21704417866871,-1.27468355196464,-0.36909759062986,0.621409074644738,-0.381860008141856,-0.326304926006188,-0.481811696604119,-0.91003164798245,-3.81734707709825,-0.133991190788872,0.133075699654268,-0.0602104417693378,-0.283437429709685,-0.255835506120854,-0.457367555819262,-0.396480603962182,-0.675720190418465,0.104565548005633,0.00750108355916281,-0.216494662008075,-0.135941291920746,-0.340959220609351,-0.177973584408824,-0.0286276989922816,-0.377579567164903,-0.231410312855605,0.595227581813972,0.121685403288669,-0.339459025517492,-0.150661889801399,-0.0536742597894605,0.0331830989697493,0.0544508897145281,-0.372133418454327,0.286543460037736,0.211945001999404,-0.314072814761988,0.362174879387172,0.218459854208478,-4174.71174992255
-5.86461755944132,-0.284161182247212,1.1480000401252,-0.724353859828679,-0.409377494507759,-0.333716979040382,-1.21660509206831,-1.27474242505596,-0.368983956305963,0.621347833540487,-0.381914444995709,-0.326578502151758,-0.481891178994954,-0.90997039301039,-3.81744520390749,-0.134027553756002,0.133025434685785,-0.0601511752829985,-0.283698525408531,-0.256003058894212,-0.457499753916019,-0.396532059809516,-0.675828267983412,0.104643633241669,0.00751249726635139,-0.216352252757638,-0.135935292241242,-0.340927593818587,-0.17799587874945,-0.0280265308545017,-0.377647269735859,-0.231995111460192,0.595135032071882,0.121651103521615,-0.339577643343596,-0.150482022592962,-0.0537075830038753,0.0333333256042527,0.054282680254806,-0.371905646042224,0.286748774266389,0.21295162186585,-0.313499430379387,0.361292457044974,0.218192280456524,-4174.71166934693
-5.86419160472109,-0.284078759112025,1.14785476185661,-0.724294004123672,-0.4093214815583,-0.333678357337957,-1.21642213552153,-1.27436801817297,-0.368915931806394,0.62142574131948,-0.381934643712889,-0.326833779916776,-0.482156181392666,-0.909850691392698,-3.81731591919884,-0.13404314498877,0.132947211143034,-0.0601093863437919,-0.283834689150376,-0.256058025265476,-0.457422045744612,-0.396797888296432,-0.675909330576015,0.10468063184722,0.00751906556385165,-0.216361306784067,-0.135977453680066,-0.340816421787321,-0.177794129897975,-0.0276897956196407,-0.377467080392368,-0.232342941785544,0.595165348538058,0.121408214464084,-0.339729111686004,-0.150437077268589,-0.0537072646760047,0.0333135012086318,0.0544292885621383,-0.371938687037659,0.286670136542598,0.21337823509334,-0.313111064192078,0.360727103951197,0.21813942066803,-4174.71164366734
-5.8642485185953,-0.284066569957067,1.14782681405181,-0.724280992709295,-0.409348597382939,-0.333701233265574,-1.21641861963409,-1.27402880449121,-0.368907369506941,0.621510419042763,-0.381936727705769,-0.326925836767043,-0.482295150571345,-0.909764111481817,-3.81736792809902,-0.134056127120531,0.132892448381865,-0.0601114004671284,-0.283876532493043,-0.256064915880542,-0.457324287764345,-0.396899838262318,-0.675949656135251,0.104674410669053,0.00751997038108413,-0.216416527512878,-0.135939289535257,-0.340782053423216,-0.177649337024419,-0.0275170778661576,-0.377385787614736,-0.232391001152255,0.595254612612647,0.121185723411019,-0.339847811776658,-0.150424012677805,-0.0536966285537503,0.0332933517350111,0.0545690500743619,-0.371929031691463,0.286658065802308,0.213608170881542,-0.312897739032681,0.360564735456114,0.218160486881592,-4174.71163704914
