"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-0.901762185613955,NA,NA,NA,NA,NA,NA
"b_mileage_a",-0.342341459805114,NA,NA,NA,NA,NA,NA
"b_range_year0_a",0.734761242045729,NA,NA,NA,NA,NA,NA
"b_degradation_a",-0.356316097469419,NA,NA,NA,NA,NA,NA
"b_packreplace_a",-0.312716489644562,NA,NA,NA,NA,NA,NA
"b_cellreplace_a",-0.432671322658401,NA,NA,NA,NA,NA,NA
"b_price_a",-0.995654841982809,NA,NA,NA,NA,NA,NA
"b_no_choice_b",-4.26454459884643,NA,NA,NA,NA,NA,NA
"b_mileage_b",-0.14784380254388,NA,NA,NA,NA,NA,NA
"b_range_year0_b",0.507412185187866,NA,NA,NA,NA,NA,NA
"b_degradation_b",-0.335348198844213,NA,NA,NA,NA,NA,NA
"b_packreplace_b",-0.213225500593055,NA,NA,NA,NA,NA,NA
"b_cellreplace_b",-0.215533740494592,NA,NA,NA,NA,NA,NA
"b_price_b",-0.700729249147935,NA,NA,NA,NA,NA,NA
"b_no_choice_c",0.366786535185053,NA,NA,NA,NA,NA,NA
"b_mileage_c",-0.122819424050919,NA,NA,NA,NA,NA,NA
"b_range_year0_c",0.212901533732282,NA,NA,NA,NA,NA,NA
"b_degradation_c",0.0565196978126971,NA,NA,NA,NA,NA,NA
"b_packreplace_c",-4.79329998400855,NA,NA,NA,NA,NA,NA
"b_cellreplace_c",-4.66244499045459,NA,NA,NA,NA,NA,NA
"b_price_c",1.08338642783854,NA,NA,NA,NA,NA,NA
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"delta_b",1.36435787247527,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_b",0.607905359612014,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_b",-0.260258186282114,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",-0.0309440908410449,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0.164056154087369,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0.164240154121003,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",-0.0715365734670419,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_b",0.476457631605947,NA,NA,NA,NA,NA,NA
"delta_c",-0.117537333202474,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_c",0.328835195894329,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_c",-0.559012911681731,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_c",-0.776845818951449,NA,NA,NA,NA,NA,NA
"gamma_hhincome_c",-0.0585179621292498,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_c",-321.441898830943,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_c",-1.57490288631704,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_c",-1780.34628838845,NA,NA,NA,NA,NA,NA
