"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-6.21768068699842,0.648771618797946,-9.58377417698794,0,0.936223617150168,-6.64123460795063,3.11066727931575e-11
"b_mileage_a",-0.304293787682869,0.0574124742590453,-5.30013366624637,1.15717930349035e-07,0.0744776164229214,-4.0857079253844,4.39426282257127e-05
"b_range_year0_a",1.11887775690473,0.141698485107568,7.89618714734562,2.88657986402541e-15,0.185705498233969,6.02501147001614,1.69097624791448e-09
"b_degradation_a",-0.796281904274266,0.0830182615566108,-9.59164754047849,0,0.13970532141355,-5.69972493687013,1.20000891445926e-08
"b_packreplace_a",-0.432564948991362,0.157113413566403,-2.75320190155846,0.00590154881337557,0.17401838198454,-2.48574285117645,0.0129281344965568
"b_cellreplace_a",-0.353368472109565,0.153873856127993,-2.29648155314721,0.0216483627126389,0.173649559455551,-2.03495173392603,0.0418557297531594
"b_price_a",-1.25534998192548,0.14524960466586,-8.64270842466909,0,0.214881135968747,-5.84206694676106,5.1557078606379e-09
"b_no_choice_b",-0.954729602994393,0.573887684684457,-1.6636175134501,0.0961888897458303,0.637226793210989,-1.49825715611157,0.134066450838875
"b_mileage_b",-0.352552248745819,0.0813202736023985,-4.33535492599992,1.45525124473078e-05,0.0922401938778718,-3.82211088164674,0.000132314166163994
"b_range_year0_b",0.527271895380207,0.182547543184252,2.88840860952048,0.00387196526968969,0.209134530077727,2.52120917183901,0.0116952307658642
"b_degradation_b",-0.314433308713517,0.0569692346117898,-5.51935287275994,3.4025033235352e-08,0.0799386940728055,-3.93343064157568,8.37420105275211e-05
"b_packreplace_b",-0.46091139821364,0.234011965984919,-1.96960611084026,0.048883530760838,0.276820884575538,-1.66501670898269,0.0959094223038217
"b_cellreplace_b",-0.649979614297031,0.258579195209023,-2.51365781292505,0.0119486305584258,0.349250008361345,-1.86107258048951,0.0627339277283987
