"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice",-3.49963296013228,0.213288867876007,-16.4079494395683,0,0.267518411975912,-13.0818396172574,0
"b_powertrainbev",-1.49542176699214,0.178913798468178,-8.35833669507677,0,0.215421891360908,-6.94182823084949,3.87068155305315e-12
"b_powertrainphev",-1.0589556500663,0.177925920910436,-5.95166597788386,2.65426658430101e-09,0.18765797240554,-5.64300912181783,1.67103488823983e-08
"b_powertrainhev",-0.194306075724332,0.0801047552330077,-2.42564970280649,0.0152810119391107,0.100165568612816,-1.9398489762027,0.052398046542947
"b_range_bev",0.166248524390114,0.0951205421924553,1.74776678683924,0.0805044186761639,0.101753590605109,1.63383447602651,0.102293611104535
"b_range_phev",-0.0159599958227499,0.0604453492246867,-0.264040096177187,0.791749022453754,0.0564475729368117,-0.282740160336314,0.777376028302366
"b_mileage",-0.175234418525188,0.0236106794909749,-7.42182869375577,1.15463194561016e-13,0.0235438553546212,-7.44289394773205,9.85878045867139e-14
"b_age",-0.108868737112413,0.0109419654390873,-9.94965097618648,0,0.0118890181133565,-9.15708396390672,0
"b_operating_cost",-0.039814768881791,0.00870051551875714,-4.57613905704274,4.73635782127779e-06,0.0101729152763395,-3.91380128510394,9.08544132678379e-05
"b_price",-0.275757100487949,0.0379970699720656,-7.25732538563309,3.94795307556706e-13,0.0629940425979762,-4.37751077904004,1.200424260972e-05
