"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_a","gamma_EV_benefit_a","gamma_EV_anxiety_a","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","inSample_Class_1","inSample_Class_2","inSample_model","outOfSample_Class_1","outOfSample_Class_2","outOfSample_model","inSampleObs","outOfSampleObs"
-6.06714488397541,-4.94051792899066,-2.23043479145422,0.252446194183486,-0.348363199649005,-0.0454612942026668,-0.757370804510186,-1.2755268082477,-6.60256387553358,-1.21788365822066,0.209955914312084,0.235505485891245,-0.167948941776033,-0.104569499845217,-0.86259805370015,-1.05150555753755,0,0,0,0.732439001152459,0,0,-2659.57516975816,-2071.24562501882,-1746.10951707572,-320.692459004346,-238.56862344094,-218.429686152603,1620,180
-6.05183030477945,-4.51391847662614,-2.24254615962153,0.0159484212331493,-0.255026569494632,-0.0550641965397926,-0.967448989119007,-1.30258339436311,-6.43326809636811,-1.22118447586484,0.214934436983515,0.214577759294562,-0.146054791007598,-0.118311178119038,-0.819082825827082,-1.02184794598888,0,0,0,0.735371890154929,0,0,-2589.30695771905,-2060.59328377173,-1761.64020399567,-319.200496404698,-236.610461459777,-202.401772582451,1620,180
-6.13336685676938,-4.63590261610777,-1.93392187912502,0.404956309439763,-0.306241156334841,-0.0473505095276474,-0.988690652338081,-1.38090719558608,-6.76243004086349,-1.01514456734323,0.219484027047119,0.115664286824893,-0.161479046641692,-0.113269799002095,-0.801118305825665,-1.06675695215013,0,0,0,0.640475122221765,0,0,-2536.44527691218,-2106.25285348031,-1765.8815022938,-281.401783338079,-235.365983346917,-197.807933224711,1620,180
-6.03623221011121,-4.69418375022409,-2.17647632543468,0.412624291408218,-0.328621128194293,-0.0401422201222706,-0.838459797613586,-1.38420197913725,-6.47106523720008,-1.1860832689918,0.148408358700598,0.120613731868091,-0.135967404930759,-0.116326624472034,-0.816039990832495,-1.03048435441145,0,0,0,0.78060655807483,0,0,-2612.42458690596,-2071.11885344539,-1767.00571291941,-322.159733267554,-220.113591001699,-197.268127452547,1620,180
-5.61922698736523,-4.44911380754056,-1.94234857879199,0.312140839734399,-0.27071752968048,-0.056156675054326,-0.800305525988204,-1.27189802138236,-6.6388137348714,-1.02261243251824,0.262694311146855,0.147812795324679,-0.141824733930071,-0.120644076112213,-0.753077144324837,-1.12404919503941,0,0,0,0.706152176919149,0,0,-2550.98344278356,-2096.76576553529,-1774.48099207842,-274.607320059279,-228.072953292174,-189.398140803011,1620,180
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
