"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.81680391945509,0.661659848735139,-8.79123001127358,0,0.83266777713617,-6.985743989591,2.83351120344832e-12
"b_powertrainbev_a",-4.54851045340127,0.834967011072256,-5.44753312775809,5.10732049985307e-08,1.09049626863607,-4.17104632470708,3.03204210108099e-05
"b_powertrainhev_a",-2.01131631986914,0.28657197214686,-7.01853815221817,2.24198437592804e-12,0.546262499798001,-3.68195935216657,0.000231448318553928
"b_range_bev_a",0.231926006937105,0.600273038768008,0.386367522707844,0.699224499368616,0.671259233309722,0.345508851764417,0.729711856800554
"b_mileage_a",-0.30233160915217,0.0697032573148804,-4.33741005511987,1.44171502045598e-05,0.0932280282297724,-3.24292613383429,0.00118308879470774
"b_age_a",-0.0528835874145454,0.033869187131062,-1.56140704558111,0.118427740555684,0.0351699812992983,-1.50365696713067,0.132669714853504
"b_operating_cost_a",-0.875450849695101,0.273537837853077,-3.20047440809752,0.00137201553057653,0.338791553781795,-2.58403977290104,0.00976505327353894
"b_price_a",-1.2333559118631,0.185486307993676,-6.64930972643624,2.94471114159478e-11,0.297950011027557,-4.1394726169318,3.48105146794619e-05
"b_no_choice_b",-6.56983975464127,0.408354486787904,-16.0885700223825,0,0.565593190752915,-11.6158395505001,0
"b_powertrainbev_b",-1.15961094942975,0.254205681916872,-4.56170350200496,5.0740265089555e-06,0.4115579306426,-2.81761293633476,0.00483820960979675
"b_powertrainhev_b",0.25594700530903,0.12186538466228,2.10024369117058,0.0357074097820917,0.15161928296969,1.68809006543182,0.0913939412101439
"b_range_bev_b",0.219258429658592,0.131323562830052,1.66960463860045,0.0949976120580462,0.181997513988542,1.20473310241147,0.228306352685574
"b_mileage_b",-0.152411042269611,0.0326643742959037,-4.66597158387094,3.07162151536033e-06,0.0413929005086624,-3.6820575605161,0.00023135915592154
"b_age_b",-0.116671931303169,0.0187788918333643,-6.2129295135445,5.20057774622273e-10,0.0216336402398121,-5.393079019982,6.92604753549375e-08
"b_operating_cost_b",-0.792286553814194,0.141831063017699,-5.58612857407213,2.32187362669833e-08,0.161965056153401,-4.89171289555075,9.99621885711122e-07
"b_price_b",-1.04966048836172,0.0859726380915633,-12.2092390283965,0,0.115409380941362,-9.09510543943597,0
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"delta_b",0.691965987747458,0.191814743910974,3.60747027907623,0.000309196942687384,0.305729078303851,2.26333063111433,0.0236153154142176
"gamma_EV_benefit_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_b",0,NA,NA,NA,NA,NA,NA
