"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","delta_b","gamma_used_bev_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","logLike"
-0.454240592196584,-0.565368321724236,0.114958379417658,0.65060148248449,0.171618627849966,-0.636851146817207,-0.883629248011857,-0.236856664065272,0.801138063427061,0.509926792234182,-0.195353378541768,-0.520647355355322,0.514428470749408,-0.523247521836311,0.172936935443431,0.726418585516512,-0.442003132775426,-0.176608100999147,0.239694961346686,-0.268588647246361,-0.669799621216953,0.554906010162085,0.469534975476563,-0.274965412449092,-4107.90182021119
-0.335736429948121,-0.594410995714435,0.0345774865721685,0.709825767319005,0.168857363399337,-0.666898271404569,-0.875224867065806,-0.238688102614392,0.784954727691,0.456426786084692,-0.207636644718965,-0.475739213951273,0.455680924153208,-0.463701929039335,0.197478650071799,0.705768845725884,-0.437622874880641,-0.174769943500306,0.237361708643442,-0.266232327615363,-0.529707267468895,0.602556003971168,0.396521037477442,-0.232657005266258,-3996.14766636266
-0.63420396283005,-1.00533511413616,-0.272921911163056,0.552487455182544,0.307226308532044,-0.447886371607575,-0.800459189094307,-0.226946715575352,0.664544394511662,0.425864431943785,-0.431412457463486,-0.403243069824108,0.281779071053877,-0.390303294920774,0.158819269085749,0.671620214948276,-0.422726572528332,-0.177767138080721,0.219421998095744,-0.254536369335287,0.00356246575846764,0.552016407414754,0.291082613746078,-0.236613188249765,-3756.14878697124
-0.89364939566549,-1.86365109687927,-0.677201959417551,0.278781032938014,0.600433831731101,-0.200681247701651,-0.662575337571557,-0.206567326871349,0.425504117490339,0.304334422108297,-1.14999112082977,-0.337400455040427,-0.257090569499039,-0.265712371512517,0.0578929024197272,0.565572808679757,-0.369589832128331,-0.182180601419725,0.157131702790675,-0.226840481739418,0.13427701055566,0.516740575756605,-0.0615053862078496,-0.0789528777471962,-3199.25190149089
-1.7736631180394,-2.53336058094988,-1.32714450836288,0.0536358180630566,0.698909985284802,0.0276689109146631,-0.537654740919854,-0.205004816519811,0.298418102139136,0.145524154559444,-1.78911533001123,-0.364976225759818,-0.559928475390359,-0.217260359781614,-0.0258207573543443,0.464380238778509,-0.3384284652104,-0.180413466581398,0.103513473769469,-0.220134366451167,0.244444462474415,0.443190821273853,-0.0888387343484898,-0.219251980560628,-2896.90455420192
-2.73181316575815,-3.46141977103609,-2.01754941459981,-0.183389217818937,0.77206930415872,0.0611865866331609,-0.39353682771679,-0.214917325316236,0.177915821826672,-0.0170938982230178,-2.6036637960266,-0.482344731041982,-0.773401331461988,-0.184777561508358,-0.0769481306648055,0.30147165574292,-0.294986244612101,-0.165850987980994,0.031261396593767,-0.230210148903746,0.504290365069497,0.328409228081967,-0.03725444463083,-0.301118683428685,-2616.90119115266
-3.29821647990691,-5.48049672101916,-2.89525830965691,-0.571752379659812,1.28922892196062,0.20255350923143,-0.177990245523332,-0.196917434107383,0.045160451615067,-0.08816056169504,-3.2841227072207,-0.627707711787423,-0.667581709962189,-0.13652305476301,-0.0420664966840991,0.0815792714562935,-0.253380097212204,-0.147007091288769,-0.0270569208819359,-0.266671225275895,0.36377089368251,0.428072513546861,0.12974026131321,-0.437800085570719,-2462.43824405814
-3.9236783709263,-7.4878963099753,-2.96005153358817,-0.920903334276414,1.85639510248698,-0.00530153028865443,-0.137716868504532,-0.112361185263763,-0.0598858010689466,-0.27002090568553,-3.66258733335145,-0.493107708837039,-0.270568351779122,0.137040428051946,0.0515734254977776,-0.0798961659716476,-0.1971787784634,-0.133357738383813,-0.059860590171818,-0.346685839057095,-0.476232192176987,0.503571121106906,0.542950446146307,-0.441529473170063,-2338.18932448475
-4.66193917522961,-9.17795864436205,-3.8307697459456,-1.17310825131485,2.26381087224694,0.0549120776005466,-0.19268933962996,-0.105860678879912,-0.0824577373657704,-0.394942631576143,-4.31541976637579,-0.502238391450181,0.0289369190472939,0.369912067637721,0.184481172660614,-0.169623182996117,-0.135002994913204,-0.122466663647825,-0.0679314941353455,-0.491627417575825,-1.55557128517979,0.818079570872253,0.94018275598917,-0.340834622783304,-2253.46835310488
-5.21046662849427,-11.4497899181213,-3.5846830233896,-1.38257084910152,3.09516153753492,-0.110513305230885,-0.264101461508087,-0.117867846776754,-0.0834212036026954,-0.518537291550084,-5.12345952545936,-0.431356705707045,0.260249758019641,0.640269131617881,0.292615784357914,-0.176749493028715,-0.0971846467892627,-0.108335407238175,-0.0675069758963586,-0.634504370598826,-2.35900056795154,0.99877452025058,0.860551685984695,-0.192261421818627,-2218.31112962467
-4.69293799281395,-10.9626585480164,-3.15094666812546,-1.26043303004995,3.06958543372706,-0.0855897174028885,-0.249587058874333,-0.122316641891943,-0.0605627482838068,-0.4689881147302,-4.54888310229734,-0.293068447532994,0.261036313721314,0.644648326110933,0.249871412190357,-0.116482274830882,-0.132713828532641,-0.106312725415298,-0.0498697612965608,-0.528854451971411,-2.13324598315247,0.980065152523895,0.872336605161118,-0.207133119972348,-2206.16879282306
-4.55425023036325,-11.6612241577086,-2.93922209202931,-1.2831406775972,3.4481908137647,-0.0455385782195512,-0.270339972319312,-0.128830599879628,-0.0451271610764368,-0.491074714645089,-4.54653473293468,-0.112217685263053,0.405003566921885,0.793710824473918,0.264643088717356,-0.0747520257730063,-0.135408498931068,-0.0963714404802833,-0.0359467179378651,-0.503538417164305,-2.29140765270642,1.02227600640824,0.816792576996245,-0.145154625451984,-2199.03636252009
-4.62273667327654,-10.3970813912254,-3.34880939785311,-1.29359374229073,2.89057472831022,0.0771827002494022,-0.269977460124787,-0.127521387178532,-0.0480526820182193,-0.488876352362574,-4.49274950802564,-0.0937637232531347,0.351154616781737,0.749832826520753,0.241411967474376,-0.057141100532802,-0.13127044593999,-0.103704364343667,-0.0385192747399514,-0.462805491133101,-1.94176289877325,0.908102415738401,0.689892620677063,-0.14470312428402,-2195.51772521095
-4.62617644305081,-8.72581583481011,-3.32007880175522,-1.27302126900856,2.22838218722536,0.071765233528368,-0.267669329159352,-0.134912325159819,-0.0464023818145037,-0.485023742889343,-4.91376771773736,-0.197773794739154,0.181597368894761,0.628429315207547,0.16778050494631,-0.04967674393274,-0.146004828953029,-0.107199786868988,-0.0481770417289066,-0.441709807853712,-1.80652958237435,0.840394572092197,0.735959588316761,-0.238661531885877,-2190.86733335982
-4.63924616821777,-8.9423096743179,-3.36521705017117,-1.27683012032058,2.34410283296235,0.0932388639066354,-0.265987395927278,-0.134164202190962,-0.0478695827192577,-0.484568022510396,-5.09099398956382,-0.20062754642723,0.184825821801355,0.636039630448706,0.163080904517061,-0.0553882771238438,-0.141484046451644,-0.110741106194164,-0.0489063409040911,-0.460395103724957,-1.77528563897886,0.836922097871099,0.683713330489797,-0.258378365151723,-2190.24315362545
-4.64688551500853,-8.62482076987772,-3.31051560773458,-1.26412085157643,2.22082357610418,0.0781009074285562,-0.268190137968273,-0.13557290327158,-0.047730520007624,-0.483681597119431,-5.26196672540168,-0.214043235655991,0.159159603519988,0.628070017004703,0.149944868129867,-0.0551922093605825,-0.142712637735543,-0.11116149573704,-0.049646367338195,-0.476749904017877,-1.77301401416171,0.834866190906851,0.688636857084142,-0.276029368586822,-2190.07896216645
-4.64517697894533,-8.71530365064022,-3.32512195518506,-1.26465115073756,2.25820563385948,0.0837633712990361,-0.266886954955106,-0.135171391453529,-0.048018741312794,-0.484129171679887,-5.25543708701553,-0.213494641929296,0.160351737540766,0.629914421400985,0.151605092962455,-0.0547746594627767,-0.142583187187955,-0.110749016745631,-0.049172901810602,-0.479533098232285,-1.77629152509518,0.835889512245645,0.692399116213523,-0.274205365258715,-2190.06987855805
-4.64501683649336,-8.70626897268757,-3.31351662991074,-1.26264800965912,2.2525142166459,0.0795486428932815,-0.267077973740445,-0.135138202173061,-0.0480010617293395,-0.484049866964998,-5.25797167021706,-0.21245434675919,0.16113818100437,0.631952952877973,0.152727997429469,-0.05424326463517,-0.142429075701083,-0.110681008433269,-0.0489601202975549,-0.482010897041905,-1.77760557230108,0.836052934954534,0.692779850177344,-0.271517228797397,-2190.06775275798
-4.64454605409849,-8.71430248307131,-3.31826663413685,-1.26205324073178,2.25574589680459,0.0814643632332959,-0.266903929273599,-0.134911925057073,-0.0480342514543965,-0.484314039482795,-5.25965170611893,-0.212404861332149,0.160729003415137,0.632296497921603,0.152887190842087,-0.053953269923947,-0.142437850420979,-0.110628856860408,-0.0488812953191545,-0.482998104096447,-1.7770102144403,0.8357131170279,0.694195500020071,-0.270348721430735,-2190.06729137727
-4.64425723420683,-8.71926078273785,-3.31735347644934,-1.26160520724933,2.25814262338886,0.0811457451687728,-0.266716190293469,-0.134922205631728,-0.048045136233967,-0.48435872278264,-5.26084575204888,-0.212450464076113,0.160568355835057,0.632274809834974,0.152770667873951,-0.0539146442621636,-0.1424375284733,-0.110639944855262,-0.0488862890908361,-0.483147056039959,-1.77691557717652,0.835531317971934,0.6945203417853,-0.270236618916165,-2190.06721191925
-4.64414238006882,-8.71635608232995,-3.31680745497855,-1.26115128200855,2.25727198117162,0.0809985452611185,-0.266628156549799,-0.134900761249226,-0.0480456785835484,-0.484434477460469,-5.26205399038303,-0.212389763826574,0.160578731893602,0.632287205922044,0.152639013149661,-0.0539202775296198,-0.142440773332599,-0.110661813338764,-0.0488991786559847,-0.48322025918012,-1.7771050388599,0.835443973369462,0.694619576271508,-0.270182961951494,-2190.06717176754
-4.64422668779548,-8.71343697886745,-3.31653095392103,-1.26095932857783,2.25621149942751,0.0809231847036969,-0.266609097044184,-0.134893633859065,-0.0480474730776964,-0.484475440703728,-5.26239427587007,-0.212256380205907,0.16066741317044,0.632299487049275,0.15258167164875,-0.0539276114012737,-0.142456938471714,-0.110672271812551,-0.0489082072707578,-0.483179206127901,-1.77729922442151,0.835445812431236,0.694552238564312,-0.270191820714813,-2190.06716149464
-4.6443142123159,-8.71150690745582,-3.31639154849437,-1.26085989874534,2.25547352551754,0.0808901414718879,-0.266606663054397,-0.134888524334953,-0.0480490380696395,-0.484502710133147,-5.26235509483129,-0.212120416048007,0.160779655251346,0.632316398366027,0.152568448684819,-0.0539322564582302,-0.142469263095454,-0.110675645352763,-0.0489123251526193,-0.483124427106907,-1.77749277218317,0.835474879681815,0.694529657003405,-0.270224850382562,-2190.06715769204
-4.64436999928519,-8.71095034217045,-3.31637397638405,-1.2608273193437,2.25524603891673,0.0808900464259047,-0.266605125703343,-0.134887075686584,-0.0480507753179458,-0.48451374117443,-5.26219682364873,-0.212021903908544,0.160862297561583,0.632332489074042,0.152575433344166,-0.0539316610472043,-0.142477993387527,-0.110675471865862,-0.0489130074108057,-0.483086168895328,-1.77759890867752,0.835493470864589,0.694511053406296,-0.270233092894126,-2190.0671563983
-4.64436939460042,-8.71106252029446,-3.31637804537305,-1.26081928917698,2.25527892346041,0.0808954663336543,-0.266604708918146,-0.134886240408961,-0.0480509352414857,-0.484514543484908,-5.26205190292854,-0.21197932856368,0.160900334372011,0.632339926489448,0.15258566058352,-0.0539297615772509,-0.142480797014768,-0.110673816796825,-0.0489122528242076,-0.483068083060459,-1.77764800724763,0.835506611639164,0.694529028049216,-0.270240722980227,-2190.06715603133
-4.64435873081954,-8.71136152727594,-3.31640340992426,-1.26082447571725,2.25538884692466,0.0809038328623156,-0.266603350829115,-0.13488659751454,-0.048050978496503,-0.484511140634177,-5.26199441148914,-0.211971956815347,0.160908257405298,0.632342720897081,0.152591663044732,-0.0539283773794703,-0.14248106642389,-0.110673026921514,-0.0489115585705524,-0.483065658003703,-1.77764490942894,0.835505961559657,0.694530045418949,-0.270235956898645,-2190.06715596062
