"b_no_choice_a","b_powertrainbev_a","b_powertrainhev_a","b_range_bev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainhev_b","b_range_bev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainhev_c","b_range_bev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2495.3298500158
-0.185128770151206,-0.137603149959338,0.0758227137270171,-0.0368139897771887,0.0054474009170143,0.00195428975099685,0.101002153690672,-0.0373866572476561,-0.185128770151205,-0.137603149959338,0.0758227137270177,-0.0368139897771888,0.00544740091701433,0.0019542897509969,0.101002153690672,-0.0373866572476561,-0.185128770151206,-0.137603149959338,0.0758227137270177,-0.0368139897771888,0.00544740091701432,0.0019542897509969,0.101002153690672,-0.0373866572476561,0,-3.38166711590569e-16,1.62789338186867e-17,4.08572336520194e-14,0,-3.38166711590569e-16,1.62789338186877e-17,4.08572336520194e-14,-2406.56256149144
-1.02257430836597,-0.510141418441746,0.0872941848210207,0.0717841704943968,-0.0235064431263511,-0.0220310056151542,0.088847931102275,-0.22701180151885,-1.02257430836585,-0.510141418441306,0.0872941848211863,0.071784170494612,-0.0235064431263033,-0.0220310056151404,0.0888479311020952,-0.227011801518744,-1.02257430836585,-0.510141418441305,0.0872941848211873,0.071784170494612,-0.023506443126303,-0.0220310056151403,0.0888479311020962,-0.227011801518744,7.27027084230106e-15,-1.47184350485441e-14,-1.09227869229553e-14,1.37326737075947e-13,-8.99197936431498e-15,3.01167360314519e-15,1.80818738230094e-14,-9.43924903939396e-15,-2292.92622076064
-3.78876247104667,-1.58301107221894,-0.188212021705325,0.268782052643502,-0.123186417032515,-0.0783041264025517,-0.405347397807688,-0.668941154623473,-3.7887625494176,-1.58301097365415,-0.188211968334748,0.268782124261546,-0.123186400132181,-0.0783041169527463,-0.405347391329155,-0.668941123993268,-3.78876252271088,-1.58301097016164,-0.188211992459622,0.268782119082096,-0.123186403148494,-0.0783041173997316,-0.405347394151873,-0.668941128035382,-1.63333119920401e-07,1.10461045637156e-06,-8.43918330764328e-07,7.51651331585967e-07,-1.62105468395135e-07,1.11442653846393e-06,-8.47821882941885e-07,7.76344803422593e-07,-2132.89039622437
-5.27420173856818,-2.20052320284947,-0.428360696950758,0.20137638946645,-0.189603442632295,-0.099342535089789,-0.675932677515141,-0.954553884031321,-5.35013388567182,-2.0330532007689,-0.357001901430681,0.331825392181534,-0.172028732834014,-0.0937637349391332,-0.710683309860992,-0.915919733223462,-5.34623028052588,-2.03276500149734,-0.35853398224801,0.332831555085151,-0.172802315915001,-0.0944429523374202,-0.714665583585742,-0.917029484045491,-0.0163166699783942,0.732748053768103,-0.42251427844768,1.53349337529508,0.0136845243829705,0.186115080618194,-0.126979919162471,1.07076312856976,-2122.15121672666
-5.2498831818941,-2.21843561421049,-0.449879740876443,0.19143455065326,-0.192854993823508,-0.101863138062184,-0.682922181979778,-0.96387371740923,-5.34938212731002,-2.02547983374384,-0.353714794103503,0.337228721708629,-0.172190503871416,-0.0939952998341358,-0.717398552882307,-0.915426425713934,-5.30190264245611,-2.07883362577299,-0.419911998394681,0.295982449008369,-0.183482447442691,-0.0969072391805085,-0.706634649337073,-0.941946751319441,-0.526395046145543,1.43482754582794,-0.370674759152494,0.798643024458561,-0.122307822226243,0.364491853225627,-0.155077610591508,0.586657614168924,-2106.86449836441
-5.23269214870996,-2.45589087667554,-0.513251566235467,-0.0101561210002413,-0.197071790717703,-0.10359862933726,-0.678540062313887,-0.979141979594283,-5.39857305504588,-1.97506698320774,-0.298492285263933,0.367328193473621,-0.164027178602002,-0.088029520602952,-0.742443575440602,-0.901503285134706,-5.27654633596966,-2.19139214584887,-0.497066752806316,0.180222536680872,-0.191991468665244,-0.0986425314665373,-0.69148309461803,-0.96406375397903,-0.672011734504262,2.20184406315455,-0.972420417577851,0.731568878482366,-0.494503147762734,0.434028457059278,0.316081748681344,0.618811636136571,-2069.44673176561
-5.20150624694369,-2.3513585512664,-0.731617673556545,-0.583909066024941,-0.206872880563208,-0.094505315139121,-0.594191073522287,-1.06408616577501,-5.49320953498078,-1.81794521721251,-0.15864926531642,0.43778661533478,-0.150773511339277,-0.0813610402748213,-0.805908778823755,-0.9033929530914,-5.35866117328752,-2.52240439146066,-0.603580288501917,-0.151678238264241,-0.232188471440566,-0.101079904254355,-0.62179047254197,-0.983733965741893,0.141466719689726,1.45831730636378,-0.438749942829976,0.682945144084148,-1.0654778682605,0.478629890516055,0.328574930376595,0.701353045450939,-2015.06984926348
-3.9740959941809,-1.70075162037214,-0.963377450634957,-0.991730723992744,-0.0981543423301616,0.0106912120694867,0.223256267682141,-1.51144506052322,-6.05464988532224,-1.46067321916903,0.0619614983236835,0.438216744103536,-0.145117054137117,-0.0953116696649125,-0.863646527715389,-1.02232148496655,-6.25089925638001,-3.53358631984788,-0.891530273737915,-0.518434730816379,-0.318365691720473,-0.117513144449693,-1.00271478324763,-0.940714999953005,-0.484079953295988,1.1541220431143,-0.400349205718122,0.72993845322001,-1.26159941184716,0.225984006793377,0.174778081004173,0.755608786771895,-1953.1557758005
-6.3140109084272,-2.08370558515492,-1.40958990289864,-1.05308707369227,-0.095889845538847,-0.109526055672958,0.123158983355507,-2.4914979313562,-6.41397643361539,-1.12728673238004,0.260073695774565,0.393412097174257,-0.141150544061617,-0.106428542950244,-0.946460192831649,-1.08533508582959,-6.80615896744067,-5.1206308576511,-1.18205493001122,0.203211682574197,-0.35400419215186,-0.127725153320838,-1.40058119333502,-0.811238537553806,-0.111768042759452,0.385831258299587,-0.245185074482863,0.0464454132375665,-1.37617120778289,-0.97442590540254,0.523001211114071,0.130009669446647,-1933.92437718224
