"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.69943736226933,0.613027246389061,-7.66595186421258,1.77635683940025e-14,1.13054999032024,-4.15677095440792,3.22777303929378e-05
"b_powertrainbev_a",-7.00677357705248,1.226930136313,-5.71081707888299,1.12435043497783e-08,1.35728614045392,-5.16234076825481,2.43880803774132e-07
"b_powertrainphev_a",-3.64436923254422,0.670164570791922,-5.43802133293578,5.3875525152236e-08,0.856673034070221,-4.25409588910382,2.09895347911271e-05
"b_powertrainhev_a",-1.21956791667885,0.246399919683435,-4.94954672974613,7.43865167240898e-07,0.557524585816581,-2.18746930217007,0.0287082818296771
"b_range_bev_a",1.32937426559148,0.572243334629243,2.32309261662748,0.020174177538707,0.652496238741568,2.03736694046753,0.0416132842209718
"b_range_phev_a",0.0106075671790689,0.254936034104839,0.0416087400759781,0.966810605704327,0.536409478609001,0.0197751300118263,0.984222757379348
"b_mileage_a",-0.204292338505288,0.0687344630698921,-2.97219661551084,0.00295677268229966,0.0925370850253257,-2.20768072010672,0.0272665377487451
"b_age_a",-0.131664562637769,0.0289671761586065,-4.54530196236093,5.48565533509127e-06,0.0455193850319005,-2.89249431962881,0.00382196093209064
"b_operating_cost_a",-0.0620779190716561,0.0254552852303231,-2.43870451695851,0.0147400153084494,0.0393364716925805,-1.5781262629959,0.114536605795734
"b_price_a",-0.408883779675239,0.100023434136101,-4.08787983742762,4.35333529060777e-05,0.262185943244357,-1.55951831213987,0.118873753832893
"b_no_choice_b",-6.71149619943826,0.732130822567803,-9.16707232171844,0,0.862017526203845,-7.78580016695758,6.88338275267597e-15
"b_powertrainbev_b",-0.252591542635773,0.355953370472119,-0.709619752443272,0.4779399673387,0.862042416675419,-0.293015213346376,0.769510523238372
"b_powertrainphev_b",0.466101311150482,0.336565371185717,1.38487601831529,0.16609038119117,0.438256900552677,1.06353444877352,0.287539651504048
"b_powertrainhev_b",0.478306938785146,0.174483171729995,2.74127833671722,0.00612006394305986,0.203786750059245,2.34709537615224,0.0189204108790024
"b_range_bev_b",0.145924157666785,0.158728620111177,0.919331104652562,0.357922413159818,0.303470783410722,0.48085076272166,0.630622568965463
"b_range_phev_b",-0.163084145737912,0.10738284953381,-1.51871687560837,0.128833776955898,0.116129923219624,-1.40432492519166,0.160222115317664
"b_mileage_b",-0.119585393562216,0.0444896849206365,-2.68793527703197,0.00718953305585623,0.0563801969765727,-2.12105313523305,0.0339173311564254
"b_age_b",-0.149716486484857,0.0230961865424751,-6.48230331052794,9.0332852309416e-11,0.0309696712993462,-4.83429368809665,1.33619198905421e-06
"b_operating_cost_b",-0.0464468665776402,0.0167647094307533,-2.77051426208663,0.00559678490996296,0.0199107633189855,-2.33275167975864,0.0196611820759525
"b_price_b",-0.712075604900039,0.139832306199206,-5.09235400784717,3.53645003947634e-07,0.189511552187294,-3.75742584914452,0.000171670212983921
"b_no_choice_c",-4.53574810031337,2.30650562211666,-1.96650207865132,0.0492406424516678,7.41050772633197,-0.612069815971768,0.540491566880992
"b_powertrainbev_c",0.209211980028186,1.45565942342545,0.143723165365062,0.885719077797636,4.82559479349712,0.0433546513913924,0.965418826632619
"b_powertrainphev_c",0.926323961178442,1.37463299460492,0.673870018262348,0.500393954885949,3.2050004530081,0.289024596021204,0.772562555501689
"b_powertrainhev_c",0.602526066892589,0.67491953182165,0.892737635353852,0.371997690807541,1.0249344894248,0.587867881420138,0.556620976456508
"b_range_bev_c",0.410094725321084,0.40006751131125,1.02506380479877,0.305333082648781,0.590765545368707,0.69417508948518,0.487572412593777
"b_range_phev_c",-0.208837240577987,0.328243652695492,-0.63622628758559,0.524628941617347,0.587324107158012,-0.35557409960324,0.722159543117723
"b_mileage_c",-0.269382377673227,0.193160119860342,-1.39460659823568,0.163134504269261,0.456079557877474,-0.590647778486044,0.554756444719066
"b_age_c",-0.083520096691219,0.117793678551843,-0.709037171756721,0.478301409813693,0.405224350665468,-0.206108286814602,0.836706325802464
"b_operating_cost_c",-0.0645817951120858,0.0489875077322679,-1.31833191974259,0.187392560086869,0.0747200326244216,-0.864317009023598,0.387413768949814
"b_price_c",-1.35717327359874,0.774083094974646,-1.75326561503477,0.0795564247867968,2.0773617228805,-0.653315818160384,0.513552696771115
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_used_bev_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
