"b_no_choice_a","b_powertrainbev_a","b_powertrainphev_a","b_powertrainhev_a","b_range_bev_a","b_range_phev_a","b_mileage_a","b_age_a","b_operating_cost_a","b_price_a","b_no_choice_b","b_powertrainbev_b","b_powertrainphev_b","b_powertrainhev_b","b_range_bev_b","b_range_phev_b","b_mileage_b","b_age_b","b_operating_cost_b","b_price_b","b_no_choice_c","b_powertrainbev_c","b_powertrainphev_c","b_powertrainhev_c","b_range_bev_c","b_range_phev_c","b_mileage_c","b_age_c","b_operating_cost_c","b_price_c","delta_b","gamma_hhincome_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","delta_c","gamma_hhincome_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
-4.6464333007046,-8.13879199326237,-3.58207798124887,-1.32612338885126,1.80641482216745,0.122535847509464,-0.280302961643908,-0.144404413085266,-0.0412250855976611,-0.399167384238317,-6.75667682927507,-0.370009368029106,0.0857565873660706,0.632296733717408,0.164087568951589,-0.0486226169417501,-0.144505157178418,-0.124274945485882,-0.0511417921953838,-0.647937916108414,-3.08421974495677,0.354961696184889,0.512075408095906,0.510226754782585,0.328550908247131,-0.090132349823066,-0.221930790957471,0.003023567591234,-0.0679842448310325,-1.14385075087456,0.22902503157265,0,1.28346254685413,-0.470392155167214,-1.39185692725606,0,0.777811366618852,-0.525675336608594,-1206.76656956171
-4.68238415606653,-8.1290859050344,-3.51057760844161,-1.29284744448236,1.8080369345601,0.14185110923542,-0.273974070245608,-0.146581320159293,-0.0407075628779855,-0.395760685994283,-6.73975890150943,-0.366853439167483,0.0987632055918814,0.613863336181629,0.178071935069155,-0.0478558991372664,-0.145624539798649,-0.136369841667302,-0.0476648994948737,-0.644551152264324,-3.28977976124494,0.436657781096439,0.717047682021943,0.47463192583115,0.183642549058654,-0.104688246940656,-0.190836320020785,-0.0293285290774146,-0.0448995326090958,-1.13609938619672,0.220404272379154,-1.87769527863594e-07,1.39575839603886,-0.406494686159217,-1.51541690921174,-2.78989057838565e-06,0.727920806378763,-0.161422756342809,-1199.86563102668
-4.8045381286944,-8.12830983967396,-3.38523627119702,-1.21866670167618,1.78581582949205,0.130431806517262,-0.261377154547573,-0.159257883434962,-0.0434029409950872,-0.400830672197854,-6.77410398683786,-0.379804378931491,0.154295079874191,0.603139758530026,0.235949328070266,-0.0522975831982367,-0.1453751999744,-0.158596013285818,-0.0425884575901492,-0.633864896693022,-3.76526613695181,0.621492384427155,1.39231007849392,0.370414220401234,-0.0825599225906773,-0.405069816212966,-0.190289141861731,-0.114801536547794,0.0294645688003335,-1.38289556521888,0.145821851332257,-8.70927289017993e-07,1.6104583435771,-0.235503219060585,-1.54886533933592,-3.91423741642516e-06,0.952813505341477,-0.198085230823015,-1194.23255780446
-5.03356551858022,-8.15021096515616,-3.22102635637942,-1.17596224267595,1.76101607227071,0.0692155984700859,-0.246772308916096,-0.170735087562584,-0.0506962425821837,-0.43743202566321,-6.69107014686613,-0.395179944999186,0.243918513180253,0.624720504988526,0.28582721022736,-0.0732465306491193,-0.14869540887269,-0.163916013647056,-0.0376273543375983,-0.623006152782718,-4.29609621901797,1.58317361451897,1.35314507260994,0.958281158688135,-0.0661444906764858,-0.00488033737048205,-0.189505205072147,-0.09723813753616,0.00833175654688766,-1.64456829810068,0.0972915716646908,-8.78122618761206e-07,1.62861086737196,-0.326191344590949,-1.86686662530727,-6.78853837053284e-08,0.892420650660253,-0.153990379595483,-1193.1816404536
-5.34833196454295,-8.11985343507137,-3.18401103092232,-1.16391261361753,1.72308114673579,0.0611013442820886,-0.251480459089577,-0.177327328389176,-0.0580595999500122,-0.476455865354699,-6.59213194785368,-0.396318920664922,0.292075414018906,0.635723535051073,0.314326446621843,-0.0837484705938103,-0.150806576258077,-0.166509391431704,-0.0352722865112681,-0.608732000758136,-4.65757811965723,2.01315220789866,2.11374319877615,1.26678716414668,-0.552197194637765,-0.307608297552905,-0.138376802823594,-0.122358180988978,0.011827595745535,-1.95837600421556,0.0915915486272953,-1.09393314401425e-06,1.58816330636861,-0.303604868776193,-1.88089696118976,3.19309792362337e-07,0.669341750997669,-0.0938488483743835,-1191.49212893079
-5.52662392331074,-8.12442670896595,-3.23645883732038,-1.15945500680941,1.71160167126769,0.0710538469277766,-0.257695568232083,-0.176952338757842,-0.0633164543686521,-0.503536592415573,-6.52897717647651,-0.387546145190143,0.287798799142634,0.639598082645103,0.314079568075252,-0.0832989844154736,-0.150996072210341,-0.162511579521554,-0.035230275513149,-0.597459422803472,-5.75528391256513,1.57888678793274,2.82811688608231,0.894362498826207,-0.274900541569062,-0.67848298664166,-0.14757763675432,-0.181751825458467,0.0278018317841614,-2.18038650480182,0.0846827496946151,-1.10040141548304e-06,1.57030534143046,-0.353687690389575,-1.48508105520085,-2.94172773467873e-06,0.847405673251586,-0.368732331732475,-1190.36684083803
-5.59261901687241,-8.07288176723956,-3.23035910389452,-1.13520729813241,1.69036254195314,0.0824309346579814,-0.255686330188398,-0.179456404850957,-0.0643043874319261,-0.510441159181332,-6.50861277937024,-0.381199366357281,0.302270573333396,0.640938223019442,0.32753278328087,-0.0838205694212826,-0.151295396377464,-0.166633168823486,-0.0337553164640756,-0.592015731467276,-5.68204139617868,1.13900565837052,2.18964902361004,0.473813678124848,-0.200907652338012,-0.496058130352651,-0.133530062969964,-0.1689890803719,0.0449743308046643,-2.19260478171355,0.0732812456714751,-1.26253291666909e-06,1.60327356511152,-0.356762534520083,-1.41168381803231,-3.47583557985966e-06,0.968408650541713,-0.0627635771109684,-1189.51789333908
-5.67932095790555,-7.93202766449948,-3.28603181505673,-1.13388990716923,1.61985813745287,0.10428155405922,-0.261031558988149,-0.18061918186256,-0.0655549757619404,-0.517076945287264,-6.55207345229015,-0.392746489357362,0.30113740310679,0.637104563905898,0.334333602913941,-0.0823617506546529,-0.151674489521697,-0.168454122655007,-0.0354549644774903,-0.589433245056158,-6.13958191852558,0.991193895887617,1.65159482897066,0.444258844487288,-0.181679770290823,-0.384367490207264,-0.174163810821257,-0.148005677674222,0.043965435387496,-2.3104223991926,0.0680525241295092,-1.31784448283333e-06,1.60871429300792,-0.339470436319149,-1.2111183791719,-4.4876484738603e-06,0.809301475690376,-0.112555847091831,-1188.66728705871
-5.77504925394021,-7.69127264298858,-3.28623469913372,-1.10945740278585,1.51352995792534,0.118435161793313,-0.264514777195559,-0.183043921737619,-0.0660510472590863,-0.533175337937487,-6.62428686954839,-0.397273901570287,0.309317071039261,0.638849384463767,0.342813639916464,-0.082330657389181,-0.153788435982373,-0.171508174233765,-0.0378785297693431,-0.581465382261711,-6.4424810689653,0.569449849690285,0.921353255979725,0.450750915398778,0.0681033089195001,-0.199195040843077,-0.114403918761475,-0.0726628642753244,0.0253192840838758,-2.57265754091698,0.0277155425032684,-1.27511831589597e-06,1.60463502185423,-0.36577274836786,-1.01981267822554,-5.55070537220355e-06,0.675578493118072,-0.220361047082599,-1188.03059957989
-5.76655326785527,-7.69990222509508,-3.26709700246637,-1.09177197009765,1.52016317790576,0.112329557385559,-0.262182513686456,-0.18359919879301,-0.0660391299304521,-0.534421610034705,-6.58195770250077,-0.387153633375352,0.322777765316179,0.651379443109604,0.342612836398394,-0.0849599135855923,-0.156551363300211,-0.169446839732816,-0.03799039417549,-0.574279798195288,-6.49776547553899,0.755906369407242,0.996898659150417,0.177412568130372,-0.12095596395261,-0.231301662986394,-0.150411390950328,-0.0856151146792342,0.0480492274888005,-2.57640563231529,0.0166477783201859,-1.24743096917364e-06,1.5539577153418,-0.458859090608808,-0.958699325737315,-7.15662304838196e-06,0.837466429316367,-0.0319969317830576,-1187.54421347089
