,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-5.03,0.55,-9.11,0.00,0.75,-6.73,0.00
b_powertrainbev_a,-3.48,0.61,-5.74,0.00,0.79,-4.40,0.00
b_powertrainhev_a,-1.88,0.24,-7.78,0.00,0.43,-4.34,0.00
b_range_bev_a,0.12,0.43,0.29,0.77,0.49,0.25,0.80
b_mileage_a,-0.26,0.06,-4.32,0.00,0.08,-3.25,0.00
b_age_a,-0.03,0.03,-1.06,0.29,0.04,-0.88,0.38
b_operating_cost_a,-0.33,0.25,-1.34,0.18,0.30,-1.09,0.28
b_price_a,-1.38,0.17,-7.88,0.00,0.29,-4.79,0.00
b_no_choice_b,-6.88,0.51,-13.52,0.00,0.94,-7.35,0.00
b_powertrainbev_b,-0.14,0.28,-0.51,0.61,0.50,-0.28,0.78
b_powertrainhev_b,0.76,0.17,4.43,0.00,0.34,2.26,0.02
b_range_bev_b,0.62,0.15,4.03,0.00,0.26,2.36,0.02
b_mileage_b,-0.19,0.04,-4.34,0.00,0.08,-2.39,0.02
b_age_b,-0.09,0.02,-3.90,0.00,0.03,-3.16,0.00
b_operating_cost_b,-0.99,0.17,-5.92,0.00,0.22,-4.58,0.00
b_price_b,-1.46,0.13,-11.28,0.00,0.23,-6.34,0.00
b_no_choice_c,-8.79,0.72,-12.23,0.00,1.07,-8.23,0.00
b_powertrainbev_c,-5.79,1.46,-3.98,0.00,3.93,-1.48,0.14
b_powertrainhev_c,-0.07,0.20,-0.38,0.70,0.32,-0.23,0.82
b_range_bev_c,1.49,0.56,2.64,0.01,1.45,1.03,0.30
b_mileage_c,-0.35,0.05,-6.41,0.00,0.07,-5.09,0.00
b_age_c,-0.15,0.04,-4.23,0.00,0.06,-2.43,0.02
b_operating_cost_c,-1.30,0.23,-5.57,0.00,0.36,-3.58,0.00
b_price_c,-1.19,0.14,-8.28,0.00,0.26,-4.55,0.00
delta_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_count_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-0.31,0.20,-1.57,0.12,0.38,-0.82,0.41
gamma_EV_benefit_b,0.10,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_b,0.10,NA,NA,NA,NA,NA,NA
gamma_hhincome_b,0.10,NA,NA,NA,NA,NA,NA
gamma_ev_charge_b,0.10,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_b,0.10,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_b,0.10,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_b,0.10,NA,NA,NA,NA,NA,NA
gamma_veh_count_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_b,0.00,NA,NA,NA,NA,NA,NA
delta_c,-1.50,0.27,-5.50,0.00,0.56,-2.67,0.01
gamma_EV_benefit_c,0.20,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_c,0.20,NA,NA,NA,NA,NA,NA
gamma_ev_charge_c,0.20,NA,NA,NA,NA,NA,NA
gamma_hhincome_c,0.20,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_c,0.20,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_c,0.20,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_c,0.20,NA,NA,NA,NA,NA,NA
gamma_veh_count_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_c,0.00,NA,NA,NA,NA,NA,NA
