"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.31540074390777,0.646893800985363,-8.21680581234699,2.22044604925031e-16,1.17257976533626,-4.53308244013871,5.81291145484997e-06
"b_powertrainbev_a",-4.23659725198182,0.945306727593172,-4.48171702191155,7.40448832714513e-06,2.03261745806226,-2.08430624029996,0.0371323200865405
"b_powertrainhev_a",-2.11077844151874,0.264114540941635,-7.99190545887131,1.33226762955019e-15,0.514718455547341,-4.10084079708038,4.11651703848825e-05
"b_range_bev_a",0.280118703726151,0.625039459248323,0.44816163136808,0.65403655119395,0.943327805051924,0.296947362545656,0.766506695988642
"b_mileage_a",-0.269710808473736,0.0666790360826596,-4.04491162918709,5.23428646121982e-05,0.0891367413254528,-3.02580960963086,0.00247968388560382
"b_age_a",-0.0417490278548341,0.037083216468773,-1.12582002939227,0.260241704394691,0.055033024360265,-0.758617727085661,0.448081265223867
"b_operating_cost_a",-0.624884475554965,0.281452715024746,-2.22021121913862,0.0264044330981288,0.446331345714308,-1.40004613513062,0.161499503521331
"b_price_a",-1.30656246035073,0.194522494863573,-6.7167679566678,1.85800264063118e-11,0.367085100892264,-3.5592903584888,0.000371858231682287
"b_no_choice_b",-7.18081903599595,0.729018003536158,-9.84998861641939,0,1.73235677763093,-4.14511556090428,3.3964237962314e-05
"b_powertrainbev_b",0.246999391314563,0.389688725601742,0.633837663466286,0.526186770668867,0.856012564207476,0.288546455557277,0.772928475470699
"b_powertrainhev_b",1.17527889857277,0.253115793100793,4.6432460186503,3.42977542677758e-06,0.603677411800938,1.94686578559662,0.0515508274928165
"b_range_bev_b",0.940271225153253,0.222637948849569,4.22331965422737,2.40730011793477e-05,0.486724485858383,1.93183464664819,0.0533799182482391
"b_mileage_b",-0.233806754357539,0.0590567735198128,-3.95901672953908,7.52589656010105e-05,0.0993556650709541,-2.35323022789458,0.0186111069651207
"b_age_b",-0.105257722477464,0.0294983481797112,-3.5682581897877,0.000359362295714538,0.0388785216312116,-2.7073488924271,0.00678229385314388
"b_operating_cost_b",-1.31175289726168,0.224633993169069,-5.83951199351382,5.23539478436419e-09,0.290564597992126,-4.51449662596966,6.34673325783375e-06
"b_price_b",-1.59639634196847,0.186527669183897,-8.55849616817217,0,0.374832179662643,-4.25896288681846,2.05377562318976e-05
