"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.89507227653406,0.411817280409104,-11.8865149895392,0,0.520925741995795,-9.39687153447213,0
"b_powertrainbev_a",-4.49522480652594,0.511614196895693,-8.78635666054908,0,0.772365896429452,-5.82007158434466,5.88224291497852e-09
"b_powertrainhev_a",-1.95535170641955,0.193870518619353,-10.0858641135566,0,0.391828928389777,-4.99031991960134,6.02793739146179e-07
"b_range_bev_a",0.614989115871526,0.2187611912328,2.8112349928515,0.00493517268499089,0.293529013447289,2.09515614367697,0.0361571144203225
"b_mileage_a",-0.245928475865057,0.0458187950588088,-5.36741473776004,7.98732457951701e-08,0.0579065544322467,-4.246988588361,2.16662990477623e-05
"b_age_a",-0.0628299715373182,0.024281758934151,-2.58753790068112,0.00966645608210359,0.0253078088716265,-2.48263181755569,0.0130415805791173
"b_operating_cost_a",-0.758665420782665,0.174495988437168,-4.34775279121012,1.37539502482742e-05,0.21241652318008,-3.57159325190297,0.00035481616786992
"b_price_a",-0.88658000453709,0.0917524418630482,-9.66274015748179,0,0.147011441349424,-6.03068711114682,1.63264024521936e-09
"b_no_choice_b",-5.55395960622487,0.355902224800577,-15.605296115631,0,0.59500498268621,-9.33430772487142,0
"b_powertrainbev_b",-0.365582912503603,0.216615361420847,-1.68770538758485,0.0914677970818301,0.308009527459791,-1.18692079273855,0.235258864875373
"b_powertrainhev_b",0.628952602497103,0.105089143502801,5.98494365386411,2.16464779434489e-09,0.132992173158527,4.72924524473625,2.25356033123347e-06
"b_range_bev_b",0.329017069845471,0.084448926664104,3.89604797647858,9.7775029023861e-05,0.104126804605656,3.15977303914691,0.00157892081157152
"b_mileage_b",-0.166274105391766,0.0295137022622708,-5.63379354830468,1.76288044162476e-08,0.0388131013599668,-4.28396854581859,1.83588878510665e-05
"b_age_b",-0.0838859716585591,0.0162491221488604,-5.16249252667734,2.43683106582182e-07,0.0187233604154833,-4.4802839766514,7.45437928761916e-06
"b_operating_cost_b",-0.747290538637377,0.11689965970007,-6.39258095835955,1.63108859752015e-10,0.153228290080734,-4.87697499099962,1.07725087206134e-06
"b_price_b",-0.915465125404335,0.0703613577761914,-13.0109076109118,0,0.108720808935899,-8.42033033385618,0
"b_no_choice_c",-10.1777136753804,0.845457830112896,-12.0381091911128,0,1.16262149505878,-8.75410760822532,0
"b_powertrainbev_c",-6.1255652147593,1.14370571034666,-5.35589283094742,8.51349617470021e-08,1.69065253695815,-3.62319582578483,0.000290985350500428
"b_powertrainhev_c",0.0408238521361919,0.166960216445719,0.2445124533572,0.806833958248292,0.278366663385489,0.146654960905495,0.88340437010588
"b_range_bev_c",0.773581427280276,0.348043636883907,2.22265642953935,0.0262389759957102,0.427518970874245,1.80946690084503,0.0703784978312909
"b_mileage_c",-0.457164772071314,0.0594027968943614,-7.69601426148857,1.3988810110277e-14,0.0774902905801009,-5.89963940835592,3.64296859345359e-09
"b_age_c",-0.23301656600136,0.0362148453950374,-6.43428305325007,1.2405743099464e-10,0.0472690173749465,-4.92958345533249,8.24051282988236e-07
"b_operating_cost_c",-0.661527584853646,0.201321053900871,-3.28593344826904,0.00101645022340291,0.299055018837486,-2.21205979898012,0.0269625333573402
"b_price_c",-1.32303592084825,0.134220640019538,-9.85717189737483,0,0.175662067414218,-7.5317109739377,5.01820807130571e-14
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"gamma_suv_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.392980002332041,0.18781289416956,-2.09240161102705,0.0364026048083121,0.272339591933909,-1.44297786282726,0.149026707351246
"gamma_EV_benefit_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_suv_b",-0.00200366643340109,0.22331122726884,-0.00897252886881907,0.992841053801021,0.242806568555739,-0.00825210967445932,0.993415843824007
"delta_c",-2.21491386090845,0.282049451244751,-7.85292738962445,3.99680288865056e-15,0.403561039532726,-5.48842342034069,4.05537015080171e-08
"gamma_EV_benefit_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_hhincome_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_c",0.2,NA,NA,NA,NA,NA,NA
"gamma_suv_c",0.46782470760489,0.301996109050767,1.54910839439407,0.121355665313199,0.368585050387333,1.26924493305757,0.204353719765591
