,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-5.37,0.60,-8.89,0.00,1.15,-4.66,0.00
b_powertrainbev_a,-4.43,0.82,-5.39,0.00,1.29,-3.43,0.00
b_powertrainhev_a,-1.72,0.37,-4.69,0.00,1.82,-0.94,0.35
b_range_bev_a,0.70,0.30,2.33,0.02,0.63,1.12,0.26
b_mileage_a,-0.38,0.06,-5.85,0.00,0.12,-3.24,0.00
b_age_a,-0.14,0.04,-3.75,0.00,0.12,-1.21,0.23
b_operating_cost_a,-0.75,0.22,-3.39,0.00,0.28,-2.66,0.01
b_price_a,-0.79,0.14,-5.69,0.00,0.55,-1.44,0.15
b_no_choice_b,-5.91,0.42,-13.94,0.00,1.13,-5.23,0.00
b_powertrainbev_b,-0.60,0.35,-1.72,0.08,0.50,-1.21,0.23
b_powertrainhev_b,1.04,0.12,8.53,0.00,0.14,7.26,0.00
b_range_bev_b,0.55,0.12,4.72,0.00,0.15,3.65,0.00
b_mileage_b,-0.21,0.04,-5.87,0.00,0.05,-4.59,0.00
b_age_b,-0.12,0.02,-6.31,0.00,0.03,-4.58,0.00
b_operating_cost_b,-0.97,0.14,-7.07,0.00,0.17,-5.65,0.00
b_price_b,-0.94,0.08,-12.24,0.00,0.13,-7.13,0.00
b_no_choice_c,-8.92,0.64,-14.03,0.00,1.82,-4.90,0.00
b_powertrainbev_c,-4.77,0.71,-6.75,0.00,0.87,-5.48,0.00
b_powertrainhev_c,-0.08,0.25,-0.31,0.76,1.32,-0.06,0.95
b_range_bev_c,0.55,0.25,2.23,0.03,0.34,1.59,0.11
b_mileage_c,-0.41,0.05,-8.88,0.00,0.07,-5.66,0.00
b_age_c,-0.16,0.03,-5.99,0.00,0.06,-2.93,0.00
b_operating_cost_c,-0.49,0.16,-2.99,0.00,0.26,-1.85,0.06
b_price_c,-1.09,0.12,-8.88,0.00,0.47,-2.32,0.02
delta_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_benefit_a,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_anxiety_a,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_a,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_neighbor_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_ev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_knowledge_subsidy_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_count_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_a,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_a,0.00,NA,NA,NA,NA,NA,NA
delta_b,-0.13,0.57,-0.24,0.81,1.07,-0.13,0.90
gamma_EV_benefit_b,1.50,0.22,6.72,0.00,0.57,2.63,0.01
gamma_EV_anxiety_b,-0.11,0.15,-0.77,0.44,0.41,-0.27,0.78
gamma_hhincome_b,0.04,0.03,1.48,0.14,0.05,0.83,0.40
gamma_ev_charge_b,0.27,0.32,0.86,0.39,0.35,0.79,0.43
gamma_ev_neighbor_b,1.21,0.36,3.34,0.00,0.41,2.94,0.00
gamma_knowledge_ev_b,-0.16,0.42,-0.37,0.71,1.28,-0.12,0.90
gamma_knowledge_subsidy_b,0.09,0.40,0.21,0.83,1.00,0.09,0.93
gamma_veh_count_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_b,0.04,0.04,0.98,0.33,0.04,1.17,0.24
gamma_veh_range_b,-0.21,0.15,-1.35,0.18,0.26,-0.80,0.43
delta_c,0.18,0.57,0.32,0.75,1.68,0.11,0.91
gamma_EV_benefit_c,0.20,0.21,0.95,0.34,1.00,0.20,0.84
gamma_EV_anxiety_c,-0.03,0.15,-0.20,0.84,0.60,-0.05,0.96
gamma_ev_charge_c,-0.26,0.30,-0.84,0.40,0.43,-0.59,0.55
gamma_hhincome_c,0.03,0.03,1.21,0.23,0.06,0.58,0.56
gamma_ev_neighbor_c,0.90,0.35,2.58,0.01,0.37,2.43,0.01
gamma_knowledge_ev_c,-0.53,0.40,-1.34,0.18,1.54,-0.35,0.73
gamma_knowledge_subsidy_c,-0.28,0.41,-0.67,0.50,1.10,-0.25,0.80
gamma_veh_count_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_has_bev_c,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_refuel_c,0.02,0.04,0.48,0.63,0.04,0.50,0.62
gamma_veh_range_c,0.09,0.14,0.62,0.54,0.32,0.27,0.78
