"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.95877921547574,0.683489743266876,-7.2550894352478,4.01456645704457e-13,1.01261499334776,-4.89700354829012,9.73090818146005e-07
"b_powertrainbev_a",-4.45434650097174,0.85720958283236,-5.19633306740909,2.03257952913205e-07,1.19769952510738,-3.71908513579179,0.000199945656745637
"b_powertrainhev_a",-1.62671203236712,0.276222068526944,-5.88914579143572,3.8819687464553e-09,0.539625986603147,-3.01451759691373,0.00257388279604864
"b_range_bev_a",0.857268825539413,0.298505653160602,2.87186797456793,0.00408053405113162,0.38306074960024,2.23794483364337,0.0252246528512787
"b_mileage_a",-0.254869765999782,0.0741360771699431,-3.4378642049746,0.000586321652142008,0.10186039147479,-2.50214791352791,0.0123442339687949
"b_age_a",-0.131901985778717,0.0389880718654784,-3.38313693054178,0.000716628920766738,0.0496059531645324,-2.65899508756995,0.0078374105737522
"b_operating_cost_a",-0.866735025050396,0.246321150747422,-3.51871945393414,0.000433635003622923,0.251686849462002,-3.44370405884574,0.000573803404618989
"b_price_a",-0.871613438005712,0.138129311585843,-6.31012656183427,2.78807421594252e-10,0.200966910196022,-4.33709926253801,1.44375433892563e-05
"b_no_choice_b",-5.73958933596063,0.521461832221746,-11.0067295079037,0,0.877440826815004,-6.54128365190686,6.0992988437647e-11
"b_powertrainbev_b",0.25539179203443,0.402608483644113,0.634342798052375,0.525857131597921,0.545218565938169,0.46842093793151,0.639483597759397
"b_powertrainhev_b",0.98439462705441,0.153153659448964,6.42749661089517,1.29722455000092e-10,0.188355773400948,5.22625141390785,1.72981114099358e-07
"b_range_bev_b",0.181017564052906,0.140795680132281,1.285675553986,0.198556316282477,0.176666617135751,1.02462800832266,0.305538743697302
"b_mileage_b",-0.204982567962905,0.045271033393137,-4.52789681611245,5.95736574604544e-06,0.0606902764394748,-3.37751910171854,0.000731428727880568
"b_age_b",-0.0768778375209892,0.0229750004223694,-3.34615173482817,0.00081941542220032,0.0258464348581578,-2.97440780296724,0.002935546568817
"b_operating_cost_b",-0.889199699036992,0.17996060732016,-4.9410796744815,7.7691150401904e-07,0.252980451510244,-3.5148949008852,0.000439928055220085
"b_price_b",-0.832511860915832,0.0946209462715084,-8.79838866255887,0,0.14963852208511,-5.5634862555133,2.64437700625564e-08
"b_no_choice_c",-8.28746041086307,0.648796640681695,-12.7735871168435,0,0.871702322485838,-9.50721387001663,0
