"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.84667056723864,NA,NA,NA,NA,NA,NA
"b_powertrainbev_a",-0.396270881136956,NA,NA,NA,NA,NA,NA
"b_powertrainhev_a",-0.676755054288019,NA,NA,NA,NA,NA,NA
"b_range_bev_a",0.153663630797102,NA,NA,NA,NA,NA,NA
"b_mileage_a",0.0801459691724548,NA,NA,NA,NA,NA,NA
"b_age_a",0.229310432988534,NA,NA,NA,NA,NA,NA
"b_operating_cost_a",0.931681952827959,NA,NA,NA,NA,NA,NA
"b_price_a",-0.69970817420999,NA,NA,NA,NA,NA,NA
"b_no_choice_b",-9.83750768838442,NA,NA,NA,NA,NA,NA
"b_powertrainbev_b",2.06766893852637,NA,NA,NA,NA,NA,NA
"b_powertrainhev_b",0.484491586673359,NA,NA,NA,NA,NA,NA
"b_range_bev_b",-0.219329407174091,NA,NA,NA,NA,NA,NA
"b_mileage_b",0.207421013300155,NA,NA,NA,NA,NA,NA
"b_age_b",0.0756571537174251,NA,NA,NA,NA,NA,NA
"b_operating_cost_b",0.785082290760868,NA,NA,NA,NA,NA,NA
"b_price_b",-1.59688698626573,NA,NA,NA,NA,NA,NA
"b_no_choice_c",384.079100061381,NA,NA,NA,NA,NA,NA
"b_powertrainbev_c",-8.52172701957701,NA,NA,NA,NA,NA,NA
"b_powertrainhev_c",0.264379994826179,NA,NA,NA,NA,NA,NA
"b_range_bev_c",0.123519878698483,NA,NA,NA,NA,NA,NA
"b_mileage_c",-1.89786202547908,NA,NA,NA,NA,NA,NA
"b_age_c",-0.0121138162177502,NA,NA,NA,NA,NA,NA
"b_operating_cost_c",-1.84451888347418,NA,NA,NA,NA,NA,NA
"b_price_c",-1.48373540032062,NA,NA,NA,NA,NA,NA
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_a",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_a",0,NA,NA,NA,NA,NA,NA
"delta_b",2.84263701404721,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_b",-1.14257013205302,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_b",0.967536013833845,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",-0.0884113385442421,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",-0.811540178252368,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0.204903346941699,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",-0.491302639959624,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_b",-1.43666497061356,NA,NA,NA,NA,NA,NA
"delta_c",-2.11691907676087,NA,NA,NA,NA,NA,NA
"gamma_EV_benefit_c",-2.75200992244231,NA,NA,NA,NA,NA,NA
"gamma_EV_anxiety_c",2.25403928811979,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_c",-6.53461272951903,NA,NA,NA,NA,NA,NA
"gamma_hhincome_c",0.0637591759210523,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_c",-422.443006642908,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_c",-1.24443936429819,NA,NA,NA,NA,NA,NA
"gamma_knowledge_subsidy_c",-2.03817868532266,NA,NA,NA,NA,NA,NA
