"Variables","Est._Car_class1","Est._Car_class2","Est._Car_class3","Est._SUV_class1","Est._SUV_class2","Est._SUV_class3","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Std.Err._Car_class1","Std.Err._Car_class2","Std.Err._Car_class3","Std.Err._SUV_class1","Std.Err._SUV_class2","Std.Err._SUV_class3","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Sig._Car_class1","Sig._Car_class2","Sig._Car_class3","Sig._SUV_class1","Sig._SUV_class2","Sig._SUV_class3","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","label","section","fmt"
"no_choice",-4.73,0.28,-3.97,-6.12,-1.17,-3.76,-3.02,-0.31,-5.54,0.91,0.59,0.84,0.66,0.53,0.54,0.34,0.97,0.29,"***"," ","***","***","*","***","***"," ","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.19,-0.15,-0.1,-0.29,-0.35,-0.12,-0.22,-0.55,-0.16,0.04,0.08,0.04,0.05,0.08,0.04,0.04,0.21,0.02,"***",".","*","***","***","***","***","*","***","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_year0",2.06,1.24,-0.26,1.08,0.76,0.27,1.02,1.02,0.71,0.57,0.3,0.11,0.15,0.23,0.14,0.13,0.54,0.07,"***","***","*","***","***",".","***",".","***","BEV Electric Range at Year 3 (per 100 miles)","Vehicle Attributes","dollar"
"degradation",-0.49,-0.33,-0.14,-0.77,-0.44,-0.1,-0.08,-0.14,-0.07,0.06,0.1,0.1,0.14,0.07,0.04,0.01,0.04,0,"***","***"," ","***","***","*","***","***","***","Range loss rate in the next 5 years (percentage)","Vehicle Attributes","dollar"
"packreplace",-0.22,-0.89,-0.21,-0.32,-0.6,-0.32,-0.56,-0.92,-0.2,0.19,0.29,0.18,0.14,0.22,0.13,0.14,0.47,0.06," ","***"," ","*","*","*","***",".","***","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-0.18,-0.94,-0.17,-0.28,-0.54,-0.31,-0.58,-1.13,-0.2,0.17,0.24,0.16,0.16,0.24,0.14,0.14,0.58,0.06," ","***"," ",".","*","*","***",".","***","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.64,-0.77,-0.38,-1.19,-0.92,-0.53,-1.18,-0.84,-0.78,0.32,0.32,0.16,0.23,0.21,0.25,0.13,0.75,0.05,"***","*","*","***","***","*","***"," ","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",-1.4,NA,1.57,-0.12,NA,2.19,2.21,NA,2.83,1.07,NA,0.62,0.78,NA,0.66,0.59,NA,0.53," ",NA,"*"," ",NA,"***","***",NA,"***","ASC","Active Indicators","number"
"EV_rangeanxiety",0.3,NA,-0.59,-0.08,NA,-0.75,-0.99,NA,-0.96,0.4,NA,0.41,0.31,NA,0.3,0.37,NA,0.33," ",NA," "," ",NA,"*","*",NA,"***","Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",0.39,NA,0.62,0.27,NA,0.62,0.16,NA,0.63,0.31,NA,0.31,0.3,NA,0.36,0.25,NA,0.21," ",NA,"*"," ",NA,"."," ",NA,"***","Risk Taking Propensity: Agree","Active Indicators","number"
