"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","label","section","fmt"
"no_choice",-0.3,-2.74,-5.83,-4.6,1.63,0.65,1.19,1.34," ","***","***","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.55,-0.22,-0.25,-0.1,0.25,0.04,0.04,0.04,"*","***","***","*","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",1.71,1.29,2.29,0.09,1.33,0.57,0.96,0.75," ","*","*"," ","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",1.14,1.17,1.44,-0.44,1.5,0.33,0.36,0.29," ","***","***"," ","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",0.85,0.75,1.3,0.23,0.83,0.19,0.31,0.26," ","***","***"," ","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.24,-0.12,-0.14,-0.02,0.09,0.02,0.02,0.03,"*","***","***"," ","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.07,-0.07,-0.14,-0.01,0.09,0.02,0.01,0.02," ","***","***"," ","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",-0.1,-0.05,-0.07,-0.02,0.12,0.03,0.02,0.02," ","*","***"," ","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace",-0.96,-0.57,-0.35,-0.06,0.54,0.15,0.13,0.17,".","***","*"," ","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-1.27,-0.6,-0.3,-0.14,0.66,0.15,0.13,0.16,".","***","*"," ","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-0.96,-1.15,-1.21,-0.49,0.82,0.13,0.12,0.13," ","***","***","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",-3.2,-1.35,-1.86,NA,0.69,0.58,0.8,NA,"***","*","*",NA,"ASC","Active Indicators","number"
"EV_rangeanxiety",1.33,0.43,0.72,NA,0.36,0.26,0.26,NA,"***"," ","*",NA,"Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",-0.66,-0.62,-0.09,NA,0.27,0.25,0.25,NA,"*","*"," ",NA,"Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",0.03,0.04,0.05,NA,0.02,0.02,0.02,NA," ",".","*",NA,"Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",-0.58,-0.57,-0.12,NA,0.3,0.29,0.34,NA,".","."," ",NA,"Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",-0.09,0.32,0.31,NA,0.28,0.29,0.28,NA," "," "," ",NA,"EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",-0.68,0.45,0.74,NA,0.25,0.22,0.24,NA,"*","*","***",NA,"EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",-0.98,-0.1,0.41,NA,0.39,0.29,0.33,NA,"*"," "," ",NA,"EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",0.86,0.04,0.22,NA,0.37,0.28,0.29,NA,"*"," "," ",NA,"Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",0.47,0.24,0.21,NA,0.12,0.09,0.1,NA,"***","*","*",NA,"Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",0.27,0.22,0.16,NA,0.25,0.23,0.24,NA," "," "," ",NA,"SUV Segment","Active Indicators","pct"
