"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.72982962083601,0.392413003730448,-12.0531928755474,0,0.913007243131112,-5.18049517834634,2.2129764865042e-07
"b_mileage_a",-0.189148841744791,0.0366122043207505,-5.16627843785927,2.388009725518e-07,0.0419330534275007,-4.51073380744421,6.46037499762997e-06
"b_range_year0_a",2.06239843470306,0.215625438844902,9.56472689749066,0,0.566905179677989,3.63799539788036,0.000274768333716313
"b_degradation_a",-0.490694099356905,0.0311040547958449,-15.7758884678423,0,0.0569537870260824,-8.61565358475965,0
"b_packreplace_a",-0.218028378609999,0.122587104017579,-1.77855884888784,0.0753121157648657,0.185163541794279,-1.17749086292718,0.238999642326149
"b_cellreplace_a",-0.181977563278165,0.119251912563011,-1.52599282784677,0.127011650679849,0.172575429248426,-1.05448130171651,0.291662616899806
"b_price_a",-1.63871240424157,0.140771981889512,-11.6408988652852,0,0.317870503499575,-5.15528300424316,2.5324815733363e-07
"b_no_choice_b",0.280210770221251,0.439266433317904,0.637906174857796,0.523534757948543,0.587595838965085,0.476876709533509,0.633449917699343
"b_mileage_b",-0.149952137308739,0.0678432577427314,-2.21027324302988,0.0270862044382654,0.0764456654398562,-1.96155186099746,0.0498146814990523
"b_range_year0_b",1.23768201142671,0.199077067998409,6.21709985921936,5.0642756654895e-10,0.296405885776657,4.17563237040209,2.97159394990754e-05
"b_degradation_b",-0.327120603832484,0.0546499083352016,-5.98574844492056,2.15397055747246e-09,0.102714033403923,-3.18477030831886,0.0014486894361645
"b_packreplace_b",-0.887103748546438,0.225805138509416,-3.9286251606247,8.5432883224712e-05,0.292488464812245,-3.0329529375317,0.0024217336507848
"b_cellreplace_b",-0.937042340564501,0.22001523411002,-4.25898844848138,2.05354080984321e-05,0.2418803600045,-3.87399101170128,0.000107067363154467
"b_price_b",-0.774137922886442,0.175756798001249,-4.40459732818379,1.05980551443619e-05,0.315754279602916,-2.45170999379637,0.0142179199140235
"b_no_choice_c",-3.97222226900761,0.38591499477808,-10.2929979989293,0,0.838960192787309,-4.73469695363084,2.19382643873445e-06
"b_mileage_c",-0.0950976336760071,0.0326234868853642,-2.91500519273648,0.00355682624476983,0.0449684412603293,-2.11476384350243,0.0344500799189689
"b_range_year0_c",-0.260260604031268,0.0889065258061886,-2.92735096407458,0.00341862862511233,0.109414738129514,-2.37866130724727,0.0173756327560108
"b_degradation_c",-0.140293045309028,0.034034669716981,-4.12206278114788,3.75494826916345e-05,0.102747054986953,-1.36542157171164,0.172120587688918
"b_packreplace_c",-0.205868769080804,0.112007849363644,-1.8379851970234,0.0660645866262173,0.179042952712951,-1.14982894306296,0.25021433185878
"b_cellreplace_c",-0.17134812803718,0.10640152635946,-1.61039163534468,0.107312385518595,0.155702274016066,-1.1004857130057,0.27112055115417
"b_price_c",-0.380124268732831,0.0829134202265454,-4.58459279202586,4.5487204825001e-06,0.161337158819734,-2.35608629477326,0.0184686267472425
"delta_a",-1.39513021202535,0.694606332454289,-2.00851928184395,0.0445881391694429,1.06836876961711,-1.30585079955618,0.191603300828407
