"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.54605525510979,1.24515810618834,-2.04476463065701,0.0408780683266381,1.34446539352613,-1.893730599069,0.0582607776139663
"b_mileage_a",-0.474737825793106,0.161716740831228,-2.93561336540015,0.003328889491375,0.239048137756568,-1.98595073882797,0.0470387940057739
"b_range_pw1_a",0.123959556293967,1.02378507655635,0.121079667141588,0.90362793394676,1.30576074949716,0.0949328246707544,0.924368183933144
"b_range_pw2_a",1.89399498820027,0.972720777198366,1.94711065353756,0.0515214700489146,1.3517348953233,1.40115861087338,0.161166648040973
"b_range_pw3_a",1.32803354623545,0.483466046270378,2.74690137286859,0.00601612228909754,0.604706380816271,2.19616261439607,0.0280803062199058
"b_loss_pw1_a",-0.237992860796777,0.0675119811751608,-3.52519444184731,0.000423172056008836,0.0704529344365085,-3.37804042798606,0.000730043469367558
"b_loss_pw2_a",-0.043089778222214,0.0639963262955338,-0.67331643418446,0.500745999659825,0.0627227779214638,-0.686987720412629,0.492090466606402
"b_loss_pw3_a",0.0343791948637468,0.08928345756733,0.385056714877119,0.700195396535104,0.0862850062755057,0.398437646906751,0.690307611942794
"b_packreplace_a",-0.936212143308374,0.379979889002911,-2.46384656241953,0.0137454940064439,0.429032256444531,-2.18214861294332,0.0290985663980974
"b_cellreplace_a",-1.05972737304478,0.380210172319673,-2.78721467808017,0.00531632471746657,0.411516740593204,-2.57517439391938,0.0100189556325117
"b_price_a",-1.44811469836514,0.381992618047906,-3.7909494318645,0.000150072509613297,0.633451714792744,-2.28606958438647,0.0222501880368808
"b_no_choice_b",-2.51107538369619,0.296223018833819,-8.47697587304958,0,0.385251042179738,-6.51802359699953,7.12396808211224e-11
"b_mileage_b",-0.219404879222274,0.0260229717487976,-8.43119999284524,0,0.0311102538673204,-7.05249401557429,1.75748304798162e-12
"b_range_pw1_b",1.42785079315259,0.217563700905766,6.56290910298053,5.2768012182014e-11,0.362255320719877,3.94155920281626,8.0953647588311e-05
"b_range_pw2_b",1.13827265699252,0.181629853442703,6.26699100074756,3.68091335190002e-10,0.219505674682029,5.18561836108061,2.15299297279259e-07
"b_range_pw3_b",1.14612773978591,0.120591988968734,9.50417809331487,0,0.166108452588702,6.8998760865217,5.20472553944273e-12
"b_loss_pw1_b",-0.0931047630380828,0.0150600527305535,-6.18223353555687,6.320093337564e-10,0.0164903325655937,-5.64602094395242,1.64203850516742e-08
"b_loss_pw2_b",-0.0910079555637478,0.011261885357444,-8.08105860388573,6.66133814775094e-16,0.0133740240202366,-6.80482967774253,1.01167962895943e-11
"b_loss_pw3_b",-0.0475956111114959,0.016799829571531,-2.83310083050791,0.00460988424442355,0.0193982830199075,-2.45359916971264,0.0141434535052816
"b_packreplace_b",-0.693113348180141,0.0817503583430681,-8.47841357797439,0,0.106235359291622,-6.52431876544516,6.83113565713711e-11
