"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-1.47366884440361,0.314784906685313,-4.68151049528186,2.84768814862169e-06,0.391098815689665,-3.76802175124192,0.00016454636794716
"b_mileage_a",-0.187924523168418,0.0294800328196075,-6.37463751544495,1.83396187125595e-10,0.0327131940390353,-5.74460943630804,9.21333942471847e-09
"b_range_pw1_a",1.05685953168033,0.223380421385561,4.73120932051676,2.23186234715733e-06,0.323749321221247,3.26443783015095,0.00109681530727723
"b_range_pw2_a",0.784644687365712,0.206965819613687,3.79118005490131,0.000149933205067398,0.271658081324347,2.8883539320477,0.00387263846973984
"b_range_pw3_a",0.847414793797899,0.133450464920924,6.35003253304538,2.15269357894954e-10,0.187157080421572,4.52782652886599,5.95934711622448e-06
"b_loss_pw1_a",-0.0996460902739037,0.0168733191704757,-5.90554171749804,3.51489815031414e-09,0.0178601582034869,-5.57923894842372,2.41573197001799e-08
"b_loss_pw2_a",-0.08105821820089,0.013371732165896,-6.06190859906879,1.34515665273227e-09,0.014777525617864,-5.48523618209139,4.12917362524468e-08
"b_loss_pw3_a",-0.0231602124434262,0.0205499238717686,-1.12702181224348,0.259733258880009,0.021989136260245,-1.05325703426098,0.292223205044662
"b_packreplace_a",-0.594900263563975,0.0923003735447596,-6.44526387832534,1.15399467759403e-10,0.110018435777789,-5.4072779653542,6.39897943521817e-08
"b_cellreplace_a",-0.679170838311835,0.0950021541199308,-7.14900461577376,8.74189609589848e-13,0.113770776411577,-5.96964229069571,2.37774311351302e-09
"b_price_a",-1.14427862320281,0.0763084851171009,-14.9954309988834,0,0.121121094123709,-9.44739338330353,0
"b_no_choice_b",-4.30601080422515,0.130856806451693,-32.9062806970972,0,0.179899554088114,-23.935639118461,0
"b_mileage_b",-0.178964966338616,0.00955576244421296,-18.7284863330815,0,0.0107981124968846,-16.5737267869964,0
"b_range_pw1_b",1.2427904230903,0.0694875088140336,17.8850910660263,0,0.0966076133251341,12.8643114172345,0
"b_range_pw2_b",0.533535339600014,0.0710045638081696,7.51409924918976,5.72875080706581e-14,0.0879391374595816,6.06709771113273,1.30242328033603e-09
"b_range_pw3_b",0.727195808867805,0.046049833048593,15.7914971830723,0,0.0575431938719562,12.6373904529169,0
"b_loss_pw1_b",-0.0781564785828609,0.00627586699056695,-12.4534950629666,0,0.00645136192938153,-12.1147254546225,0
"b_loss_pw2_b",-0.0793329276813131,0.00406223300254316,-19.5293887946966,0,0.00429885481007372,-18.454432909762,0
"b_loss_pw3_b",-0.0511116298066763,0.0055136868415743,-9.26995516344606,0,0.00543067780497728,-9.41164835075134,0
"b_packreplace_b",-0.239297264679414,0.0298937118089141,-8.00493649664665,1.11022302462516e-15,0.0346973339072028,-6.89670466668731,5.32218713544808e-12
"b_cellreplace_b",-0.267698146258416,0.0297253558871537,-9.00571711486576,0,0.0337402731864746,-7.93408354398646,2.22044604925031e-15
"b_price_b",-0.818447214942979,0.0216679655189779,-37.7722225109756,0,0.0299574542113705,-27.320319315796,0
"delta_a",-1.37300009805017,0.243476795840254,-5.63914147675492,1.70900082974157e-08,0.256876321306559,-5.34498505376685,9.04245147648197e-08
"gamma_EV_rangeanxiety_a",0.200734987726146,0.136801692010732,1.46734287256036,0.142282806520881,0.14127520247454,1.4208791366788,0.155351899243295
"gamma_risktaker_a",-0.528488421929178,0.111732014548706,-4.72996413842337,2.24559500749955e-06,0.11293427706601,-4.67961043944415,2.87420505440394e-06
"gamma_hhincome_a",-0.00221375695085801,0.00910343126047493,-0.243178301402643,0.807867275379822,0.00929299957487095,-0.238217696344698,0.811712252448074
"gamma_ev_charge_a",-0.322613138506329,0.106001044678247,-3.043490179607,0.002338510735715,0.107904277707933,-2.98980860962301,0.00279152297396879
"gamma_knowledge_ev_a",0.0620459524011717,0.114781730824844,0.540555992275926,0.588813657714641,0.114982551822136,0.539611892569139,0.589464713331019
"gamma_evb_environment_agree_a",-0.625270978740498,0.101077779205055,-6.18603795669093,6.16951600918014e-10,0.106295485258859,-5.88238510053168,4.04396072184454e-09
"gamma_evb_function_disagree_a",-0.645258260997304,0.137922629975938,-4.67840746010918,2.89111597062686e-06,0.140581855456867,-4.58991140001906,4.43434193408976e-06
"gamma_hhveh_fuel_a",0.380222085564135,0.138790507346589,2.7395395609776,0.00615253098272595,0.146061865089217,2.60315781488816,0.00923694238349637
"gamma_veh_range_a",0.0856129836924186,0.0482269010974576,1.7752122102851,0.0758628543615403,0.0500497827367988,1.71055655011809,0.0871630057273691
"gamma_suv_a",0.130178185886107,0.10412499405951,1.25021074010057,0.211222574499767,0.110291759863223,1.18030745041647,0.237877955993162
"delta_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhveh_fuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"gamma_suv_b",0,NA,NA,NA,NA,NA,NA
