"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-2.22704519643657,0.385109577713835,-5.78288706725292,7.34293603699143e-09,0.497937759798562,-4.47253728525732,7.72969172158078e-06
"b_mileage_a",-0.17905792023523,0.0475110260259808,-3.76876559427099,0.000164056860916695,0.0580561716798076,-3.08421852585757,0.00204087628030236
"b_range_year0_a",1.42729687802063,0.175146787451272,8.14914677448893,4.44089209850063e-16,0.347490619239959,4.10744002569754,4.00068613837234e-05
"b_degradation_a",-0.050979243498722,0.00500604298535764,-10.1835409020324,0,0.00708987028015097,-7.19043388444568,6.45927755726916e-13
"b_packreplace_a",-0.662089094007493,0.153106713206615,-4.32436357714774,1.52972832074827e-05,0.209466240186488,-3.16083915679221,0.00157315341535358
"b_cellreplace_a",-0.651435225752832,0.145492466771412,-4.47744986533443,7.55399596119588e-06,0.176097209701583,-3.69929328725175,0.000216200647822129
"b_price_a",-1.06085938639461,0.138441551021505,-7.66286839873545,1.82076576038526e-14,0.258026829411605,-4.11143053927283,3.93215176492934e-05
"b_no_choice_b",1.35180587997525,1.48698192375191,0.909093687275238,0.363300674528805,2.26467323357451,0.59690990290974,0.550567535267251
"b_mileage_b",-0.513576557780813,0.296775074619951,-1.73052456793583,0.0835365956853171,0.552778540864129,-0.92908193754766,0.352846624421572
"b_range_year0_b",1.02849617854687,0.674429208650136,1.52498759744614,0.127262191173151,1.3573537637477,0.757721535841297,0.448617703695453
"b_degradation_b",-0.0784719929275654,0.0291999836021264,-2.68739852723242,0.00720109783382528,0.0358838282805703,-2.1868344791421,0.0287546094474034
"b_packreplace_b",-0.803597851645225,0.713866180250229,-1.12569816847682,0.260293299263727,1.12010200417308,-0.717432741528288,0.473107123106782
"b_cellreplace_b",-1.83499871817533,1.01131189272415,-1.81447358760158,0.0696048454922,1.35623418551581,-1.35301022328783,0.17605236438094
"b_price_b",-0.0250440779677915,0.491836949472298,-0.0509194723874687,0.959389688915118,1.09727324065137,-0.0228239211893336,0.981790726643419
"b_no_choice_c",-5.67441938410626,0.356577217074773,-15.9135780761797,0,0.463137426918684,-12.252128751198,0
"b_mileage_c",-0.127448301734603,0.0235727622305571,-5.40659174720702,6.42353301660847e-08,0.0288312885483527,-4.42048580384678,9.84792554792335e-06
"b_range_year0_c",0.719676028081723,0.0795767894981323,9.04379320428118,0,0.139659901471765,5.1530612616623,2.56268200438114e-07
"b_degradation_c",-0.0427456371439984,0.0024773988988554,-17.2542407941441,0,0.00353049976652488,-12.1075315028483,0
"b_packreplace_c",-0.108062867475859,0.0748789741567507,-1.44316703978398,0.148973421946844,0.0879875150944885,-1.22816137448377,0.219386395222566
"b_cellreplace_c",-0.130475093587221,0.073979975443027,-1.76365418893254,0.0777902183678241,0.0845917661847528,-1.54240890658621,0.122974258582547
"b_price_c",-0.911605861709975,0.0624581229870951,-14.5954732244888,0,0.103356071118031,-8.82005141883673,0
"delta_a",1.7650786875068,0.867919324494606,2.03368981159005,0.0419828800533955,0.894360558797917,1.97356499025314,0.0484312278876562
"gamma_EV_rangeanxiety_a",-1.12283258272349,0.556906038532367,-2.0161975360916,0.0437793239827906,0.567938047603159,-1.97703356459763,0.0480378363397098
"gamma_risktaker_a",0.682326138695448,0.365947361631804,1.86454722792063,0.062244895783421,0.390227125227167,1.74853590277262,0.0803712743295453
"gamma_hhincome_a",0.0105530328078828,0.0313423291109733,0.33670225242412,0.736341365232642,0.0375790833114941,0.280821986007705,0.778846939517193
"gamma_ev_charge_a",0.159697985269871,0.348494643414633,0.458250903672758,0.64677219244018,0.369938036094805,0.431688471279403,0.665967847607284
"gamma_evb_environment_agree_a",1.72896917755963,0.343186558499356,5.03798629270288,4.70455125300973e-07,0.368971454068704,4.68591583032786,2.78710795775794e-06
"gamma_evb_function_disagree_a",0.44952718438171,0.444199479526203,1.01199394664125,0.311540947752654,0.484953844062121,0.926948388771049,0.353953331748892
"gamma_hhveh_fuel_a",-0.898995356767662,0.487398190083633,-1.8444782419348,0.0651134738971273,0.539362252645616,-1.66677469985713,0.0955592128152158
"gamma_veh_range_a",-0.128470909851314,0.149687155776409,-0.858262749298366,0.390747393735406,0.17404453378089,-0.738149639408092,0.46042352186697
"delta_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
