"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-6.1171471829295,0.440651402483598,-13.8820554035504,0,0.655927751876935,-9.32594659308942,0
"b_mileage_a",-0.285791543612792,0.0392257008998273,-7.28582375985154,3.19744231092045e-13,0.0488642005178226,-5.84868964567532,4.95460539262638e-09
"b_range_year0_a",1.07669997129782,0.105184499837478,10.236298817425,0,0.151794070875128,7.09316223677508,1.31072930287246e-12
"b_degradation_a",-0.769278779463724,0.062799281770543,-12.2498021916003,0,0.142247753978431,-5.40802056938184,6.37251074131484e-08
"b_packreplace_a",-0.324094125037555,0.113071103286501,-2.86628604141555,0.00415318794856634,0.139076872352496,-2.33032365162861,0.0197890516167363
"b_cellreplace_a",-0.275727931035946,0.117183925978706,-2.35295010585367,0.0186251330298364,0.15902029860585,-1.73391657199292,0.0829328870148389
"b_price_a",-1.19398822709445,0.106364633992148,-11.2254250523026,0,0.231638507819809,-5.15453254440428,2.54264401311488e-07
"b_no_choice_b",-1.16590154754563,0.451917915700645,-2.57989671805342,0.00988298682827193,0.527495211540751,-2.21025996452209,0.027087125448795
"b_mileage_b",-0.345327860711376,0.0646094199422479,-5.34485313472947,9.0490394288878e-08,0.0760970302771228,-4.53799391978629,5.67918974669901e-06
"b_range_year0_b",0.756325503829562,0.152593125013699,4.95648479419805,7.17799821803311e-07,0.232246049469945,3.2565699419031,0.00112767144452541
"b_degradation_b",-0.437914637275433,0.0465793963880432,-9.40146655459548,0,0.0651924524373902,-6.71725975788377,1.8517409827723e-11
"b_packreplace_b",-0.604944754167576,0.188493495335509,-3.20936673751424,0.00133027696330457,0.216147747669201,-2.79875576169964,0.00512999242328038
"b_cellreplace_b",-0.539799155506269,0.187439697151891,-2.87985503449062,0.00397858060714773,0.239746424309245,-2.25154204931954,0.0243512267525388
"b_price_b",-0.919779673650374,0.138537008702656,-6.63923439854623,3.1531666166984e-11,0.209398753642298,-4.39247921800705,1.12065345301282e-05
"b_no_choice_c",-3.76119638767666,0.375005775538061,-10.029702561994,0,0.539783280657725,-6.96797496783087,3.21542792391938e-12
"b_mileage_c",-0.124666962632482,0.0316908507970399,-3.93384713559432,8.35969605030851e-05,0.0395594475941457,-3.1513827976438,0.00162499364619517
"b_range_year0_c",0.267434759028436,0.0867585784784445,3.08251660779437,0.002052582766505,0.140821868149432,1.89909963944413,0.0575513765202678
"b_degradation_c",-0.0966890756937818,0.0248302541410215,-3.89400266081224,9.86035670196284e-05,0.0376060960646318,-2.57110111955272,0.010137572185104
"b_packreplace_c",-0.319623983892285,0.0967802241026049,-3.30257536450241,0.00095801340444579,0.131488054863948,-2.43082144779618,0.0150646363941163
"b_cellreplace_c",-0.309414617969462,0.0981875585815174,-3.15126093814196,0.00162567182971607,0.139663798495916,-2.21542462185367,0.0267309328808185
"b_price_c",-0.534189258880474,0.0973310935826808,-5.48837210409735,4.0565482306576e-08,0.253589788230566,-2.10650934569488,0.0351601321682566
"delta_a",-0.124413509227348,0.621350589668395,-0.20023077356979,0.841300100651582,0.780881589259746,-0.159324423751991,0.873413279159571
"gamma_EV_rangeanxiety_a",-0.0774464869444554,0.296875428656319,-0.260872000404292,0.794191217817829,0.306306222511886,-0.25284007066311,0.800391801567279
"gamma_risktaker_a",0.268001905592672,0.234049863598566,1.1450632846868,0.252182943121952,0.297972427269632,0.89941847320712,0.368429803078873
"gamma_hhincome_a",0.107349043720144,0.0178241994692978,6.0226572253667,1.71576552965291e-09,0.0200437683090332,5.35573162017464,8.52109112159383e-08
"gamma_ev_charge_a",0.432700772542846,0.216739448658286,1.99640986087884,0.0458893283481614,0.233946474958342,1.84957167069901,0.0643753090499897
"gamma_ev_neighbor_a",0.218091515890847,0.218148999722286,0.999736492803026,0.317438046719139,0.225038009565866,0.969131909367577,0.332479378683657
"gamma_knowledge_ev_a",0.378461003669055,0.230969651235599,1.63857459906284,0.101301886011865,0.234081754141963,1.61678984787311,0.105923651573833
"gamma_evb_environment_agree_a",0.874655495631874,0.207716837997824,4.21080690454684,2.5446017704045e-05,0.221408267133137,3.95041931792876,7.80143938432509e-05
"gamma_evb_function_disagree_a",0.465536913027855,0.285207046627601,1.63227703709478,0.102621138369867,0.303710986227192,1.532828689574,0.125318069788189
"gamma_hhveh_fuel_a",-0.0717836872453106,0.312432794875252,-0.229757209943253,0.818280436736384,0.313830499941707,-0.228733941597914,0.819075712464806
"gamma_veh_refuel_a",0.0536723922124546,0.0319587590506333,1.6794266675818,0.0930689196184955,0.0361234193012684,1.48580597436882,0.137330449443156
"gamma_veh_range_a",-0.0983965953913366,0.102854104702951,-0.956661823808706,0.338737972991611,0.105725583734247,-0.930679140430828,0.352019563047725
