"Variables","Est._class1","Est._class2","Est._class3","Std.Err._class1","Std.Err._class2","Std.Err._class3","Sig._class1","Sig._class2","Sig._class3","label","section","fmt"
"no_choice",-2.83,-0.3,-5.69,0.47,1.55,0.34,"***"," ","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.23,-0.53,-0.16,0.04,0.21,0.02,"***","*","***","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_year0",1.8,1.84,0.87,0.45,1.29,0.2,"***"," ","***","BEV Electric Range (Year 3, 100 miles)","Vehicle Attributes","dollar"
"degradation",-0.09,-0.16,-0.07,0.02,0.07,0.01,"***","*","***","Range Loss Rate (%)","Vehicle Attributes","dollar"
"packreplace",-0.56,-0.89,-0.2,0.14,0.51,0.06,"***",".","***","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-0.59,-1.22,-0.19,0.14,0.55,0.06,"***","*","***","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.19,-0.96,-0.78,0.13,0.82,0.05,"***"," ","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"range_year0_quadratic",-0.19,-0.21,-0.06,0.26,0.09,0.04," ","*"," ","BEV Electric Range² (Year 3)","Vehicle Attributes","dollar"
"rangeloss_quadratic",0.0014,0.0005,0.0003,0,0,0," ",".","*","Range Loss Rate² (%²)","Vehicle Attributes","dollar"
"ASC",2.13,NA,2.78,0.59,NA,0.53,"***",NA,"***","ASC","Active Indicators","number"
"EV_rangeanxiety",-0.96,NA,-0.93,0.37,NA,0.33,"*",NA,"***","Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",0.14,NA,0.63,0.25,NA,0.21," ",NA,"***","Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",0.01,NA,0.01,0.02,NA,0.02," ",NA," ","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",0.06,NA,0.57,0.23,NA,0.2," ",NA,"***","Electrical Outlet Access","Active Indicators","pct"
"evenvironment_agree",1.2,NA,1.14,0.24,NA,0.2,"***",NA,"***","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",0.83,NA,1.24,0.36,NA,0.31,"*",NA,"***","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",-0.84,NA,-0.71,0.34,NA,0.32,"*",NA,"*","Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",-0.19,NA,-0.31,0.11,NA,0.1,".",NA,"***","Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",-0.11,NA,-0.18,0.22,NA,0.19," ",NA," ","SUV Segment","Active Indicators","pct"
