Variables,Est._Combined_class1,Est._Combined_class2,Est._Combined_class3,Std.Err._Combined_class1,Std.Err._Combined_class2,Std.Err._Combined_class3,Sig._Combined_class1,Sig._Combined_class2,Sig._Combined_class3,label,section,fmt
no_choice,-0.78,-4.51,-3.86,0.74,0.91,1.04, ,***,***,No-Choice Option (opt-out),Vehicle Attributes,dollar
mileage,-0.26,-0.24,-0.11,0.06,0.03,0.04,***,***,***,"Mileage (10,000 miles)",Vehicle Attributes,dollar
range_pw1,0.92,2.34,-0.01,0.58,0.78,0.41, ,***, ,BEV Electric Range (Year 3): <130 miles,Vehicle Attributes,dollar
range_pw2,1.41,1.3,-0.27,0.47,0.32,0.28,***,***, ,BEV Electric Range (Year 3): 130-200 miles,Vehicle Attributes,dollar
range_pw3,0.46,1.27,0.2,0.28,0.27,0.24, ,***, ,BEV Electric Range (Year 3): 200+ miles,Vehicle Attributes,dollar
loss_pw1,-0.12,-0.14,-0.03,0.03,0.02,0.03,***,***, ,Range Loss Rate: <12%,Vehicle Attributes,dollar
loss_pw2,-0.07,-0.13,-0.01,0.03,0.01,0.03,***,***, ,Range Loss Rate: 12%-24%,Vehicle Attributes,dollar
loss_pw3,-0.08,-0.07,-0.02,0.04,0.02,0.02,.,***, ,Range Loss Rate: 24%+,Vehicle Attributes,dollar
packreplace,-0.64,-0.4,-0.11,0.18,0.12,0.18,***,***, ,Battery Refurbishment: Pack Replace,Vehicle Attributes,dollar
cellreplace,-0.64,-0.34,-0.17,0.18,0.12,0.17,***,***, ,Battery Refurbishment: Cell Replace,Vehicle Attributes,dollar
price,-0.84,-1.31,-0.44,0.17,0.14,0.18,***,***,*,"Purchase Price (10,000 USD)",Vehicle Attributes,dollar
ASC,-2.14,-1.63,NA,0.56,0.76,NA,***,*,NA,ASC,Active Indicators,number
EV_rangeanxiety,0.77,0.66,NA,0.27,0.25,NA,***,*,NA,Perceived EV Range Anxiety: Agree,Active Indicators,number
risktaker,-0.6,-0.25,NA,0.24,0.27,NA,*, ,NA,Risk Taking Propensity: Agree,Active Indicators,number
hhincome,0.03,0.04,NA,0.02,0.02,NA, ,.,NA,"Household Income (10,000 USD)",Active Indicators,number
ev_charge,-0.43,-0.05,NA,0.27,0.3,NA, , ,NA,Electrical Outlet Access,Active Indicators,pct
knowledge_ev,0.14,0.35,NA,0.23,0.23,NA, , ,NA,EV Battery Knowledge: Yes,Active Indicators,number
evenvironment_agree,-0.28,0.68,NA,0.22,0.24,NA, ,***,NA,EV Battery Environmentally Positive: Agree,Active Indicators,number
evfunction_disagree,-0.62,0.25,NA,0.28,0.27,NA,*, ,NA,EV Battery Functionally Negative: Disagree,Active Indicators,number
hhveh_fuel,0.59,0.26,NA,0.28,0.27,NA,*, ,NA,Primary Household Vehicle Fuel Type: ICEV,Active Indicators,pct
veh_range,0.36,0.22,NA,0.09,0.09,NA,***,*,NA,Primary Vehicle Typical Range (miles),Active Indicators,number
suv,0.35,0.18,NA,0.23,0.23,NA, , ,NA,SUV Segment,Active Indicators,pct
