"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Est._Combined_class5","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Std.Err._Combined_class5","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","Sig._Combined_class5","label","section","fmt"
"no_choice",-1.19,-3.06,-3.51,-13.04,-3.81,1.48,0.89,2.88,1.58,0.86," ","***"," ","***","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.58,-0.23,-0.29,-0.17,-0.1,0.23,0.04,0.06,0.09,0.04,"*","***","***",".","*","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",1.11,1.01,4.06,0.5,-0.11,1.13,0.58,2.96,0.35,0.27," ","."," "," "," ","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",1.45,1.08,1.76,0.98,-0.33,1.76,0.29,0.72,0.95,0.24," ","***","*"," "," ","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",1.36,0.81,1.25,0.67,0.14,0.72,0.21,0.28,0.52,0.2,".","***","***"," "," ","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.23,-0.13,-0.14,-0.07,-0.02,0.08,0.02,0.02,0.05,0.03,"***","***","***"," "," ","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.03,-0.08,-0.15,-0.1,-0.02,0.1,0.02,0.02,0.09,0.02," ","***","***"," "," ","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",-0.05,-0.06,-0.06,-0.1,-0.01,0.11,0.03,0.03,0.04,0.01," ",".","*","*"," ","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace",-0.64,-0.76,-0.4,0.02,-0.14,0.51,0.16,0.14,0.24,0.16," ","***","*"," "," ","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-1,-0.72,-0.33,0.01,-0.18,0.55,0.16,0.14,0.24,0.16,".","***","*"," "," ","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.25,-0.99,-0.87,-3.96,-0.18,0.79,0.15,0.17,0.78,0.08," ","***","***","***","*","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",-2.87,-1.8,-3.09,-1.99,NA,0.57,0.49,1.12,0.76,NA,"***","***","*","*",NA,"ASC","Active Indicators","number"
"EV_rangeanxiety",1.07,0.57,0.95,0.49,NA,0.3,0.25,0.27,0.33,NA,"***","*","***"," ",NA,"Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",-1.03,-0.74,-0.24,-1.11,NA,0.27,0.24,0.32,0.37,NA,"***","***"," ","***",NA,"Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",0.01,0.03,0.04,-0.04,NA,0.02,0.02,0.02,0.04,NA," "," ","*"," ",NA,"Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",-0.61,-0.48,0.01,-0.24,NA,0.25,0.26,0.31,0.35,NA,"*","."," "," ",NA,"Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",0.13,0.47,0.59,0.18,NA,0.26,0.27,0.3,0.32,NA," ",".","."," ",NA,"EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",-0.39,0.63,0.94,0.73,NA,0.25,0.23,0.27,0.27,NA," ","*","***","*",NA,"EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",-0.71,-0.1,0.51,0.22,NA,0.38,0.3,0.29,0.35,NA,"."," ","."," ",NA,"EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",1.02,0.35,0.54,1.13,NA,0.34,0.28,0.28,0.63,NA,"***"," ",".",".",NA,"Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",0.48,0.31,0.32,0.28,NA,0.11,0.1,0.11,0.13,NA,"***","***","***","*",NA,"Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",0.18,0.08,0.29,-0.28,NA,0.26,0.24,0.46,0.34,NA," "," "," "," ",NA,"SUV Segment","Active Indicators","pct"
