"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Est._Combined_class5","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Std.Err._Combined_class5","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","Sig._Combined_class5","label","section","fmt"
"no_choice",0,-2.99,-3.76,-13.23,-4.48,1.7,0.66,1.39,1.6,1.11," ","***","*","***","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.52,-0.23,-0.28,-0.18,-0.11,0.2,0.04,0.05,0.08,0.05,"*","***","***","*","*","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",1.66,0.94,4.05,0.32,-0.03,1.33,0.53,1.49,0.35,0.39," ",".","*"," "," ","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",1.84,1.13,1.79,0.95,-0.51,2.04,0.3,0.5,0.72,0.3," ","***","***"," ",".","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",0.98,0.81,1.44,0.95,0.15,0.67,0.23,0.41,0.74,0.24," ","***","***"," "," ","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.23,-0.13,-0.14,-0.07,-0.04,0.08,0.02,0.03,0.04,0.04,"***","***","***","."," ","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.03,-0.08,-0.16,-0.06,-0.03,0.09,0.02,0.02,0.05,0.03," ","***","***"," "," ","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",-0.12,-0.05,-0.06,-0.12,-0.01,0.12,0.03,0.02,0.04,0.02," ","*","*","*"," ","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace_treat",-0.4,-0.24,-0.37,0.01,0.2,1.03,0.25,0.27,0.45,0.33," "," "," "," "," ","Battery Refurbishment: Pack Replace x Info Treatment","Vehicle Attributes","dollar"
"cellreplace_treat",-2.73,-0.01,-0.29,-0.25,0.44,4.12,0.22,0.26,0.5,0.37," "," "," "," "," ","Battery Refurbishment: Cell Replace x Info Treatment","Vehicle Attributes","dollar"
"packreplace",-0.73,-0.52,-0.19,0.06,-0.29,0.54,0.21,0.21,0.31,0.31," ","*"," "," "," ","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-0.39,-0.64,-0.15,0.31,-0.55,0.69,0.21,0.21,0.41,0.34," ","***"," "," "," ","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.05,-0.93,-1.04,-4.2,-0.21,0.53,0.15,0.15,0.6,0.08,".","***","***","***","*","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",-2.98,-1,-2.38,-1.06,NA,0.68,0.58,0.97,0.76,NA,"***",".","*"," ",NA,"ASC","Active Indicators","number"
"EV_rangeanxiety",1.32,0.36,0.81,0.3,NA,0.37,0.28,0.29,0.36,NA,"***"," ","***"," ",NA,"Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",-0.97,-0.84,-0.33,-1.2,NA,0.29,0.29,0.3,0.35,NA,"***","***"," ","***",NA,"Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",0.01,0.02,0.04,-0.05,NA,0.02,0.02,0.02,0.03,NA," "," ","*"," ",NA,"Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",-0.56,-0.57,-0.03,-0.28,NA,0.28,0.28,0.3,0.35,NA,".","."," "," ",NA,"Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",-0.19,0.16,0.29,-0.18,NA,0.32,0.34,0.34,0.38,NA," "," "," "," ",NA,"EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",-0.38,0.71,1.06,0.84,NA,0.28,0.27,0.31,0.32,NA," ","*","***","*",NA,"EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",-0.92,-0.21,0.43,0.09,NA,0.4,0.31,0.32,0.4,NA,"*"," "," "," ",NA,"EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",0.98,0.15,0.33,0.77,NA,0.38,0.3,0.32,0.5,NA,"*"," "," "," ",NA,"Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",0.53,0.29,0.3,0.24,NA,0.13,0.11,0.12,0.13,NA,"***","*","*",".",NA,"Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",0.18,-0.04,0.15,-0.34,NA,0.29,0.27,0.33,0.35,NA," "," "," "," ",NA,"SUV Segment","Active Indicators","pct"
