"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Est._Combined_class5","Est._Combined_class6","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Std.Err._Combined_class5","Std.Err._Combined_class6","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","Sig._Combined_class5","Sig._Combined_class6","label","section","fmt"
"no_choice",-2.58,-2.51,-1.97,-13.85,-9.82,-3.49,1.34,0.39,0.75,1.66,0.81,0.46,".","***","**","***","***","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.47,-0.22,-0.31,-0.23,-0.3,-0.14,0.25,0.03,0.06,0.06,0.04,0.03,".","***","***","***","***","***","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",0.11,1.43,5.74,1.13,0.47,0.18,1.33,0.36,0.42,0.4,0.28,0.22," ","***","***","**","."," ","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",1.88,1.14,3.09,0.71,0.47,-0.14,1.38,0.22,0.47,0.36,0.24,0.18," ","***","***","*","."," ","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",1.35,1.15,3.78,0.79,0.54,0.2,0.61,0.17,0.73,0.51,0.19,0.12,"*","***","***"," ","**",".","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.24,-0.09,-0.13,-0.08,-0.24,0,0.07,0.02,0.02,0.03,0.03,0.01,"***","***","***","**","***"," ","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.04,-0.09,-0.1,-0.07,-0.24,-0.02,0.06,0.01,0.02,0.02,0.02,0.01," ","***","***","***","***",".","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",0.03,-0.05,-0.07,-0.07,-0.22,-0.02,0.09,0.02,0.02,0.02,0.03,0.01," ","*","***","***","***","*","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace",-0.93,-0.69,-0.08,0.04,-0.28,-0.38,0.43,0.11,0.16,0.17,0.13,0.1,"*","***"," "," ","*","***","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-1.07,-0.73,-0.1,0.11,-0.38,-0.47,0.42,0.11,0.14,0.16,0.13,0.1,"*","***"," "," ","**","***","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.47,-1.21,-1.48,-4.02,-1.02,-0.14,0.65,0.1,0.29,0.36,0.12,0.05,"*","***","***","***","***","**","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,1.38,-0.27,1.28,0.87,2.64,NA,0.54,0.55,0.58,0.5,0.49,NA,"*"," ","*",".","***","ASC","Active Indicators","number"
"EV_rangeanxiety",NA,-0.12,-0.13,-0.51,-0.02,-0.73,NA,0.27,0.27,0.28,0.26,0.25,NA," "," ","."," ","**","Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",NA,0.04,0.39,0,0.69,0.89,NA,0.21,0.21,0.24,0.2,0.2,NA," ","."," ","***","***","Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",NA,0,0.02,-0.05,0.01,0,NA,0.02,0.02,0.02,0.02,0.02,NA," "," ","*"," "," ","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,0.31,0.81,0.42,0.39,0.52,NA,0.19,0.21,0.22,0.19,0.2,NA," ","***",".","*","**","Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",NA,0.28,0.31,0.01,0.15,-0.18,NA,0.2,0.23,0.22,0.19,0.2,NA," "," "," "," "," ","EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",NA,0.83,1.29,1.19,1.21,0.81,NA,0.19,0.21,0.22,0.19,0.2,NA,"***","***","***","***","***","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",NA,0.74,1.55,1.17,0.99,0.82,NA,0.29,0.28,0.3,0.28,0.29,NA,"*","***","***","***","**","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",NA,-0.6,-0.59,-0.01,-0.63,-1.23,NA,0.27,0.28,0.33,0.27,0.26,NA,"*","*"," ","*","***","Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",NA,-0.11,0.08,-0.19,-0.17,-0.33,NA,0.1,0.1,0.1,0.09,0.09,NA," "," ",".",".","***","Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",NA,-0.53,-0.98,-0.74,-0.2,-0.52,NA,0.19,0.27,0.22,0.19,0.2,NA,"**","***","***"," ","**","SUV Segment","Active Indicators","pct"
