"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Est._Combined_class5","Est._Combined_class6","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Std.Err._Combined_class5","Std.Err._Combined_class6","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","Sig._Combined_class5","Sig._Combined_class6","label","section","fmt"
"no_choice",-2.803,-9.924,-1.728,-4.094,-2.71,-13.632,1.588,0.922,0.82,0.609,0.395,1.757,".","***","*","***","***","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.435,-0.309,-0.292,-0.159,-0.218,-0.252,0.247,0.044,0.059,0.035,0.032,0.057,".","***","***","***","***","***","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",-0.205,0.379,5.747,0.141,1.234,1.397,1.68,0.295,0.41,0.314,0.354,0.533," "," ","***"," ","***","**","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",2.525,0.473,2.994,-0.189,1.081,0.684,1.776,0.258,0.494,0.202,0.225,0.389," ",".","***"," ","***",".","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",1.154,0.584,3.924,0.241,1.108,0.908,0.678,0.19,0.769,0.137,0.167,0.565,".","**","***",".","***"," ","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.25,-0.234,-0.127,0.003,-0.094,-0.093,0.081,0.03,0.026,0.017,0.017,0.03,"**","***","***"," ","***","**","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.036,-0.236,-0.102,-0.022,-0.094,-0.076,0.071,0.02,0.016,0.012,0.013,0.023," ","***","***",".","***","***","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",0.013,-0.226,-0.072,-0.021,-0.052,-0.064,0.108,0.032,0.019,0.012,0.02,0.021," ","***","***",".","**","**","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace",-1.211,-0.326,-0.053,-0.447,-0.636,0.121,0.471,0.135,0.166,0.139,0.106,0.185,"*","*"," ","**","***"," ","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-1.001,-0.387,-0.091,-0.536,-0.72,0.103,0.467,0.136,0.15,0.135,0.111,0.179,"*","**"," ","***","***"," ","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.552,-0.993,-1.516,-0.204,-1.177,-3.995,0.71,0.129,0.337,0.067,0.098,0.369,"*","***","***","**","***","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,0.772,-0.319,1.922,1.311,1.326,NA,0.523,0.575,0.53,0.558,0.604,NA," "," ","***","*","*","ASC","Active Indicators","number"
"EV_rangeanxiety",NA,0.041,-0.152,-0.603,-0.069,-0.604,NA,0.272,0.287,0.273,0.288,0.296,NA," "," ","*"," ","*","Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",NA,0.725,0.464,1.118,0.101,-0.009,NA,0.206,0.219,0.215,0.21,0.256,NA,"***","*","***"," "," ","Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",NA,0.013,0.024,0.011,-0.001,-0.049,NA,0.017,0.018,0.018,0.018,0.023,NA," "," "," "," ","*","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,0.417,0.754,0.456,0.335,0.44,NA,0.194,0.207,0.207,0.195,0.226,NA,"*","***","*",".",".","Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",NA,0.116,0.255,-0.186,0.288,0.074,NA,0.2,0.229,0.218,0.201,0.232,NA," "," "," "," "," ","EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",NA,1.206,1.279,0.847,0.818,1.185,NA,0.195,0.216,0.209,0.195,0.223,NA,"***","***","***","***","***","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",NA,1.048,1.59,0.873,0.77,1.17,NA,0.285,0.292,0.302,0.296,0.314,NA,"***","***","**","**","***","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",NA,-0.716,-0.623,-1.01,-0.623,-0.069,NA,0.276,0.29,0.278,0.274,0.336,NA,"**","*","***","*"," ","Current Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",NA,-0.171,0.109,-0.308,-0.133,-0.187,NA,0.094,0.101,0.102,0.099,0.105,NA,"."," ","**"," ",".","Current Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",NA,-0.124,-1.009,-0.366,-0.419,-0.681,NA,0.193,0.276,0.212,0.195,0.228,NA," ","***",".","*","**","SUV/Crossover as the Next Vehicle","Active Indicators","pct"
