"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Est._Combined_class5","Est._Combined_class6","Est._Combined_class7","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Std.Err._Combined_class5","Std.Err._Combined_class6","Std.Err._Combined_class7","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","Sig._Combined_class5","Sig._Combined_class6","Sig._Combined_class7","label","section","fmt"
"no_choice",-2.1,-9.89,-14.41,-3.67,-2.53,-3.57,-2.52,0.76,0.84,1.84,2.07,0.48,0.61,1.5,"**","***","***",".","***","***",".","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.31,-0.3,-0.23,-0.28,-0.21,-0.15,-0.43,0.06,0.04,0.06,0.18,0.04,0.03,0.3,"***","***","***"," ","***","***"," ","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",5.72,0.47,1.08,0.95,1.57,0.12,0.08,0.42,0.29,0.4,2.9,0.69,0.26,1.48,"***"," ","**"," ","*"," "," ","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",3.04,0.5,0.8,0.81,1.18,-0.25,1.79,0.47,0.25,0.36,1.75,0.3,0.22,1.32,"***","*","*"," ","***"," "," ","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",3.84,0.56,0.76,0.55,1.39,0.15,1.32,0.72,0.2,0.55,0.47,0.23,0.13,0.73,"***","**"," "," ","***"," ",".","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.13,-0.24,-0.09,-0.01,-0.11,0,-0.23,0.03,0.03,0.03,0.06,0.02,0.02,0.06,"***","***","**"," ","***"," ","***","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.1,-0.24,-0.07,-0.13,-0.09,-0.01,-0.04,0.02,0.02,0.02,0.07,0.02,0.01,0.06,"***","***","***",".","***"," "," ","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",-0.07,-0.22,-0.07,-0.04,-0.04,-0.02,0.03,0.02,0.03,0.02,0.05,0.02,0.01,0.09,"***","***","***"," "," ","*"," ","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace",-0.07,-0.23,-0.08,-3.59,-0.28,0,-1.02,0.18,0.16,0.19,0.54,0.23,0.15,0.55," "," "," ","***"," "," ",".","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-0.09,-0.35,0,-3.37,-0.3,-0.1,-1.16,0.16,0.15,0.18,0.58,0.26,0.15,0.4," ","*"," ","***"," "," ","**","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.5,-1.02,-4.1,-0.41,-1.4,-0.14,-1.45,0.3,0.12,0.38,0.46,0.2,0.07,0.86,"***","***","***"," ","***",".",".","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,1.14,1.51,1.28,1.24,2.81,0.34,NA,0.44,0.51,0.95,0.53,0.43,0.59,NA,"**","**"," ","*","***"," ","ASC","Active Indicators","number"
"EV_rangeanxiety",NA,0.1,-0.37,-0.02,0.04,-0.65,0.13,NA,0.22,0.25,0.38,0.22,0.21,0.28,NA," "," "," "," ","**"," ","Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",NA,0.29,-0.38,0.37,-0.4,0.48,-0.38,NA,0.18,0.23,0.41,0.19,0.18,0.22,NA," ","."," ","*","**",".","Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",NA,-0.01,-0.07,-0.02,-0.02,-0.02,-0.02,NA,0.01,0.02,0.02,0.01,0.02,0.02,NA," ","**"," "," "," "," ","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,-0.46,-0.39,-0.49,-0.48,-0.3,-0.83,NA,0.18,0.22,0.38,0.18,0.19,0.21,NA,"*","."," ","**"," ","***","Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",NA,-0.17,-0.3,-0.42,0.05,-0.52,-0.32,NA,0.21,0.24,0.37,0.21,0.21,0.23,NA," "," "," "," ","*"," ","EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",NA,-0.09,-0.12,-0.89,-0.38,-0.44,-1.29,NA,0.19,0.22,0.26,0.18,0.19,0.23,NA," "," ","***","*","*","***","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",NA,-0.56,-0.41,-1.32,-0.7,-0.64,-1.56,NA,0.2,0.23,0.51,0.24,0.2,0.28,NA,"**",".","**","**","**","***","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",NA,-0.03,0.59,-0.49,0.06,-0.62,0.61,NA,0.22,0.28,0.35,0.23,0.21,0.29,NA," ","*"," "," ","**","*","Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",NA,-0.25,-0.26,-0.38,-0.15,-0.39,-0.09,NA,0.08,0.09,0.14,0.08,0.08,0.1,NA,"**","**","**",".","***"," ","Primary Vehicle Typical Range (miles)","Active Indicators","number"
"suv",NA,0.79,0.3,0.99,0.45,0.39,1.02,NA,0.27,0.3,0.67,0.24,0.26,0.31,NA,"**"," "," ","."," ","***","SUV Segment","Active Indicators","pct"
