"Variables","Est._Combined_class1","Est._Combined_class2","Est._Combined_class3","Est._Combined_class4","Est._Combined_class5","Est._Combined_class6","Est._Combined_class7","Est._Combined_class8","Std.Err._Combined_class1","Std.Err._Combined_class2","Std.Err._Combined_class3","Std.Err._Combined_class4","Std.Err._Combined_class5","Std.Err._Combined_class6","Std.Err._Combined_class7","Std.Err._Combined_class8","Sig._Combined_class1","Sig._Combined_class2","Sig._Combined_class3","Sig._Combined_class4","Sig._Combined_class5","Sig._Combined_class6","Sig._Combined_class7","Sig._Combined_class8","label","section","fmt"
"no_choice",-1.78,-1.39,-2.47,-14.25,-10.32,-3.41,-3.12,-6.21,1.65,0.75,0.79,1.53,0.98,0.6,1.69,1.9," ",".","**","***","***","***",".","**","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.6,-0.28,-0.32,-0.23,-0.3,-0.15,-0.24,-0.06,0.25,0.06,0.06,0.06,0.04,0.04,0.15,0.14,"*","***","***","***","***","***","."," ","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_pw1",-0.09,3.26,5.72,1.09,0.47,0.13,1.29,0.22,1.5,0.97,0.47,0.41,0.3,0.23,1.54,0.68," ","***","***","**"," "," "," "," ","BEV Electric Range (Year 3): <130 miles","Vehicle Attributes","dollar"
"range_pw2",0.5,0.68,3.17,0.76,0.6,-0.25,0.84,2.49,1.45,0.44,0.5,0.35,0.27,0.21,0.96,1.17," "," ","***","*","*"," "," ","*","BEV Electric Range (Year 3): 130-200 miles","Vehicle Attributes","dollar"
"range_pw3",0.47,1.27,3.82,0.78,0.5,0.16,0.58,3.65,1.5,0.24,0.72,0.51,0.22,0.13,0.42,3.39," ","***","***"," ","*"," "," "," ","BEV Electric Range (Year 3): 200+ miles","Vehicle Attributes","dollar"
"loss_pw1",-0.23,-0.14,-0.13,-0.09,-0.24,0,0,-0.04,0.09,0.03,0.03,0.03,0.03,0.02,0.06,0.07,"**","***","***","**","***"," "," "," ","Range Loss Rate: <12%","Vehicle Attributes","dollar"
"loss_pw2",-0.07,-0.12,-0.1,-0.07,-0.25,-0.01,-0.12,-0.03,0.07,0.02,0.02,0.02,0.02,0.01,0.05,0.04," ","***","***","***","***"," ","*"," ","Range Loss Rate: 12%-24%","Vehicle Attributes","dollar"
"loss_pw3",0.01,-0.09,-0.07,-0.07,-0.23,-0.02,-0.04,-0.01,0.14,0.05,0.02,0.02,0.03,0.01,0.03,0.05," ",".","***","***","***","."," "," ","Range Loss Rate: 24%+","Vehicle Attributes","dollar"
"packreplace",-1.4,-0.28,-0.05,-0.05,-0.25,0.02,-3.5,-0.5,1.45,0.17,0.16,0.17,0.15,0.14,0.53,0.42," "," "," "," "," "," ","***"," ","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-1.25,-0.27,-0.09,0.01,-0.37,-0.08,-3.24,-0.66,0.66,0.18,0.15,0.17,0.15,0.14,0.57,0.37,"."," "," "," ","*"," ","***",".","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-0.33,-1.21,-1.51,-4.1,-0.97,-0.14,-0.45,-4.25,1.39,0.2,0.32,0.36,0.13,0.07,0.34,1.34," ","***","***","***","***","*"," ","**","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,0.48,-0.36,1.22,0.87,2.56,0.95,0.2,NA,0.7,0.67,0.68,0.61,0.6,0.96,0.84,NA," "," ","."," ","***"," "," ","ASC","Active Indicators","number"
"EV_rangeanxiety",NA,-0.25,-0.22,-0.58,-0.11,-0.87,-0.24,-0.08,NA,0.29,0.31,0.32,0.3,0.29,0.41,0.58,NA," "," ","."," ","**"," "," ","Perceived EV Range Anxiety: Agree","Active Indicators","number"
"risktaker",NA,0.01,0.41,0,0.73,0.87,0.83,0,NA,0.24,0.23,0.26,0.22,0.22,0.39,0.4,NA," ","."," ","***","***","*"," ","Risk Taking Propensity: Agree","Active Indicators","number"
"hhincome",NA,0.01,0.01,-0.06,0,-0.01,-0.01,-0.08,NA,0.02,0.02,0.02,0.02,0.02,0.02,0.04,NA," "," ","*"," "," "," ","*","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,0.41,0.83,0.42,0.34,0.5,0.32,0.22,NA,0.22,0.22,0.24,0.21,0.22,0.31,0.39,NA,".","***","."," ","*"," "," ","Electrical Outlet Access","Active Indicators","pct"
"knowledge_ev",NA,0.35,0.45,0.12,0.25,-0.09,0.07,0.69,NA,0.27,0.27,0.26,0.24,0.25,0.38,0.33,NA," ","."," "," "," "," ","*","EV Battery Knowledge: Yes","Active Indicators","number"
"evenvironment_agree",NA,1.05,1.47,1.34,1.39,1.03,0.6,1.27,NA,0.3,0.31,0.31,0.3,0.3,0.38,0.34,NA,"***","***","***","***","***"," ","***","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",NA,0.88,1.59,1.2,1.06,0.97,0.33,0.86,NA,0.34,0.32,0.34,0.33,0.33,0.52,0.54,NA,"*","***","***","**","**"," "," ","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"hhveh_fuel",NA,-0.47,-0.6,-0.03,-0.68,-1.24,-1.13,-0.59,NA,0.32,0.31,0.36,0.3,0.3,0.38,0.45,NA," ","."," ","*","***","**"," ","Primary Household Vehicle Fuel Type: ICEV","Active Indicators","pct"
"veh_range",NA,0.01,0.1,-0.14,-0.15,-0.28,-0.25,-0.09,NA,0.12,0.11,0.11,0.11,0.11,0.16,0.15,NA," "," "," "," ","**"," "," ","Primary Vehicle Typical Range (miles)","Active Indicators","number"
