"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-0.0921203862581124,1.79673741683742,-0.0512709232828584,0.959109637479784,1.69412394033684,-0.054376414891933,0.95663526923776
"b_mileage_a",-0.562360165833565,0.184869342609135,-3.0419330641671,0.00235064159774345,0.234406067832699,-2.39908536085736,0.0164360826671062
"b_range_pw1_a",1.90882985177802,1.35062172512153,1.41329716253917,0.157568367949523,1.40526913759771,1.35833756019231,0.174356597190115
"b_range_pw2_a",1.25199891889684,1.11440897558745,1.12346449671842,0.261240270912128,1.42013804243171,0.881603676184206,0.377991166445272
"b_range_pw3_a",1.00684605372672,0.551347315049801,1.82615572116422,0.0678268089112408,0.687312810642073,1.46490220775334,0.142947600391998
"b_loss_pw1_a",-0.236032258099827,0.0835953399205533,-2.82350975932564,0.00475009797610326,0.0824285074175281,-2.86347849178251,0.0041901726066027
"b_loss_pw2_a",-0.0546901514091791,0.0855460010131002,-0.639306931492964,0.522623280131225,0.0874532809662977,-0.6253642036627,0.531732050452646
"b_loss_pw3_a",-0.0975878395091774,0.151125021799264,-0.645742434623441,0.518446174080116,0.107256825913286,-0.909852018071782,0.362900557168101
"b_packreplace_a",-0.852121767002219,0.454758587182239,-1.87378928297343,0.060959474118663,0.487368867193021,-1.74841239226046,0.0803926436014437
"b_cellreplace_a",-1.17423499428855,0.523571691398042,-2.24273965453156,0.0249136078983785,0.659020619896747,-1.78178794234469,0.0747838192835344
"b_price_a",-1.03570966882966,0.403567465031544,-2.56638544623191,0.0102764562885009,0.637402986380711,-1.62488989063356,0.104186022651903
"b_no_choice_b",-3.02382653526958,0.435530037702951,-6.94286564301667,3.84225984362274e-12,0.673632320807303,-4.48883826067865,7.16126415545304e-06
"b_mileage_b",-0.233719951531659,0.0355378588542264,-6.57664696374534,4.81175099764641e-11,0.041754602005909,-5.59746567572559,2.17507898359059e-08
"b_range_pw1_b",0.898328709347024,0.297584694047358,3.01873290971095,0.00253834205182124,0.531728902047583,1.6894487132216,0.0911334724382291
"b_range_pw2_b",1.11515492643747,0.251238058076568,4.43863853659309,9.05297058717558e-06,0.301048916844574,3.70423165153989,0.000212032431077702
"b_range_pw3_b",0.75795167930974,0.163775807497886,4.62798316118529,3.69244031150906e-06,0.228687846932602,3.31435049774691,0.00091856285962244
"b_loss_pw1_b",-0.132936506725705,0.0203159386239395,-6.54345876833164,6.01121374899094e-11,0.0221398509120678,-6.00439936355871,1.92041471613891e-09
"b_loss_pw2_b",-0.0770745415938437,0.0153149117490073,-5.03264679921122,4.83753908930851e-07,0.0197037446193853,-3.91166974007644,9.16602002363209e-05
"b_loss_pw3_b",-0.0535346440190416,0.0226660454927522,-2.361887257138,0.0181821707746643,0.0280264637511756,-1.9101462280198,0.0561143883118564
