"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_ev_charge_c","gamma_hhincome_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","logLike"
-2.82106979332609,-0.202159555674218,2.46696174459563,-0.433170544955766,-0.639384836362858,-0.653336479954881,-1.32402835551977,1.00287086098402,-0.219877537254886,1.08413184596552,-0.304644540734901,-0.413184258590592,-0.962232494720522,-0.698473326679283,-3.47997810617248,-0.0229201732456853,-0.0975790929946325,-0.133284155488248,-0.104944708460621,0.0281628370479565,-0.438247387354641,0.240029169164358,-1.13616692593291,-0.068448285682231,-0.0601448584466483,0.195341670854628,-0.110806835749605,-0.170438685973714,-0.405796610944441,1.33168354103212,-0.387706587967484,-0.406693680826787,-0.00911444560732199,-0.029455096753331,0.375106190181773,-0.871307959778132,-0.702282387010417,-2896.31559614382
-3.38107662156159,-0.257942984740065,2.18206852363497,-0.54018470801504,-0.655508378786809,-0.504168585751842,-1.28468595383948,0.957359456349289,-0.224330482636161,1.05706730953571,-0.310711280001814,-0.449530714478585,-0.820739284424669,-0.716585248853277,-3.58435677336526,-0.0485070893810546,-0.0485644134570173,-0.153078796415725,-0.15084765058561,-0.10239961917285,-0.426362220147375,0.356128139028118,-1.04222527776918,-0.0606723864755575,-0.0368095337930086,0.148855921369391,0.0690548822926674,-0.184733919782217,-0.316591296182547,1.38421906677708,-0.444772039632036,-0.407852357346414,-0.059261753637565,-0.0275269155142276,0.263582559592881,-0.5844081160491,-0.300626888913767,-2834.91507710161
-4.90519640770471,-0.335159718764715,1.80671339421845,-0.669588555203979,-0.566899753701519,-0.410875929742723,-1.34742015805528,0.25081970709623,-0.296189787902787,0.898440045464278,-0.323603307773414,-0.394853486513067,-0.615438951104564,-0.752953458721829,-3.69805099242751,-0.0732392401114945,0.0273518425327718,-0.157847311738387,-0.25778732579356,-0.223242482707772,-0.429747388389602,0.224040679589643,-1.03683195329254,-0.09037173869551,-0.00286530018521197,-0.217323656179804,-0.0202416121715079,-0.137347068585765,-0.296949960097032,1.16285123221047,-0.555787752822254,-0.464302647154164,-0.36804723003385,-0.0266527308881584,-0.0127482193528926,-0.169288561367229,0.0158837312066759,-2789.03317703332
-6.08387039528865,-0.385751271983572,1.33771564339151,-0.771898893334249,-0.473215367519236,-0.35298496643921,-1.2929443073491,-0.495602213232185,-0.348282834732006,0.663610408016466,-0.328550551777729,-0.409384954994291,-0.47536964622565,-0.740778003648594,-3.62787002469128,-0.0617526134843434,0.066798016497096,-0.131563366375593,-0.307361054540508,-0.323777223767712,-0.413495976678525,-0.199361802562833,-0.820348187715039,0.0545260297112491,0.0101619190549875,-0.352416231290951,-0.098511671315881,-0.131024377766666,-0.103744167499624,0.776570222322429,-0.383114588658059,-0.326056940688573,-0.428549887283975,-0.0460348045985854,-0.145342656295629,-0.234532136732845,0.351865471888639,-2760.80608753495
-6.61662909558115,-0.37187162816931,1.21301888176605,-0.842192364176802,-0.431357689508541,-0.341256079887061,-1.32149614959419,-0.987495385975593,-0.385009264917709,0.54841655223323,-0.332712244083051,-0.405337685211707,-0.520945526780816,-0.748053242093664,-3.48761100009373,-0.069055892283711,0.167890437667509,-0.0996507682561954,-0.362221123211234,-0.351097779561219,-0.416646584948372,-0.277833504492354,-0.799992433473545,0.0469436932321557,0.00810319096372238,-0.309632723613348,-0.206387581121716,-0.124715431253054,-0.222677031962256,0.652973494479093,-0.320067073568404,-0.344987959495044,-0.266314899259856,-0.0485306340829041,-0.228687093532142,-0.287186996421663,0.338459443385542,-2754.50220493657
-6.52539595870628,-0.341793797266496,1.17089472834516,-0.840671673751364,-0.405940223839361,-0.340964995369288,-1.30175909905892,-0.973432404370836,-0.364339298395783,0.533435803210245,-0.328095174560806,-0.427122062847403,-0.585836196934373,-0.751044496699961,-3.4066828541722,-0.0730931547968276,0.178998822598304,-0.0869106357352524,-0.353530375129458,-0.33385604751662,-0.3977243227359,-0.347272740148671,-0.790701247992033,0.0580488238979144,0.00877184044988497,-0.211213083215985,-0.157737800768765,-0.177031797384184,-0.259994748712394,0.55988049464406,-0.322187465713025,-0.307678504545063,-0.117868957776007,-0.0476719946483692,-0.17824157831306,-0.348937378864849,0.383864923006385,-2753.20349927007
-6.32259799662783,-0.309223794857092,1.13393332566047,-0.816984069707497,-0.416009141467918,-0.342573669631675,-1.26796844301126,-0.987056684721164,-0.355804021160307,0.525078490691241,-0.323588968108337,-0.455696842053599,-0.632777973079344,-0.756396612353756,-3.35981853490114,-0.076272086593552,0.177065684699387,-0.0766463154223904,-0.334179210459327,-0.310724867502703,-0.379659317094225,-0.363949096646341,-0.804697523130024,0.0534646986939009,0.00644198112719789,-0.177111143717475,-0.123606993647457,-0.185604230421001,-0.254841595524578,0.499916303772074,-0.3362830075394,-0.296786936143927,-0.0427821267449882,-0.0462385334306533,-0.129859133006998,-0.388538644354666,0.38364922632181,-2752.75622526564
-6.2727825053852,-0.305032384401567,1.12387878127718,-0.809865223869113,-0.421393938850782,-0.344146091463434,-1.25820255080319,-0.957687367036935,-0.351544197003954,0.527580110432334,-0.319277588435675,-0.463518233383248,-0.645881450370939,-0.756491243922041,-3.37933711763444,-0.0760965489584598,0.165019911471526,-0.0768063370262298,-0.327404023049936,-0.300198391866504,-0.371994641252009,-0.371353920692862,-0.812510070194808,0.0554227225825905,0.0058654905405547,-0.165578609012574,-0.123620288690424,-0.17913566792554,-0.243383127494215,0.477173503185722,-0.34654307379561,-0.293397399807109,-0.0106170993016369,-0.0475627849935671,-0.0864329338287542,-0.396912923544555,0.39657034387499,-2752.68838696515
-6.23403406513916,-0.302992205509893,1.11970945199683,-0.802568413971715,-0.429341248391892,-0.349207509993817,-1.25233498518149,-0.950753656023297,-0.351403212754437,0.5277811896616,-0.316864715072419,-0.463961205175956,-0.648878408485458,-0.758003537574839,-3.39117089457502,-0.0759230948000344,0.159851573305158,-0.0757991988561389,-0.320518095960846,-0.296771488484239,-0.369560392994258,-0.374878676196015,-0.813820134655309,0.0541013634006958,0.00566988552990166,-0.172742379081887,-0.123048980205817,-0.174971123063192,-0.227551162686945,0.457139441276587,-0.349282296609408,-0.296461528430064,-0.0184163962158411,-0.0467196730042128,-0.0852769263955444,-0.389543009618866,0.397338288475073,-2752.66634061937
-6.21915002364063,-0.303308769827988,1.11828680015004,-0.798537835811796,-0.43337772819874,-0.352816006257699,-1.25141808853042,-0.951067410982781,-0.352693935824744,0.528890670793801,-0.315315342542742,-0.463138200155372,-0.649357052140697,-0.760660145833139,-3.40041310259771,-0.0750551078602808,0.156259120747435,-0.07549820078581,-0.31722066995715,-0.295297530467545,-0.368094359757555,-0.377981120295175,-0.814667287846973,0.0526458158015467,0.005615042889676,-0.182811507009167,-0.126412080660604,-0.169044468101873,-0.222177836358706,0.443749128747918,-0.352021513762201,-0.299849239624075,-0.0248654508081447,-0.0464105183809889,-0.0858675085225824,-0.380997655937818,0.395951432395689,-2752.65715974174
