"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-4.72983602335799,0.392411694563354,-12.0532494033364,0,0.912990650639873,-5.1805963402178,2.21177657966365e-07
"b_mileage_a",-0.18915057151058,0.0366124013245937,-5.16629788452366,2.38776140637498e-07,0.0419334472153987,-4.5107326983869,6.46040877771981e-06
"b_range_year0_a",2.06241262533662,0.215630242976219,9.56457961031039,0,0.56692873025628,3.63786930396754,0.000274902854001668
"b_degradation_a",-0.490694208690861,0.0311040706933362,-15.7758839197851,0,0.0569531771606891,-8.61574776252437,0
"b_packreplace_a",-0.218018154549641,0.122587544560521,-1.77846905516576,0.0753268499125577,0.185165172184198,-1.17742527915974,0.239025804983724
"b_cellreplace_a",-0.181977266191401,0.119252459835018,-1.52598333353594,0.127014015215344,0.172576662134669,-1.05447204703378,0.291666851876323
"b_price_a",-1.63872217317412,0.140774406203119,-11.6407677884975,0,0.317882641961125,-5.15511687918627,2.53472778766195e-07
"b_no_choice_b",0.280398883011938,0.43926675431151,0.638333951431003,0.523256315589282,0.587618296801355,0.477178611588956,0.633234940151291
"b_mileage_b",-0.149926934823181,0.0678422038323919,-2.20993609219394,0.0271095979278191,0.0764413068502236,-1.96133400907107,0.0498400725060095
"b_range_year0_b",1.23764703019229,0.199076693966527,6.21693582273565,5.06956920887092e-10,0.296407770607805,4.17548780065516,2.97348189672864e-05
"b_degradation_b",-0.327108538786509,0.0546483478591652,-5.98569859109929,2.1546304740383e-09,0.102705149473083,-3.18492831629866,0.00144789869008699
"b_packreplace_b",-0.887062679957768,0.225807351859101,-3.92840477803077,8.55111962640986e-05,0.292497955110936,-3.03271412486057,0.00242365081762963
"b_cellreplace_b",-0.936884846808019,0.220007099335444,-4.25843006720231,2.0586760099528e-05,0.241864302500788,-3.87359704231246,0.000107240675797371
"b_price_b",-0.774106003424751,0.175754622702187,-4.40447022970462,1.06042701537579e-05,0.31575033823626,-2.45163950654433,0.0142207050201506
"b_no_choice_c",-3.97223412617198,0.38591845163922,-10.2929365240236,0,0.838984105831367,-4.73457613626162,2.19513359311918e-06
"b_mileage_c",-0.0950995011679458,0.0326233964539355,-2.91507051702072,0.00355608182511014,0.0449682046181222,-2.11481650147137,0.0344455898974472
"b_range_year0_c",-0.260259053347593,0.0889067707896081,-2.92732545604967,0.00341890904905329,0.109417036778004,-2.37859716376375,0.017378656188078
"b_degradation_c",-0.140295539784767,0.0340350994901256,-4.12208402168678,3.75460197066246e-05,0.102749812573933,-1.3654092038739,0.172124472710073
"b_packreplace_c",-0.205884496500499,0.112007615864714,-1.83812944245838,0.0660433336370452,0.179042240916055,-1.14992135625151,0.250176263939291
"b_cellreplace_c",-0.171352493769199,0.106401339091955,-1.61043550045091,0.107302815722725,0.155702101537587,-1.10051497107015,0.271107810303887
"b_price_c",-0.380124845688124,0.0829138093402975,-4.58457823506822,4.54903737923118e-06,0.161340109773437,-2.35604677734456,0.0184705916164734
"delta_a",-1.39518182086465,0.6946131539564,-2.00857385570361,0.0445823462638482,1.06841569243723,-1.30584175311205,0.191606377853235
"gamma_EV_rangeanxiety_a",0.299332465188961,0.336934055419222,0.888400743037163,0.374325225837233,0.39512135801482,0.757570956662215,0.448707872523693
"gamma_risktaker_a",0.393860643514522,0.257673828975545,1.52852404561389,0.126382478073099,0.31218387730418,1.26163031517082,0.207081842462739
"gamma_hhincome_a",0.127494455302363,0.0240255741619719,5.30661429536878,1.11680144465609e-07,0.0346187824820112,3.68281164621004,0.000230675600366048
"gamma_ev_charge_a",0.321856752028141,0.259483455273439,1.24037485044653,0.214836778725451,0.276429017628782,1.16433779199101,0.244287146868448
"gamma_ev_neighbor_a",0.664668558198751,0.275842292414248,2.40959626742291,0.0159701822113116,0.29592987567884,2.2460339858355,0.0247018311052642
"gamma_knowledge_ev_a",0.279602248114579,0.284305219470044,0.98345801964441,0.32538206694732,0.286226473634772,0.976856698697109,0.328640101527913
"gamma_evb_environment_agree_a",1.24747369079845,0.280248320562083,4.45131549154851,8.53458452887423e-06,0.566030999520683,2.20389641531085,0.0275316297198971
"gamma_evb_function_disagree_a",1.09985554788925,0.305913522544276,3.5953152339974,0.000323999012685761,0.397493529654759,2.76697723569116,0.00565787057738931
"gamma_hhveh_fuel_a",0.0295132385371718,0.320042968928071,0.0922164877923154,0.926526038498354,0.359348691150253,0.0821298066863741,0.934543490876067
"gamma_veh_refuel_a",0.0200198706458561,0.0348345028588715,0.574713832632107,0.565484850744084,0.0379185857942593,0.527969865608412,0.597520251470098
"gamma_veh_range_a",0.0459687201436135,0.111716657547145,0.411475971022623,0.68072355726318,0.156180572476332,0.294330590641033,0.768505299406128
