"b_no_choice_a","b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_no_choice_b","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_no_choice_c","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_hhincome_b","gamma_ev_charge_b","gamma_ev_neighbor_b","gamma_knowledge_ev_b","gamma_knowledge_subsidy_b","gamma_evb_environment_disagree_b","gamma_evb_environment_agree_b","gamma_evb_function_disagree_b","gamma_evb_function_agree_b","gamma_veh_refuel_b","gamma_veh_range_b","delta_c","gamma_EV_benefit_c","gamma_EV_anxiety_c","gamma_hhincome_c","gamma_ev_charge_c","gamma_ev_neighbor_c","gamma_knowledge_ev_c","gamma_knowledge_subsidy_c","gamma_evb_environment_disagree_c","gamma_evb_environment_agree_c","gamma_evb_function_disagree_c","gamma_evb_function_agree_c","gamma_veh_refuel_c","gamma_veh_range_c","logLike"
-4.77,-0.17,1.87,-0.5,-0.19,-0.18,-1.52,-0.05,-0.17,1.42,-0.38,-0.94,-1.01,-1.14,-3.09,-0.1,-0.17,-0.06,-0.22,-0.2,-0.36,-0.26,-0.9,0.01,-0.04,-0.06,-0.22,0.26,-0.52,0.91,-0.58,-0.9,0.13,0,0,0.5,-0.37,-0.35,-0.02,-0.28,0.5,-0.49,-0.5,1.19,-0.35,-1.27,0.03,0,0,-3501.70347579129
-4.76994240767762,-0.176685236374296,1.86857573461014,-0.496935506712316,-0.198927239471648,-0.156847448206053,-1.5180356698685,-0.0394451556028342,-0.171876925596697,1.41375906057381,-0.388070716274032,-0.924007998598204,-0.962721146550758,-1.13225045935636,-3.12221165420433,-0.102429809524993,-0.171519113925006,-0.066034181359888,-0.219880228075997,-0.1962057938499,-0.355172147285085,-0.275445113825023,-0.872307362310844,0.00192254999496441,-0.0371161036056216,-0.0141586532096794,-0.236358138436507,0.285717814437163,-0.593846007131456,0.89456374740059,-0.558558194072743,-0.983096491855723,0.150510853792064,-0.0167469262356499,0.00838915939970608,0.510619042552794,-0.36150341778691,-0.356498610280501,-0.0202639941246514,-0.229905981730439,0.51487922071466,-0.48466117594897,-0.433306762851403,1.14979742372311,-0.342422159635297,-1.28268482204039,0.0656306401192236,0.0324576488654778,-0.0799921760019947,-3494.41973488857
-4.75281454395866,-0.184823698908094,1.85728262867473,-0.489012591040851,-0.198479158519708,-0.139651952407616,-1.50864481488236,0.0148401680039363,-0.174247810790589,1.38698471789571,-0.401548507312567,-0.87865400052977,-0.90694733675359,-1.0783434245057,-3.22575877355077,-0.110483811267642,-0.189830773734887,-0.0733931581631066,-0.2341233561302,-0.199802127115064,-0.347596375683637,-0.297294867497683,-0.867575337965518,0.00362032216734436,-0.0326780010974864,0.0356002837546987,-0.233996682219071,0.37599323438642,-0.646499272867817,0.863815816301321,-0.52060922993094,-0.95466081490867,0.207542411047899,-0.0198645540228677,-0.0417707412672265,0.773475156649395,-0.40335788956035,-0.344951975659751,-0.0158082644997761,-0.145442843979548,0.508268608089511,-0.389072854433206,-0.442315507295326,1.07248855344342,-0.307925684252103,-1.20403413038754,0.161387725665039,0.0649294568689948,-0.310056414056562,-3488.40610177726
-4.73219606949965,-0.186895287315121,1.84863671354487,-0.483453062708794,-0.182273523575281,-0.137977063128895,-1.50854776148336,0.300801052571705,-0.153377899149589,1.3821513256687,-0.396624404591224,-0.851402319806097,-0.858139924950055,-0.983333446129206,-3.25247571910625,-0.112297047265186,-0.215628855367444,-0.073783264602675,-0.253099949127868,-0.20643644714516,-0.324107795069487,0.013337760162771,-0.902987479226079,0.0133419804400246,-0.0307389530401452,0.0378508308111238,-0.18734386717392,0.388728391329286,-0.586765755444486,0.777559432447203,-0.59823265067057,-0.934357914437598,0.223474339887858,-0.0302242680400322,-0.13991633924001,1.17456083726057,-0.444397663743295,-0.314073516193072,-0.0141491300231937,-0.0542564144923097,0.483445242413167,-0.338068673322223,-0.471088352054663,0.928939787397728,-0.345163200416752,-1.114628588103,0.13733995763052,0.0546128353363759,-0.450810066360192,-3487.11291281786
-4.74846190718438,-0.189704835125104,1.86153017156277,-0.482969091546717,-0.18070774467091,-0.143596275689517,-1.52708612125206,0.149819326374654,-0.189159679490516,1.36583950559258,-0.409814730848166,-0.864548961987324,-0.901951846704185,-0.963029620719976,-3.23418007994821,-0.110512096500315,-0.219153152250505,-0.0748758560345807,-0.242855641755029,-0.204553395921468,-0.314698303256433,-0.0984843398005361,-0.884806883055796,0.00876849240228457,-0.0308369656071316,0.0945907387804281,-0.216323425153091,0.367763004723396,-0.718869636577174,0.809906507065809,-0.534698242833137,-0.897594628057912,0.206257965274918,-0.0270458239562366,-0.105949515848323,1.16132177590457,-0.430463643807459,-0.316396200508139,-0.0128633147636765,-0.0932677385441774,0.539867427916583,-0.369681022470603,-0.41931471208398,0.95973683285897,-0.359381106028457,-1.14353069100433,0.151059685949952,0.055417890860786,-0.448790769434856,-3486.9256908826
-4.74182358344672,-0.19055758012606,1.86274991305129,-0.48100491024882,-0.176847967987034,-0.146502033121871,-1.531668122363,0.295981843981419,-0.176512122476708,1.35624484722312,-0.40579463199596,-0.844297373348406,-0.861723645736571,-0.916626989436278,-3.24220177540385,-0.110208962057902,-0.225054314156885,-0.0754572935727702,-0.248587218777175,-0.2048181710821,-0.307537294743226,-0.0360860406964235,-0.897847331174022,0.0124785691430968,-0.0295797484863233,0.0735190291771161,-0.186613029132437,0.374174680524008,-0.668347575688131,0.816612485079629,-0.568546661423854,-0.93189823171807,0.209477717118704,-0.0316356657095637,-0.125677835717079,1.18396891914723,-0.432323783765373,-0.311728301044225,-0.0120957177525926,-0.0715888513057074,0.538113726941046,-0.360281792168239,-0.424776903189522,0.952937710480962,-0.359889419258659,-1.1179760766289,0.146785674767531,0.0546276398276594,-0.464601232524183,-3486.69995900521
-4.72524519687612,-0.189437102288002,1.85973683164842,-0.479173185943036,-0.174985229139839,-0.144480995819864,-1.53183974239464,0.341892080487218,-0.173325174681215,1.35851513245889,-0.404369058558928,-0.847797481488181,-0.861433482050834,-0.903631658814402,-3.24117454473911,-0.110031329157325,-0.224056480582503,-0.0758404504824196,-0.25017423480827,-0.203925344838705,-0.304335749128483,-0.00522533300721032,-0.904162427459266,0.0129433570711629,-0.0291658270364224,0.0629767076373355,-0.181365706723888,0.372869652643428,-0.628333055335227,0.806179109040372,-0.595797083257124,-0.927648053939336,0.210390040592174,-0.033793193340398,-0.133317451735509,1.15739526603866,-0.433264143525332,-0.314741191952214,-0.0120137732466322,-0.0607928715825746,0.523768987608872,-0.359935377980829,-0.439979467257421,0.946226560666574,-0.35920136115254,-1.10231030664163,0.145167023482706,0.0551505450651395,-0.457064331297162,-3486.65857600622
-4.72363269901683,-0.189345727771904,1.86132183489604,-0.478790348116827,-0.175521673890845,-0.143262283305247,-1.53591919432327,0.28940750545492,-0.184131562517028,1.34952934289704,-0.407810776469739,-0.85923533230838,-0.873893813225115,-0.899361861251772,-3.2344393843228,-0.109921580493707,-0.222225671135519,-0.0762234078564901,-0.246377785146418,-0.203458405449374,-0.302007057562391,-0.0384309423007654,-0.901344598220551,0.00952987093266197,-0.0293291140283144,0.0813586121545452,-0.188925716346121,0.363882624270452,-0.677963844002491,0.809727441766312,-0.577725544545571,-0.919710117892321,0.207977196576885,-0.0318148379691256,-0.123724174986905,1.16817532905645,-0.434447252466826,-0.318716201894605,-0.0118608040675878,-0.0721144890318735,0.532053068326035,-0.370753251998722,-0.433981535885247,0.943833191555044,-0.367541504576037,-1.11306986494509,0.155843455169556,0.0558155413062695,-0.45840849156504,-3486.64637990626
-4.72044818220017,-0.189301174807208,1.86191188731291,-0.478411230829949,-0.174810556377279,-0.143143642294899,-1.53736086965015,0.324613666876478,-0.180670201036189,1.34727117133466,-0.406312677922911,-0.854756682871533,-0.86347615126812,-0.890134071534762,-3.23667855551886,-0.109818455550976,-0.222115769639331,-0.0764371943588091,-0.2478854431453,-0.203631886901088,-0.300972210417392,-0.0248815124753216,-0.905548419073122,0.0105546157401601,-0.0289876953423094,0.0728544924390358,-0.181310386854265,0.364336813847628,-0.658500067513725,0.812458061812092,-0.588426675879691,-0.930885791808392,0.208649304017334,-0.0329258023680309,-0.127637226658587,1.16378314801635,-0.434173954342706,-0.318621694553259,-0.0117915991935587,-0.066579428207322,0.528794394658869,-0.367981520172633,-0.439679321321808,0.944388030689691,-0.367602575399241,-1.10769937468622,0.156129405546835,0.0558626241153836,-0.458046735293789,-3486.62494847528
-4.7166590744634,-0.189264929403172,1.86245410331469,-0.478100062597166,-0.17360114848771,-0.142290120772039,-1.53839730013575,0.33873563345485,-0.179896040899016,1.34845777188652,-0.405851034911971,-0.854036433802275,-0.864406962680328,-0.886432680716983,-3.23937076428316,-0.109714233005077,-0.221983823409888,-0.0767117379939013,-0.249311021139535,-0.204125042535489,-0.300332122053333,-0.00842950089034612,-0.907932916882283,0.0114631784587015,-0.0289563065011172,0.0685125256097479,-0.180010089282242,0.36450124328058,-0.641577098009414,0.80816616641608,-0.597785229953312,-0.928604583527069,0.209255598894208,-0.0339004507830924,-0.131576140809917,1.16427652362074,-0.433719035362193,-0.318445837789317,-0.0118155048933376,-0.0615454974403086,0.525079243624559,-0.364199687099877,-0.445093794028337,0.942417795910954,-0.368927936052278,-1.1033123566599,0.154858092439861,0.0557710948252904,-0.45836539316002,-3486.62032523067
