"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.33350910505468,0.251525427435204,-21.2046517898421,0,0.409870627624914,-13.0126648400274,0
"b_mileage_a",-0.22755588891824,0.0247745744042554,-9.18505743853077,0,0.0313150922243038,-7.26665236328549,3.68594044175552e-13
"b_range_year0_a",1.1852827682046,0.0806981949402802,14.6878473438192,0,0.141640210034817,8.36826468919553,0
"b_degradation_a",-0.559086578528604,0.0276631493954708,-20.2105179904115,0,0.0489990827735275,-11.4101437594799,0
"b_packreplace_a",-0.377930152232642,0.0781108701240887,-4.83838102983943,1.30901012251883e-06,0.111749525949826,-3.38193964601092,0.000719759562517908
"b_cellreplace_a",-0.344655358932081,0.0750687459028502,-4.59119643983549,4.40712286930989e-06,0.102694264314459,-3.35613056126208,0.000790412448514966
"b_price_a",-1.24490054473259,0.0688861259196005,-18.0718617590073,0,0.110500048974453,-11.2660632849167,0
"b_no_choice_b",-0.853201773992243,0.309134641649699,-2.75996817904045,0.00578069918251112,0.358530742255527,-2.37971719977129,0.0173259290352634
"b_mileage_b",-0.264102437127985,0.0508745398254459,-5.19124965128214,2.08887316111017e-07,0.0636420133465041,-4.14981272968311,3.32747393938515e-05
"b_range_year0_b",0.760804673606662,0.103695178623293,7.33693392216945,2.18491891246231e-13,0.153481457675075,4.95698102644627,7.15969654008219e-07
"b_degradation_b",-0.420984559867052,0.0382314014291196,-11.0114864778774,0,0.0563304408438861,-7.47348242904342,7.8159700933611e-14
"b_packreplace_b",-0.646888156355927,0.149929739583998,-4.31460868371288,1.59885860886444e-05,0.172900056996587,-3.74139932393832,0.000182998484123509
"b_cellreplace_b",-0.623423687600435,0.148080080442586,-4.21004422564553,2.55320703883566e-05,0.177650462607164,-3.50927139986684,0.000449336138667267
"b_price_b",-0.863859430782468,0.111558968651915,-7.74352292084978,9.76996261670138e-15,0.172466787654122,-5.00884513785295,5.47576096243674e-07
"b_no_choice_c",-3.42061486997195,0.352368249948797,-9.70750023723477,0,0.586236904334892,-5.83486785747951,5.38332134425445e-09
"b_mileage_c",-0.108109088868801,0.0305186846133707,-3.5423901861562,0.000396518480020314,0.042147330628013,-2.56502813482917,0.0103167439203862
"b_range_year0_c",0.085312094619216,0.0889617053498843,0.958975485954159,0.337571094818458,0.153728844895522,0.554951770288761,0.578927649794641
"b_degradation_c",-0.0427114113098003,0.0245746362340814,-1.73802822157611,0.0822058411452071,0.0344259189173309,-1.24067599799924,0.214725464469234
"b_packreplace_c",-0.103717575319619,0.105950988188405,-0.978920320546566,0.327619350876558,0.167379799517004,-0.619654077845174,0.535485555407588
"b_cellreplace_c",-0.144438613855024,0.102250655123822,-1.41259352989097,0.157775272547079,0.159057476983557,-0.908090688939792,0.363830309420881
"b_price_c",-0.426426111769465,0.0802494685485297,-5.31375620900953,1.07388268055786e-07,0.160977341601169,-2.64898219543196,0.00807345848420282
"delta_a",0.506001853671111,0.464122292941102,1.09023389172845,0.275610127532162,0.518230048308728,0.976403925867432,0.328864336791258
"gamma_EV_rangeanxiety_a",-0.129379292969269,0.240232670995132,-0.538558275330878,0.590191684458592,0.260796635288699,-0.496092646387279,0.619829047208084
"gamma_risktaker_a",0.333847647343403,0.171125665548827,1.95089173954533,0.0510699255014846,0.179953773015735,1.855185594326,0.0635697281002923
"gamma_hhincome_a",0.108998808581893,0.0139336036939417,7.82272920746878,5.10702591327572e-15,0.0147402080534129,7.3946587583379,1.4166445794217e-13
"gamma_ev_charge_a",0.408459407096555,0.165694687943275,2.46513278226753,0.0136962485469849,0.169003012599417,2.41687648530097,0.0156543280902064
"gamma_ev_neighbor_a",0.364006022293034,0.169865967437304,2.14290141683258,0.0321210151949671,0.174349023972619,2.08780074587742,0.0368158122682316
"gamma_knowledge_ev_a",0.234683413487474,0.177389026279509,1.32298721296146,0.185839630236041,0.17916591950742,1.30986637488139,0.190241044059052
"gamma_evb_environment_agree_a",0.958619502628269,0.156789715114423,6.11404582200229,9.7136387822161e-10,0.173701827843365,5.51876462401249,3.41391090952214e-08
"gamma_evb_function_disagree_a",0.826957302494716,0.213146781130672,3.87975505943831,0.000104561705988493,0.225274566123802,3.67088622885307,0.000241710920930949
"gamma_hhveh_fuel_a",-0.3013980423732,0.232486543009474,-1.29641070176228,0.194834027038455,0.236729751996455,-1.27317348086316,0.202956488708199
"gamma_veh_refuel_a",0.0385929012339462,0.0244527158065756,1.57826646083901,0.114504407569655,0.0268807075156691,1.43571002405535,0.151084871672439
"gamma_veh_range_a",-0.135849304194048,0.0744516922295885,-1.82466375344601,0.0680517862438275,0.0754592570503759,-1.80030004938104,0.0718132731261332
"delta_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_risktaker_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_knowledge_ev_b",0.1,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhveh_fuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",1.69329633803185,0.514081847122812,3.29382635762925,0.000988335332983148,0.569661604015684,2.97246001151453,0.00295423690685515
"gamma_EV_rangeanxiety_c",-0.798005075693793,0.261008014626691,-3.05739682681831,0.00223268486561845,0.279355018216344,-2.85659831990483,0.00428207360377164
"gamma_risktaker_c",0.509732552058206,0.212331778263594,2.4006418456375,0.0163663463185264,0.236916483524023,2.15152843937311,0.0314345135770968
"gamma_hhincome_c",0.0692198056592002,0.0190088132702872,3.64145855267031,0.000271097775393248,0.0197776305605835,3.49990386599466,0.000465425975267664
"gamma_ev_charge_c",0.538985332468232,0.217911960064349,2.47340867526992,0.0133831004168203,0.256380632214414,2.10228568286497,0.0355282579752032
"gamma_ev_neighbor_c",0.361234913126051,0.216374696907687,1.66948778340827,0.095020749493022,0.229531809182257,1.57379020543169,0.115535959176446
"gamma_knowledge_ev_c",-0.0523766686150929,0.22499113732033,-0.232794363542071,0.815921089940261,0.245406413768952,-0.213428279280447,0.830992924931814
"gamma_evb_environment_agree_c",0.332252823540806,0.200929795066432,1.65357668050651,0.0982135540495572,0.227339814943768,1.46148101520619,0.143883481853811
"gamma_evb_function_disagree_c",0.628793656753325,0.260966132854345,2.40948375130454,0.0159751074050292,0.284299490717215,2.21172980354991,0.0269853399162396
"gamma_hhveh_fuel_c",-0.46275141401072,0.280848654813592,-1.64768962243334,0.0994163786589839,0.299297993768517,-1.54612267253826,0.122074944132501
"gamma_veh_refuel_c",0.0707815995667606,0.0263942277993485,2.68170753487653,0.00732474653012227,0.0298959344070864,2.36759950710832,0.0179039047653433
"gamma_veh_range_c",-0.351404772861579,0.09178560573349,-3.82853901821951,0.000128906196845024,0.0979697582073684,-3.58686985955171,0.000334671245749707
"gamma_suv_a",-0.133164816428515,0.162196782064835,-0.821007758188971,0.411641849125114,0.182651692858845,-0.729064233373551,0.465962371790212
"gamma_suv_b",0,NA,NA,NA,NA,NA,NA
"gamma_suv_c",-0.369537257605358,0.201437186881305,-1.83450366502141,0.0665792642576761,0.218683068142684,-1.68983022208307,0.0910604401263502
