,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0),,,,,,,,
b_no_choice_a,-5.35,0.23,-23.68,0.00,0.33,-16.27,0.00,,,,,,,,
b_mileage_a,-0.22,0.02,-9.86,0.00,0.03,-8.41,0.00,,,,,,,,
b_range_year0_a,1.13,0.07,16.49,0.00,0.10,10.77,0.00,,,,,,,,
b_degradation_a,-0.55,0.02,-23.72,0.00,0.03,-16.29,0.00,,,,,,,,
b_packreplace_a,-0.37,0.07,-5.09,0.00,0.10,-3.76,0.00,,,,,,,,
b_cellreplace_a,-0.34,0.07,-4.86,0.00,0.09,-3.75,0.00,,,,,,,,
b_price_a,-1.23,0.06,-19.29,0.00,0.10,-12.55,0.00,,,,,,,,
b_no_choice_b,-0.82,0.30,-2.75,0.01,0.34,-2.40,0.02,,,,,,,,
b_mileage_b,-0.28,0.05,-5.57,0.00,0.06,-4.57,0.00,,,,,,,,
b_range_year0_b,0.76,0.10,7.61,0.00,0.14,5.38,0.00,,,,,,,,
b_degradation_b,-0.39,0.04,-11.08,0.00,0.05,-7.80,0.00,,,,,,,,
b_packreplace_b,-0.67,0.15,-4.57,0.00,0.17,-3.92,0.00,,,,,,,,
b_cellreplace_b,-0.65,0.14,-4.53,0.00,0.17,-3.80,0.00,,,,,,,,
b_price_b,-0.88,0.11,-8.04,0.00,0.17,-5.29,0.00,,,,,,,,
b_no_choice_c,-3.33,0.30,-11.00,0.00,0.45,-7.45,0.00,,,,,,,,
b_mileage_c,-0.08,0.03,-2.93,0.00,0.03,-2.29,0.02,,,,,,,,
b_range_year0_c,0.03,0.07,0.41,0.68,0.11,0.28,0.78,,,,,,,,
b_degradation_c,-0.04,0.02,-1.79,0.07,0.03,-1.40,0.16,,,,,,,,
b_packreplace_c,-0.15,0.09,-1.62,0.10,0.13,-1.11,0.27,,,,,,,,
b_cellreplace_c,-0.13,0.09,-1.45,0.15,0.13,-1.02,0.31,,,,,,,,
b_price_c,-0.36,0.07,-5.39,0.00,0.11,-3.14,0.00,,,,,,,,
delta_a,-1.41,0.43,-3.30,0.00,0.47,-3.03,0.00,,,,,,,,
gamma_EV_rangeanxiety_a,0.84,0.21,4.06,0.00,0.21,3.94,0.00,,0.84,0.23,3.70,0.00,0.23,3.59,0.00
gamma_risktaker_a,-0.20,0.19,-1.04,0.30,0.23,-0.87,0.39,,-0.60,0.20,-2.97,0.00,0.22,-2.75,0.01
gamma_hhincome_a,0.04,0.02,2.29,0.02,0.02,2.08,0.04,,0.03,0.02,1.93,0.05,0.02,1.85,0.06
gamma_ev_charge_a,-0.08,0.20,-0.41,0.68,0.21,-0.38,0.71,,-0.36,0.20,-1.74,0.08,0.22,-1.66,0.10
gamma_ev_neighbor_a,-0.10,0.19,-0.52,0.60,0.22,-0.46,0.64,,-0.40,0.21,-1.95,0.05,0.22,-1.85,0.06
gamma_knowledge_ev_a,0.48,0.21,2.26,0.02,0.23,2.08,0.04,,0.32,0.21,1.51,0.13,0.22,1.42,0.16
gamma_knowledge_subsidy_a,-0.05,0.23,-0.22,0.82,0.25,-0.20,0.84,,-0.25,0.25,-1.02,0.31,0.26,-0.98,0.33
gamma_evb_environment_agree_a,0.65,0.18,3.58,0.00,0.20,3.34,0.00,,-0.27,0.19,-1.42,0.16,0.21,-1.30,0.19
gamma_evb_function_disagree_a,0.26,0.22,1.18,0.24,0.24,1.06,0.29,,-0.41,0.24,-1.69,0.09,0.26,-1.59,0.11
gamma_hhveh_fuel_a,0.39,0.22,1.73,0.08,0.23,1.67,0.10,,0.56,0.25,2.28,0.02,0.25,2.21,0.03
