"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.34581586190754,0.250232819602848,-21.3633682040272,0,0.408644395720915,-13.0818284011375,0
"b_mileage_a",-0.229491136024385,0.0246865132571953,-9.29621504800789,0,0.0312345839914735,-7.3473408862123,2.02282635086704e-13
"b_range_year0_a",1.17049662107862,0.0795203411972293,14.7194617560243,0,0.138451438039781,8.45420342071349,0
"b_degradation_a",-0.561532723976125,0.0281410958103051,-19.9541882718901,0,0.0503122450072023,-11.1609554273664,0
"b_packreplace_a",-0.384883699433467,0.0776895644297766,-4.95412353330109,7.26570382747482e-07,0.109323348294135,-3.52059926300405,0.000430572799934525
"b_cellreplace_a",-0.35176205022236,0.0747714089252445,-4.70449942402513,2.54489585227446e-06,0.100636374707358,-3.4953768082888,0.000473392925552929
"b_price_a",-1.23532976772163,0.0665074301163145,-18.5743121567195,0,0.0999869130761617,-12.3549145554745,0
"b_no_choice_b",-0.846600185119778,0.309891491412084,-2.73192458838437,0.00629655513191829,0.358180078161877,-2.36361606001204,0.0180975570921298
"b_mileage_b",-0.266521937897551,0.0510651282853887,-5.21925523045852,1.79644058073691e-07,0.0642484967493038,-4.14829842537037,3.34955589313957e-05
"b_range_year0_b",0.753934036005112,0.102706886383659,7.34063763931868,2.12496686913255e-13,0.147832514277979,5.0999202691462,3.39796586423802e-07
"b_degradation_b",-0.416940218690459,0.0376624516644246,-11.0704481589629,0,0.0541626744244127,-7.69792524319168,1.37667655053519e-14
"b_packreplace_b",-0.650155983017308,0.150872473721872,-4.30930816588749,1.63766040341962e-05,0.174619068884108,-3.72328169639254,0.000196649900579215
"b_cellreplace_b",-0.619522649251805,0.148541893065596,-4.17069310526577,3.03674599819725e-05,0.178531622867824,-3.47010036261458,0.000520263923699638
"b_price_b",-0.858748763600831,0.110940972572913,-7.74059162890829,9.99200722162641e-15,0.169404748373292,-5.06921306425564,3.99463856437521e-07
"b_no_choice_c",-3.42099385414007,0.349225414650876,-9.79594757603787,0,0.568606304947798,-6.01645431007689,1.78278791729269e-09
"b_mileage_c",-0.106028763424638,0.030362602838118,-3.492084126975,0.000479267272642803,0.0411866692925297,-2.57434663316825,0.0100429600319083
"b_range_year0_c",0.102371194271697,0.0891664653106203,1.1480907526734,0.250931101255666,0.152824627150385,0.66986058582665,0.502946667290514
"b_degradation_c",-0.0404651673431652,0.024260026911765,-1.66797701792909,0.095320289097991,0.0328000551722225,-1.23369205114734,0.217317677023122
"b_packreplace_c",-0.0932848760473734,0.105681941923744,-0.88269456776905,0.377401317954706,0.164105212772226,-0.568445538514675,0.569732476255605
"b_cellreplace_c",-0.13753755744984,0.102260458133161,-1.34497302242419,0.178633946733327,0.156896212839252,-0.876614896949451,0.380695845024137
"b_price_c",-0.438845056526593,0.079744400839924,-5.50314569931391,3.73073851811512e-08,0.157305951139857,-2.78975495425742,0.00527479477096482
"delta_a",0.297028091888754,0.387050610466973,0.767414089672647,0.442835354015195,0.442676501423373,0.670982288270771,0.502231812796965
"gamma_EV_rangeanxiety_a",-0.209440871147425,0.237665952175742,-0.881240536265598,0.378187643251949,0.259605795904307,-0.806765004678967,0.419801884668234
"gamma_hhincome_a",0.01248665272869,0.0136940114802446,0.911833084608086,0.361856591193852,0.0145833221871556,0.856228270104855,0.391871528375945
"gamma_ev_charge_a",0.340404973552367,0.163885562262381,2.07708945713826,0.0377933034630173,0.166553343153186,2.04381951816651,0.0409713802299625
"gamma_ev_neighbor_a",0.31591959896243,0.167239062794342,1.88902995319296,0.0588878152374783,0.172499820987734,1.83141986555971,0.0670378984258573
"gamma_evb_environment_agree_a",0.990325385951461,0.155934189355685,6.35091887188724,2.14032569445521e-10,0.173240931716319,5.71646305604679,1.0876410216909e-08
"gamma_evb_function_disagree_a",0.844835585968564,0.212572885569047,3.97433371479614,7.05765498749678e-05,0.22437933832527,3.7652111476675,0.000166408398865725
"gamma_veh_refuel_a",0.0471438099957814,0.0241513478534241,1.95201569212202,0.0509363415900237,0.0268550506128463,1.75549138504434,0.0791752929582337
"gamma_veh_range_a",-0.120896819049875,0.0735902923965008,-1.64283650890377,0.100416764241946,0.0748023058852085,-1.61621781065684,0.10604722931078
"delta_b",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_b",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_b",0,NA,NA,NA,NA,NA,NA
"gamma_ev_neighbor_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_b",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_refuel_b",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_b",0,NA,NA,NA,NA,NA,NA
"delta_c",1.28294253576215,0.420175917675518,3.05334618618695,0.00226304702732949,0.460726871862978,2.78460540097106,0.00535928996892987
"gamma_EV_rangeanxiety_c",-0.919134905657352,0.257163390859933,-3.57412811591822,0.000351396852538155,0.278311167004077,-3.3025441111527,0.000958120170504673
"gamma_hhincome_c",-0.027287636087222,0.0186682164553973,-1.46171628941728,0.143818971545528,0.0196888251746656,-1.3859453697793,0.165763585580757
"gamma_ev_charge_c",0.469525092833128,0.212593021772046,2.20856305122083,0.0272050477191976,0.249508666261724,1.8817987361634,0.0598633474875514
"gamma_ev_neighbor_c",0.271252436324223,0.210971857146802,1.28572805867407,0.198537985228831,0.219338204405727,1.23668577053939,0.216203763424285
"gamma_evb_environment_agree_c",0.373267518925805,0.199304932510415,1.87284636774506,0.0610896029910959,0.22427547735463,1.66432604816435,0.0960472896730209
"gamma_evb_function_disagree_c",0.661862536164516,0.259266260064645,2.55282941945276,0.0106851812882474,0.282520401507669,2.34270704923429,0.0191444083428447
"gamma_veh_refuel_c",0.083601743371527,0.0259470152696443,3.22201773509316,0.00127291255724193,0.0294796836740111,2.83591046281237,0.00456952547391576
"gamma_veh_range_c",-0.348740245881987,0.0904859560166793,-3.85408146450598,0.000116164914967465,0.0962293633033578,-3.62405230493527,0.00029002291352076
"gamma_suv_a",-0.180444166435166,0.160811118864814,-1.12208762496613,0.261825185004229,0.181001832047402,-0.996919005703265,0.318803825617077
"gamma_suv_b",0,NA,NA,NA,NA,NA,NA
