"Variables","Est._Car_class3","Est._Car_class1","Est._Car_class2","Est._SUV_class3","Est._SUV_class1","Est._SUV_class2","Std.Err._Car_class3","Std.Err._Car_class1","Std.Err._Car_class2","Std.Err._SUV_class3","Std.Err._SUV_class1","Std.Err._SUV_class2","Sig._Car_class3","Sig._Car_class1","Sig._Car_class2","Sig._SUV_class3","Sig._SUV_class1","Sig._SUV_class2","label","section","fmt"
"no_choice",-4.71,0.34,-3.25,-5.79,-1.25,-3.83,0.59,0.64,0.78,0.54,0.54,0.48,"***"," ","***","***","*","***","No-Choice Option (opt-out)","Vehicle Attributes","dollar"
"mileage",-0.19,-0.18,-0.11,-0.29,-0.41,-0.12,0.05,0.1,0.05,0.05,0.07,0.05,"***",".","*","***","***","*","Mileage (10,000 miles)","Vehicle Attributes","dollar"
"range_year0",1.87,1.34,-0.22,1.2,0.66,0.16,0.37,0.37,0.13,0.16,0.17,0.13,"***","***",".","***","***"," ","BEV Electric Range at Year 0 (100 miles)","Vehicle Attributes","dollar"
"degradation",-0.48,-0.41,-0.08,-0.74,-0.38,-0.08,0.04,0.07,0.06,0.08,0.06,0.03,"***","***"," ","***","***","*","Battery Degradation Rate (% per year)","Vehicle Attributes","dollar"
"packreplace",-0.17,-0.86,-0.25,-0.38,-0.35,-0.28,0.16,0.34,0.17,0.13,0.23,0.14," ","*"," ","***"," ",".","Battery Refurbishment: Pack Replace","Vehicle Attributes","dollar"
"cellreplace",-0.14,-0.86,-0.21,-0.3,-0.49,-0.28,0.16,0.27,0.16,0.14,0.26,0.15," ","***"," ","*",".",".","Battery Refurbishment: Cell Replace","Vehicle Attributes","dollar"
"price",-1.54,-0.88,-0.3,-1.23,-0.88,-0.46,0.17,0.35,0.18,0.17,0.2,0.16,"***","*"," ","***","***","***","Purchase Price (10,000 USD)","Vehicle Attributes","dollar"
"ASC",NA,0,1.18,NA,-0.47,0.74,NA,0.69,0.91,NA,0.49,0.64,NA," "," ",NA," "," ","ASC","Active Indicators","number"
"EV_benefit",NA,-0.91,-0.44,NA,-0.67,-0.29,NA,0.19,0.18,NA,0.12,0.15,NA,"***","*",NA,"***",".","Perceived EV Benefits (factor score)","Active Indicators","number"
"EV_anxiety",NA,0.01,-0.32,NA,0.1,-0.13,NA,0.15,0.15,NA,0.12,0.11,NA," ","*",NA," "," ","Perceived EV Anxiety (factor score)","Active Indicators","number"
"hhincome",NA,-0.03,-0.01,NA,0,-0.05,NA,0.03,0.04,NA,0.02,0.03,NA," "," ",NA," ",".","Household Income (10,000 USD)","Active Indicators","number"
"ev_charge",NA,0.07,-0.06,NA,-0.2,0.04,NA,0.31,0.31,NA,0.26,0.29,NA," "," ",NA," "," ","Home Charger Access","Active Indicators","pct"
"ev_neighbor",NA,-0.18,0.53,NA,-0.17,0.08,NA,0.36,0.33,NA,0.26,0.3,NA," "," ",NA," "," ","Neighbor Owns/Leases a BEV/PHEV","Active Indicators","pct"
"knowledge_ev",NA,0.36,-0.37,NA,-0.31,-0.29,NA,0.35,0.4,NA,0.26,0.3,NA," "," ",NA," "," ","EV Knowledge","Active Indicators","pct"
"knowledge_subsidy",NA,-0.65,-0.45,NA,-0.14,0.28,NA,0.38,0.43,NA,0.32,0.31,NA,"."," ",NA," "," ","EV Subsidy Knowledge","Active Indicators","pct"
"evenvironment_disagree",NA,0.81,0.93,NA,0.12,0.22,NA,0.54,0.69,NA,0.38,0.41,NA," "," ",NA," "," ","EV Battery Environmentally Positive: Disagree","Active Indicators","number"
"evenvironment_agree",NA,-0.6,-0.38,NA,-0.36,-0.41,NA,0.33,0.39,NA,0.26,0.3,NA,"."," ",NA," "," ","EV Battery Environmentally Positive: Agree","Active Indicators","number"
"evfunction_disagree",NA,-0.93,-1.11,NA,-0.15,0.39,NA,0.39,0.41,NA,0.36,0.35,NA,"*","*",NA," "," ","EV Battery Functionally Negative: Disagree","Active Indicators","number"
"evfunction_agree",NA,0.21,0.16,NA,0.6,0.18,NA,0.36,0.42,NA,0.26,0.29,NA," "," ",NA,"*"," ","EV Battery Functionally Negative: Agree","Active Indicators","number"
"veh_refuel",NA,-0.03,0.06,NA,-0.07,0.03,NA,0.05,0.04,NA,0.03,0.03,NA," "," ",NA,"."," ","Primary Vehicle Refuel Frequency (monthly)","Active Indicators","number"
"veh_range",NA,-0.13,-0.46,NA,0.11,-0.24,NA,0.13,0.13,NA,0.11,0.12,NA," ","***",NA," ",".","Primary Vehicle Typical Range (miles)","Active Indicators","number"
