"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice_a",-5.32321031322674,0.245595744397391,-21.6746846582709,0,0.389678023838127,-13.660535076615,0
"b_mileage_a",-0.230033311607471,0.0246850197862412,-9.31874122846303,0,0.0307975703820596,-7.46920321161021,8.06021915877864e-14
"b_range_year0_a",1.19237276311862,0.0813022421008401,14.6659271910326,0,0.142091135411774,8.39160556823744,0
"b_degradation_a",-0.561404114250725,0.0276090196145755,-20.3340836468653,0,0.0478369658235623,-11.7357801563201,0
"b_packreplace_a",-0.39511509310042,0.0773494688801443,-5.10818107507196,3.25274859269697e-07,0.106308689225769,-3.71667730999214,0.0002018599927196
"b_cellreplace_a",-0.362736461792547,0.0742696123515332,-4.88404948279038,1.03928974914957e-06,0.097884379852443,-3.7057645187042,0.000210754043329597
"b_price_a",-1.23628343961889,0.0666350593064591,-18.5530477872488,0,0.100392106416084,-12.3145482623405,0
"b_no_choice_b",-0.847129929253473,0.310435873387653,-2.72884032379734,0.00635574708186781,0.359648729891694,-2.35543701074262,0.0185009333784418
"b_mileage_b",-0.266602295574602,0.0509972760689756,-5.22777520928791,1.71561916229024e-07,0.0636649085981548,-4.18758624562494,2.819368967244e-05
"b_range_year0_b",0.756617692386761,0.102829416865581,7.35798874922937,1.86739512741951e-13,0.147918472896069,5.11509940288783,3.13575776456076e-07
"b_degradation_b",-0.421033992612409,0.0379549704785728,-11.092986960696,0,0.0546388027794099,-7.70576899922617,1.31006316905768e-14
"b_packreplace_b",-0.650664288290032,0.151289328458895,-4.30079434496808,1.70186949051132e-05,0.175674605479236,-3.70380389649964,0.000212390469707113
"b_cellreplace_b",-0.62045959521967,0.149197581134351,-4.15864379638268,3.20142672916024e-05,0.179550411811197,-3.45562891758835,0.000549010580506826
"b_price_b",-0.856251528096779,0.110866325217745,-7.72327869995759,1.13242748511766e-14,0.169299187893574,-5.0576233634094,4.2451380899422e-07
"b_no_choice_c",-3.45147414141314,0.352596263870493,-9.78874280608045,0,0.577480253580126,-5.97678296360006,2.27587082513026e-09
"b_mileage_c",-0.105819146462086,0.0302436506494369,-3.49888800425144,0.000467202778325904,0.0408058025477082,-2.59323772246282,0.00950770268181222
"b_range_year0_c",0.0847313593024429,0.0858877115146197,0.986536464975202,0.323869930436317,0.14142463809815,0.599127283915258,0.549088008671407
"b_degradation_c",-0.042542437203201,0.0244760915310316,-1.73812216502232,0.0821892901054606,0.0342480944092852,-1.24218406708395,0.214168656848576
"b_packreplace_c",-0.0821099969242419,0.105372686167532,-0.779234163146372,0.435841789067354,0.161466993649908,-0.508524962707069,0.611085237378821
"b_cellreplace_c",-0.124958512572155,0.101838846819434,-1.22702206942419,0.219814296160567,0.155061524081238,-0.805864080806325,0.420321224175857
"b_price_c",-0.4467175117134,0.0800173557766998,-5.58275773271028,2.36734409853057e-08,0.156481028523912,-2.85477106028311,0.00430678624163483
"delta_a",0,NA,NA,NA,NA,NA,NA
"gamma_EV_rangeanxiety_a",0,NA,NA,NA,NA,NA,NA
"gamma_hhincome_a",0,NA,NA,NA,NA,NA,NA
"gamma_ev_charge_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_environment_agree_a",0,NA,NA,NA,NA,NA,NA
"gamma_evb_function_disagree_a",0,NA,NA,NA,NA,NA,NA
"gamma_veh_range_a",0,NA,NA,NA,NA,NA,NA
"delta_b",-0.593991142346155,0.368283176167117,-1.61286526451759,0.106773783150936,0.421528269926295,-1.40913714387416,0.158794619500384
"gamma_EV_rangeanxiety_b",0.2357312183272,0.23571951052235,1.00004966837418,0.317286471874872,0.256099722994706,0.920466510352581,0.357329026016156
"gamma_hhincome_b",-0.0161828622154778,0.0134816874093046,-1.20035880703694,0.230000019796089,0.0142028984124531,-1.13940561605994,0.254534014636575
"gamma_ev_charge_b",-0.417972789754262,0.160307122422332,-2.60732513589199,0.00912526659523638,0.163191388813714,-2.56124292337132,0.0104298399337552
"gamma_evb_environment_agree_b",-0.975955307327894,0.155483239663447,-6.2769164666263,3.45353523556469e-10,0.172903835545332,-5.64449773048567,1.6566416682906e-08
"gamma_evb_function_disagree_b",-0.863045109099188,0.212437308836216,-4.06258728199468,4.85317921377071e-05,0.22271768048701,-3.87506329633101,0.000106596987762053
"gamma_veh_range_b",0.1312180949487,0.0733263999976754,1.78950684818646,0.073533225589169,0.0754216173848266,1.73979423272218,0.0818951555431413
"delta_c",1.20539655910034,0.38875776130092,3.10063664083942,0.00193105094781254,0.436249150231932,2.7630920506309,0.00572566164460109
"gamma_EV_rangeanxiety_c",-0.71999506869594,0.224761052652118,-3.20338003493131,0.00135824614956537,0.242384563340451,-2.97046585299511,0.00297348460374236
"gamma_hhincome_c",-0.0393786088999088,0.0178999125622843,-2.19993303111887,0.0278116467646083,0.0202135284370093,-1.948131372641,0.0513992457802954
"gamma_ev_charge_c",0.136446637885164,0.202606127378591,0.673457607874806,0.500656209572277,0.257029302501558,0.530860242615089,0.59551563011456
"gamma_evb_environment_agree_c",-0.636200241150721,0.190076408224331,-3.3470762999681,0.000816687282828799,0.215739461555009,-2.94892847402654,0.00318877767624115
"gamma_evb_function_disagree_c",-0.1655553179343,0.222420848812018,-0.744333630676061,0.456674660164418,0.25643531510527,-0.645602645900537,0.518536723365549
"gamma_veh_range_c",-0.250721604497837,0.0861353605846044,-2.91078603254435,0.00360520811466736,0.0936121864561855,-2.67830091347333,0.0073996707052848
"gamma_suv_a",0,NA,NA,NA,NA,NA,NA
"gamma_suv_b",0.199523088498859,0.159911174942841,1.24771197866676,0.212136552970351,0.177737964455526,1.1225687720126,0.261620684326288
"gamma_suv_c",-0.240572671691552,0.192592016239169,-1.24913107193809,0.211617137571005,0.218734324318561,-1.09983959966514,0.271402015182573
