,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0),
b_no_choice_a,-2.83,0.38,-7.41,0.00,0.47,-6.07,0.00,
b_mileage_a,-0.23,0.03,-6.94,0.00,0.04,-6.25,0.00,
b_range_year0_a,1.80,0.29,6.12,0.00,0.45,3.98,0.00,
b_degradation_a,-0.09,0.01,-6.41,0.00,0.02,-5.98,0.00,
b_packreplace_a,-0.56,0.10,-5.29,0.00,0.14,-4.00,0.00,
b_cellreplace_a,-0.59,0.11,-5.52,0.00,0.14,-4.29,0.00,
b_price_a,-1.19,0.08,-13.99,0.00,0.13,-9.16,0.00,
b_no_choice_b,-0.30,1.51,-0.20,0.84,1.55,-0.20,0.84,
b_mileage_b,-0.53,0.17,-3.16,0.00,0.21,-2.56,0.01,
b_range_year0_b,1.84,1.13,1.62,0.11,1.29,1.42,0.15,
b_degradation_b,-0.16,0.07,-2.41,0.02,0.07,-2.51,0.01,
b_packreplace_b,-0.89,0.43,-2.07,0.04,0.51,-1.76,0.08,
b_cellreplace_b,-1.22,0.48,-2.53,0.01,0.55,-2.20,0.03,
b_price_b,-0.96,0.43,-2.22,0.03,0.82,-1.17,0.24,
b_no_choice_c,-5.69,0.28,-20.19,0.00,0.34,-16.85,0.00,
b_mileage_c,-0.16,0.02,-9.71,0.00,0.02,-8.33,0.00,
b_range_year0_c,0.87,0.14,6.26,0.00,0.20,4.40,0.00,
b_degradation_c,-0.07,0.01,-9.04,0.00,0.01,-8.37,0.00,
b_packreplace_c,-0.20,0.05,-3.84,0.00,0.06,-3.29,0.00,
b_cellreplace_c,-0.19,0.05,-3.84,0.00,0.06,-3.33,0.00,
b_price_c,-0.78,0.04,-20.74,0.00,0.05,-14.75,0.00,
b_range_year0_quadratic_a,-0.21,0.06,-3.20,0.00,0.09,-2.19,0.03,diminishing returns to range
b_range_year0_quadratic_b,-0.19,0.24,-0.78,0.44,0.26,-0.73,0.47,
b_range_year0_quadratic_c,-0.06,0.03,-1.88,0.06,0.04,-1.40,0.16,
b_range_loss_quadratic_a,0.000,0.00,1.81,0.07,0.00,1.68,0.09,people increasingly dislike higher degradation
b_range_loss_quadratic_b,0.001,0.00,0.97,0.33,0.00,0.99,0.32,
b_range_loss_quadratic_c,0.000,0.00,2.06,0.04,0.00,2.02,0.04,
delta_a,2.13,0.59,3.63,0.00,0.59,3.62,0.00,
gamma_EV_rangeanxiety_a,-0.96,0.36,-2.65,0.01,0.37,-2.61,0.01,
gamma_risktaker_a,0.14,0.24,0.59,0.56,0.25,0.57,0.57,
gamma_hhincome_a,0.01,0.02,0.32,0.75,0.02,0.28,0.78,
gamma_ev_charge_a,0.06,0.22,0.25,0.80,0.23,0.24,0.81,
gamma_evb_environment_agree_a,1.20,0.22,5.46,0.00,0.24,4.93,0.00,
gamma_evb_function_disagree_a,0.83,0.34,2.47,0.01,0.36,2.30,0.02,
gamma_hhveh_fuel_a,-0.84,0.34,-2.46,0.01,0.34,-2.45,0.01,
gamma_veh_range_a,-0.19,0.10,-1.86,0.06,0.11,-1.74,0.08,
delta_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_EV_rangeanxiety_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_risktaker_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_hhincome_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_ev_charge_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_evb_environment_agree_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_evb_function_disagree_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_hhveh_fuel_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_veh_range_b,0.00,NA,NA,NA,NA,NA,NA,
delta_c,2.78,0.53,5.20,0.00,0.53,5.20,0.00,
gamma_EV_rangeanxiety_c,-0.93,0.33,-2.81,0.00,0.33,-2.81,0.00,
gamma_risktaker_c,0.63,0.21,3.08,0.00,0.21,3.03,0.00,
gamma_hhincome_c,0.01,0.02,0.41,0.68,0.02,0.39,0.70,
gamma_ev_charge_c,0.57,0.19,2.96,0.00,0.20,2.91,0.00,
gamma_evb_environment_agree_c,1.14,0.19,6.02,0.00,0.20,5.67,0.00,
gamma_evb_function_disagree_c,1.24,0.30,4.10,0.00,0.31,3.94,0.00,
gamma_hhveh_fuel_c,-0.71,0.31,-2.26,0.02,0.32,-2.25,0.02,
gamma_veh_range_c,-0.31,0.09,-3.51,0.00,0.10,-3.25,0.00,
gamma_suv_a,-0.11,0.22,-0.52,0.60,0.22,-0.51,0.61,
gamma_suv_b,0.00,NA,NA,NA,NA,NA,NA,
gamma_suv_c,-0.18,0.19,-0.97,0.33,0.19,-0.95,0.34,
