,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice_a,-3.77,0.44,-8.65,0.00,0.88,-4.30,0.00
b_mileage_a,-0.11,0.03,-3.69,0.00,0.04,-2.66,0.01
b_range_pw1_a,-0.09,0.20,-0.48,0.63,0.32,-0.29,0.77
b_range_pw2_a,0.04,0.11,0.35,0.72,0.15,0.25,0.81
b_loss_pw1_a,-0.02,0.01,-1.85,0.06,0.02,-0.91,0.36
b_loss_pw2_a,-0.01,0.01,-1.40,0.16,0.02,-0.91,0.36
b_packreplace_a,-0.11,0.11,-1.00,0.32,0.18,-0.58,0.56
b_cellreplace_a,-0.16,0.10,-1.59,0.11,0.18,-0.91,0.36
b_price_a,-0.43,0.08,-5.35,0.00,0.17,-2.55,0.01
b_no_choice_b,-0.44,0.49,-0.90,0.37,0.67,-0.66,0.51
b_mileage_b,-0.26,0.05,-5.20,0.00,0.06,-4.23,0.00
b_range_pw1_b,1.23,0.31,3.91,0.00,0.46,2.69,0.01
b_range_pw2_b,0.74,0.14,5.16,0.00,0.21,3.51,0.00
b_loss_pw1_b,-0.10,0.01,-7.92,0.00,0.01,-7.13,0.00
b_loss_pw2_b,-0.06,0.02,-2.59,0.01,0.03,-2.34,0.02
b_packreplace_b,-0.64,0.15,-4.21,0.00,0.18,-3.53,0.00
b_cellreplace_b,-0.63,0.15,-4.20,0.00,0.18,-3.45,0.00
b_price_b,-0.86,0.11,-7.62,0.00,0.18,-4.83,0.00
b_no_choice_c,-4.72,0.32,-14.66,0.00,0.65,-7.26,0.00
b_mileage_c,-0.24,0.03,-9.31,0.00,0.03,-7.39,0.00
b_range_pw1_c,2.07,0.23,9.00,0.00,0.54,3.84,0.00
b_range_pw2_c,1.24,0.11,11.43,0.00,0.20,6.20,0.00
b_loss_pw1_c,-0.13,0.01,-16.24,0.00,0.01,-11.43,0.00
b_loss_pw2_c,-0.09,0.01,-9.52,0.00,0.01,-8.21,0.00
b_packreplace_c,-0.40,0.08,-4.80,0.00,0.12,-3.26,0.00
b_cellreplace_c,-0.35,0.08,-4.34,0.00,0.12,-2.94,0.00
b_price_c,-1.31,0.08,-17.27,0.00,0.14,-9.72,0.00
delta_a,2.11,0.47,4.48,0.00,0.55,3.81,0.00
gamma_EV_rangeanxiety_a,-0.79,0.26,-3.09,0.00,0.27,-2.93,0.00
gamma_risktaker_a,0.59,0.21,2.85,0.00,0.23,2.52,0.01
gamma_hhincome_a,-0.03,0.02,-1.57,0.12,0.02,-1.45,0.15
gamma_ev_charge_a,0.42,0.21,2.00,0.05,0.27,1.52,0.13
gamma_evb_environment_agree_a,0.27,0.20,1.40,0.16,0.22,1.23,0.22
gamma_evb_function_disagree_a,0.61,0.26,2.37,0.02,0.29,2.14,0.03
gamma_hhveh_fuel_a,-0.60,0.27,-2.25,0.02,0.28,-2.11,0.03
gamma_veh_range_a,-0.38,0.09,-4.24,0.00,0.09,-3.97,0.00
delta_b,0.00,NA,NA,NA,NA,NA,NA
gamma_EV_rangeanxiety_b,0.00,NA,NA,NA,NA,NA,NA
gamma_risktaker_b,0.00,NA,NA,NA,NA,NA,NA
gamma_hhincome_b,0.00,NA,NA,NA,NA,NA,NA
gamma_ev_charge_b,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_environment_agree_b,0.00,NA,NA,NA,NA,NA,NA
gamma_evb_function_disagree_b,0.00,NA,NA,NA,NA,NA,NA
gamma_hhveh_fuel_b,0.00,NA,NA,NA,NA,NA,NA
gamma_veh_range_b,0.00,NA,NA,NA,NA,NA,NA
delta_c,0.69,0.44,1.58,0.11,0.52,1.32,0.19
gamma_EV_rangeanxiety_c,-0.14,0.24,-0.57,0.57,0.26,-0.53,0.60
gamma_risktaker_c,0.36,0.17,2.12,0.03,0.19,1.96,0.05
gamma_hhincome_c,0.01,0.01,0.91,0.36,0.01,0.85,0.40
gamma_ev_charge_c,0.41,0.16,2.50,0.01,0.17,2.38,0.02
gamma_evb_environment_agree_c,0.96,0.16,6.07,0.00,0.18,5.23,0.00
gamma_evb_function_disagree_c,0.87,0.22,4.04,0.00,0.23,3.75,0.00
gamma_hhveh_fuel_c,-0.34,0.23,-1.49,0.14,0.24,-1.42,0.16
gamma_veh_range_c,-0.14,0.07,-1.85,0.06,0.08,-1.75,0.08
gamma_suv_a,-0.35,0.20,-1.75,0.08,0.23,-1.55,0.12
gamma_suv_b,0.00,NA,NA,NA,NA,NA,NA
gamma_suv_c,-0.17,0.16,-1.03,0.30,0.17,-0.96,0.34
