,Estimate,Std.err.,t-ratio(0),p(2-sided),Rob.std.err.,Rob.t-ratio(0),Rob.p-val(0)
b_no_choice,-2.46,0.14,-17.74,0.00,0.19,-12.87,0.00
b_mileage,-0.16,0.01,-12.72,0.00,0.01,-11.66,0.00
b_range_pw1,1.00,0.09,11.68,0.00,0.11,8.82,0.00
b_range_pw2,0.50,0.09,5.62,0.00,0.11,4.34,0.00
b_range_pw3,0.65,0.05,11.79,0.00,0.07,8.86,0.00
b_loss_pw1,-0.08,0.01,-10.32,0.00,0.01,-10.31,0.00
b_loss_pw2,-0.07,0.01,-12.71,0.00,0.01,-12.24,0.00
b_loss_pw3,-0.04,0.01,-5.69,0.00,0.01,-5.77,0.00
b_packreplace,-0.27,0.04,-6.89,0.00,0.04,-6.13,0.00
b_cellreplace,-0.27,0.04,-6.94,0.00,0.04,-6.21,0.00
b_price,-0.75,0.03,-28.62,0.00,0.04,-19.15,0.00
