"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_no_choice",-2.54625670763391,0.140104724704744,-18.1739531839477,0,0.189841704640065,-13.4125255167802,0
"b_mileage",-0.159546052415891,0.0125497439562928,-12.7130922329208,0,0.0136931938717863,-11.6514856876906,0
"b_range_pw1",0.894909296890649,0.0703769947969793,12.7159350789594,0,0.097236834223894,9.20339811588337,0
"b_range_pw2",0.514297287265183,0.0650602268817871,7.90494149674038,2.66453525910038e-15,0.0789461904834925,6.51452950567287,7.29178939451458e-11
"b_range_pw3",0.736820465108813,0.0974119618240604,7.56396289851562,3.90798504668055e-14,0.122268249695073,6.02626165784153,1.67795444205865e-09
"b_loss_pw1",-0.0825572938215213,0.00983662017878481,-8.39285164223147,0,0.00978983606518206,-8.43295978317141,0
"b_loss_pw2",-0.0673637618716417,0.0039411319041143,-17.0924910686998,0,0.00423625448515088,-15.9017268928881,0
"b_loss_pw3",-0.040732922487254,0.00816958218721165,-4.98592480665851,6.1666125761306e-07,0.00808663897822248,-5.03706454522686,4.72725409261798e-07
"b_packreplace",-0.266501435227935,0.0385751125189936,-6.90863662670368,4.89341900333784e-12,0.0433508450493951,-6.14754879459157,7.86894993609621e-10
"b_cellreplace",-0.267549977499038,0.0385679941169438,-6.93709858718054,4.00235400377369e-12,0.0431109763468477,-6.20607557913965,5.43240563644076e-10
"b_price",-0.75356834782233,0.0261803258559351,-28.7837650290932,0,0.0391882592867244,-19.2294417138761,0
